sub_id,AIC
1,-80.007
2,-98.194
3,-127.05
4,-152.01
5,-69.675
6,-101.36
7,-97.164
8,-162.87
9,-97.582
10,-103.28
11,-90.215
12,-154.6
13,-124.96
14,-105.12
15,-117.6
16,-112.1
17,-124.18
18,-66.188
19,-112.33
20,-129.87
21,-148.17
22,-129.51
23,-83.737
24,-85.64
25,-145.17
26,-133.6
27,-105.32
28,-78.688
29,-92.639
30,-79.59
31,-159.02
32,-107.93
33,-120.86
34,-109.21
35,-133.64
36,-90.004
37,-110.42
38,-138.46
39,-134.25
40,-97.383
41,-120.71
42,-148.04
43,-127.27
44,-110.33
45,-120.51
46,-129.17
47,-120.61
48,-71.842
49,-100.85
50,-103.68
51,-149.63
52,-120.35
53,-127.4
54,-86.378
55,-156.1
56,-56.403
57,-59.845
58,-68.437
59,-155.62
60,-143.81
61,-158.17
62,-87.282
63,-73.774
64,-145.33
65,-106.22
66,-106.9
67,-141.21
68,-132.99
69,-113.29
70,-67.234
71,-97.804
72,-161.77
73,-145.58
74,-105.78
75,-154.5
76,-155.16
77,-98.927
78,-138.29
79,-33.618
80,-144.38
81,-113.41
82,-118.47
83,-107.84
84,-147.15
85,-143.83
86,-89.107
87,-141.31
88,-44.649
89,-137.26
90,-85.749
91,-155.05
92,-133.85
93,-74.844
94,-84.542
95,-114.04
96,-64.183
97,-54.403
98,-119.06
99,14
100,-90.617
101,-124.11
102,-95.483
103,-126.91
104,-115.19
105,-90.884
106,-106.59
107,-139.37
108,-131.71
109,-157.59
110,-79.064
111,-115.47
112,-108.62
113,-136.15
114,-103.26
115,-141.67
116,-157.77
117,-85.772
118,-139.12
119,-122.65
120,-106.65
121,-107.55
122,-82.712
123,-76.197
124,-143.7
125,-149.68
126,-99.964
127,-78.843
128,-114.8
129,-113.34
130,-116.75
131,-81.633
132,-143.38
133,-63.858
134,-102.25
135,-98.35
136,-103.75
137,-110.9
138,-126.91
139,-153.52
140,-109.09
141,-90.903
142,-143.6
143,-132.08
144,-72.607
145,-139.95
146,-116.38
147,-121.44
148,-150.64
149,-90.216
150,-89.237
151,-85.383
152,-76.469
153,-134.41
154,-133.16
155,-63.783
156,-141.41
157,-67.017
158,-66.01
159,-101.69
160,-134.84
161,-90.829
162,-140.89
163,-111.26
164,-69.923
165,-111.24
166,-90.455
167,-88.523
168,-117.73
169,-155.56
170,-139.94
171,-82.176
172,-115.02
