sub_id,AIC
1,-138.55
2,-142.33
3,-157.37
4,-156.37
5,-130.5
6,-150.37
7,-139.75
8,-129.31
9,-159
10,-160.78
11,-158.74
12,-135.48
13,-120.86
14,-130.23
15,-154.71
16,-134.3
17,-150.82
18,-143.96
19,-148.1
20,-148.87
21,-148.77
22,-127.62
23,-148.46
24,-156.82
25,-132.87
26,-159.73
27,-135.93
28,-121.88
29,-133.47
30,-152.31
31,-118.86
32,-117.06
33,-68.438
34,-154.39
35,-149.35
36,-153.91
37,-134.44
38,-152.18
39,-77.564
40,-154.2
41,-93.907
42,-146.56
43,-147.91
44,-155.49
45,-146.36
46,-155.03
47,-152.03
48,-155.16
49,-153.9
50,-126.76
51,-122.18
52,-159.25
53,-153.23
54,-92.123
55,-126.53
56,-146.11
57,-142.21
58,-156.07
59,-145.79
60,-154.98
61,-155.55
62,-154.6
63,-155.65
64,-97.995
65,-149.01
66,-156.47
67,-156.12
68,-154.23
69,-155.04
70,-153.81
71,-154.96
72,-137.27
73,-105.11
74,-150.72
75,-153.05
76,-156.45
77,-147.37
