sub_id,beta,lr,e,ps,w_MB,sigma_mb,sigma_ps,nll
1,0.40722,0.12641,1,1,0.12128,0.75627,1,77.276
2,0.21156,0.68001,0.44846,1,2.0209e-06,0.65886,1,79.387
3,0.1,4.3324e-08,0.26487,1.7948,0.35415,0.44673,1,86.683
4,0.10004,0.034728,0.29166,1.0005,0.99844,0.68307,1.0012,86.198
5,0.23721,0.65934,0.5229,1.0243,0.98977,0.98703,1.0903,77.273
6,0.16725,0.18728,7.4036e-06,1,1.5873e-06,0.46854,1,83.497
7,0.20905,0.73572,1.2549e-08,1.3468,2.3039e-07,0.31441,1,77.388
8,0.81322,0.066896,0.21746,1,4.3943e-07,0.51776,1,72.406
9,0.1,0.017767,0.64551,1,0.99999,0.99998,1,87.589
10,0.1,0.065366,2.9008e-06,1,1.452e-05,0.34761,1,88.39
11,0.1,8.9059e-09,0.41199,2.1078,0.50563,0.44073,1,87.372
12,0.26101,0.54085,0.45054,2.1411,0.99961,0.19963,1.0029,76.735
13,0.59372,0.033442,1,1,6.712e-08,0.52176,1,68.429
14,0.19054,0.86983,1.2404e-06,1,6.9759e-07,0.52246,1,79.553
15,0.1,0.61197,1,1,1.314e-07,0.50833,1,85.355
16,0.2274,0.6154,0.44579,2.7092,0.96602,0.054965,1.0386,78.752
17,0.10672,0.55888,5.1615e-07,1,0.3682,6.6864e-07,2.8592,84.111
18,0.20748,0.31363,0.063854,1,3.6389e-07,0.6121,1,82.262
19,0.15755,0.33785,0.085266,2.0321,6.1747e-07,0.46719,1.2686,83.695
20,0.13455,1,0.48515,1,0.99999,3.3713e-07,1,84.221
21,0.12415,1,0.62493,1,1,1,1.8968,82.649
22,0.5195,0.25097,0.56454,1.0367,0.98297,0.37286,1.0045,72.318
23,0.1,1,0.35744,4.5377,1,0.17448,1,83.721
24,0.1,0.36031,0.99997,1.3185,0.75387,2.5103e-06,1,87.228
25,0.3166,0.25771,0.33237,1.0005,0.065625,0.95264,1.5347,74.387
26,0.1,1.144e-07,0.46818,1,0.28867,0.49962,1,87.866
27,0.28609,0.3452,1,1.3554,3.4938e-08,0.47847,2.1035,76.338
28,0.45115,0.2039,0.58644,1.0083,0.94709,0.60627,1.0417,74.708
29,0.35313,0.061569,0.98976,1.0099,0.52443,0.60692,2.2385,74.732
30,0.1,0.12599,1,2.993,0.029298,0.99993,1,84.925
31,0.26274,0.43639,5.1134e-05,4.9998,0.54142,0.3581,1,70.381
32,0.60516,0.044877,0.90476,1,1.366e-07,0.42393,1,69.573
33,1.9,0.013571,0.22929,5,0.99967,0.00042574,1,42.218
34,0.10002,0.32922,0.65749,2.9814,0.99946,0.00035737,1.0003,85.195
35,0.17657,0.46507,0.41831,1,1,1,1,82.941
36,0.16676,0.51276,0.56217,1,1,1.896e-06,1,84.956
37,0.54039,0.16249,3.8623e-08,1,1.4359e-07,0.22301,1,75.219
38,0.16629,0.08189,0.56349,3.4965,0.98542,0.81311,1.0246,84.086
39,0.55538,0.15823,0.48794,4.8136,1,1.6917e-07,1,49.835
40,0.12492,1,2.0123e-06,1,0.4029,1.7552e-06,1,85.101
41,0.4615,0.35985,0.50949,1.1281,0.0055576,0.66275,1.0006,59.68
42,0.13789,0.8982,3.1408e-08,3.5269,8.6022e-08,0.34558,1,81.407
43,0.19403,2.8427e-07,0.31208,2.4802,0.63245,0.53196,3.0232,81.956
44,0.1,0.030744,1.0413e-06,1.6932,3.6501e-06,0.33849,1,85.747
45,0.17731,0.16711,0.13645,1.3649,0.5296,0.21258,1.0988,83.908
46,0.1,0.15986,0.60951,1,1,3.4797e-07,1.6235,85.516
47,0.15853,0.19012,0.20789,1.0225,0.98354,0.097396,2.4997,84.023
48,0.10277,0.14236,0.54975,1,1,0.99999,1,85.579
49,0.1,1,0.025438,1,1.9139e-06,0.3724,1,84.952
50,0.31172,0.22563,0.6745,4.0207,1,4.0289e-07,1,73.365
51,0.23513,1,8.8643e-07,2.4927,1.0682e-06,0.49049,1.3726,69.138
52,0.1,0.14413,0.39879,1,0.99999,0.095617,1,87.623
53,0.13589,0.19672,0.87756,1,0.99999,2.2669e-06,1,86.32
54,0.88924,0.085429,1,1,1.0599e-06,0.51905,1.2372,56.556
55,0.36901,0.13869,0.71107,1.0243,1,1,2.3756,72.507
