sub_id,Action1,S2,Action2,Re,current_player,trial_n
1,2,3,2,-3,1,1
1,2,3,1,5,2,2
1,2,3,1,2,1,3
1,2,2,1,1,2,4
1,2,3,1,2,1,5
1,2,3,1,4,2,6
1,1,2,1,3,1,7
1,2,3,1,3,2,8
1,2,2,2,-5,1,9
1,2,3,1,4,2,10
1,2,3,2,0,1,11
1,2,3,1,5,2,12
1,2,2,1,5,1,13
1,2,2,1,4,2,14
1,2,3,1,3,1,15
1,2,3,1,3,2,16
1,1,2,1,-2,1,17
1,2,2,1,-4,2,18
1,1,2,2,-2,1,19
1,2,2,1,2,2,20
1,2,2,1,2,1,21
1,1,2,1,4,2,22
1,2,3,2,0,1,23
1,2,3,2,3,2,24
1,2,3,1,1,1,25
1,2,3,2,4,2,26
1,2,3,1,0,1,27
1,2,2,2,4,2,28
1,2,3,1,3,1,29
1,2,3,2,3,2,30
1,2,2,1,2,1,31
1,1,2,2,3,2,32
1,1,2,1,2,1,33
1,2,2,2,2,2,34
1,2,3,1,3,1,35
1,2,3,2,4,2,36
1,1,2,2,-2,1,37
1,2,3,2,3,2,38
1,2,3,1,1,1,39
1,1,2,2,-2,2,40
1,2,3,1,1,1,41
1,2,3,1,2,2,42
1,2,3,1,1,1,43
1,1,2,1,0,2,44
1,2,2,1,-3,1,45
1,2,3,2,0,2,46
1,2,3,1,-5,1,47
1,1,2,2,5,2,48
1,1,3,2,3,1,49
1,1,2,2,5,2,50
1,2,3,2,0,1,51
1,1,2,2,4,2,52
1,2,3,1,-3,1,53
1,1,3,2,2,2,54
1,1,2,1,1,1,55
1,1,2,2,3,2,56
1,2,3,1,0,1,57
1,1,2,2,2,2,58
1,1,2,2,4,1,59
1,1,2,2,2,2,60
1,1,2,2,0,1,61
1,1,2,1,3,2,62
1,1,2,2,-4,1,63
1,2,3,1,-5,2,64
1,1,2,2,-5,1,65
1,1,2,1,1,2,66
1,2,3,2,0,1,67
1,1,2,2,-4,2,68
1,2,3,1,-1,1,69
1,1,3,2,5,2,70
1,1,2,1,1,1,71
1,2,2,2,0,2,72
1,1,2,1,3,1,73
1,2,3,2,4,2,74
1,2,3,2,4,1,75
1,2,3,2,2,2,76
1,2,3,2,2,1,77
1,2,3,2,3,2,78
1,2,2,1,2,1,79
1,2,2,2,0,2,80
1,2,2,1,1,1,81
1,2,3,2,5,2,82
1,1,2,2,4,1,83
1,2,3,2,4,2,84
1,2,3,2,3,1,85
1,2,3,2,3,2,86
1,2,3,2,3,1,87
1,2,3,2,4,2,88
1,2,2,1,2,1,89
1,2,3,2,2,2,90
1,2,3,2,3,1,91
1,1,2,2,0,2,92
1,2,3,2,2,1,93
1,2,3,2,4,2,94
1,2,3,1,-4,1,95
1,2,3,2,0,2,96
1,2,3,2,1,1,97
1,2,3,2,1,2,98
1,1,2,2,1,1,99
1,1,2,2,0,2,100
1,1,2,1,1,1,101
1,1,2,1,1,2,102
1,1,2,2,1,1,103
1,2,3,2,3,2,104
1,1,2,2,2,1,105
1,2,3,2,4,2,106
1,2,3,1,-4,1,107
1,2,3,2,2,2,108
1,1,2,2,1,1,109
1,2,3,2,1,2,110
1,1,2,1,-1,1,111
1,2,3,2,-4,2,112
1,1,2,2,-2,1,113
1,1,2,2,-1,2,114
1,2,3,1,-5,1,115
1,1,2,2,-1,2,116
1,2,3,2,-4,1,117
1,1,2,2,-4,2,118
1,1,2,1,-4,1,119
1,2,3,2,3,2,120
1,2,3,2,3,1,121
1,2,3,2,2,2,122
1,2,3,2,5,1,123
1,2,3,2,3,2,124
1,2,2,1,2,1,125
2,1,2,1,2,2,1
2,2,3,2,-3,1,2
2,2,3,1,2,2,3
2,1,3,2,-1,1,4
2,2,3,1,2,2,5
2,1,2,2,-2,1,6
2,2,3,1,4,2,7
2,2,3,1,3,1,8
2,2,2,1,3,2,9
2,1,2,2,-3,1,10
2,2,3,1,5,2,11
2,2,3,1,5,1,12
