sub_Id,Action1,S2,Action2,Re,current_player
1,2,3,2,3,2
1,2,3,2,4,1
1,2,3,2,5,2
1,2,2,1,-3,1
1,2,2,2,0,2
1,1,3,2,-2,1
1,1,2,2,2,2
1,1,2,1,0,1
1,1,2,2,-1,2
1,1,2,2,-1,1
1,2,3,1,-3,2
1,2,2,2,-3,1
1,1,2,1,1,2
1,2,3,1,-3,1
1,1,2,1,0,2
1,2,2,2,-1,1
1,1,2,1,-2,2
1,1,2,2,0,1
1,1,2,2,1,2
1,1,2,2,1,1
1,1,2,2,2,2
1,1,2,2,2,1
1,1,2,2,3,2
1,1,2,2,2,1
1,1,2,2,2,2
1,1,3,1,2,1
1,1,2,2,4,2
1,1,2,2,3,1
1,1,2,2,4,2
1,1,2,2,5,1
1,1,2,2,5,2
1,1,2,2,3,1
1,1,2,2,3,2
1,1,2,2,4,1
1,1,2,2,4,2
1,1,2,2,5,1
1,1,3,2,-4,2
1,1,2,2,4,1
1,1,2,2,5,2
1,1,2,2,5,1
1,1,3,1,3,2
1,1,2,2,2,1
1,2,3,1,2,2
1,1,2,2,3,1
1,1,2,2,0,2
1,1,3,1,2,1
1,2,3,1,0,2
1,1,2,2,3,1
1,1,2,2,1,2
1,1,2,2,1,1
1,1,3,1,-4,2
1,1,2,2,-3,1
1,1,2,1,4,2
1,1,2,1,5,1
1,1,2,1,4,2
1,1,2,1,3,1
1,1,2,1,3,2
1,1,2,1,3,1
1,1,2,1,2,2
1,1,2,1,1,1
1,1,2,1,1,2
1,1,2,1,-2,1
1,1,2,2,-3,2
1,2,2,1,-5,1
1,2,3,2,-3,2
1,2,3,1,-4,1
1,1,2,1,-5,2
1,1,2,2,-2,1
1,2,3,2,-3,2
1,2,3,1,1,1
1,2,3,2,-5,2
1,2,3,1,1,1
1,2,3,1,0,2
1,2,3,1,1,1
1,2,3,1,-2,2
1,1,2,2,-5,1
1,2,3,2,-1,2
1,1,2,1,1,1
1,2,3,2,2,2
1,2,3,2,3,1
1,2,3,2,0,2
1,2,2,2,1,1
1,1,2,2,0,2
1,2,3,2,4,1
1,1,2,2,4,2
1,1,2,2,5,1
1,1,2,2,3,2
1,1,3,2,0,1
1,1,2,2,1,2
1,1,2,2,2,1
1,1,2,2,2,2
1,1,2,2,3,1
1,1,2,2,4,2
1,1,3,2,1,1
1,1,2,2,2,2
1,1,2,2,1,1
1,1,2,2,-1,2
1,1,2,2,2,1
1,2,2,1,4,2
1,1,2,1,4,1
1,1,2,1,5,2
1,1,3,1,4,1
1,1,3,1,3,2
1,1,3,1,5,1
1,2,3,1,3,2
1,2,2,1,4,1
1,2,2,1,4,2
1,1,2,1,5,1
1,1,2,1,4,2
1,1,2,1,5,1
1,1,3,2,-2,2
