subject,version,cond,age,sex,bonus,assignmentId,time_elapsed,reading_time,stamp
A1F9KLZGHE9DTA,social_learning_v1,good-,44,m,0,3WLEIWSYHPOEFR7KGY4T3K2DMI7H2G,1553498,0,6/6/19 16:18
A320QA9HJFUOZO,social_learning_v1,human,32,m,0,3TU5ZICBRE82EZ8CF50OMP7HZ5V8Q6,1403406,0,6/6/19 16:45
A62H1UZADLF7Q,social_learning_v1,bad-c,48,m,0,3X0H8UUIT2VPHGJ75C5ZV5P4Z0YWSD,1685658,0,6/6/19 17:03
A2RVEG53L48BAE,social_learning_v1,bad-c,39,m,0,3FDJT1UU75FXGERF429OEJLHY9KK56,1628748,0,6/6/19 17:33
A1Z1O6MMOB3UWW,social_learning_v1,singl,38,m,0,3I0BTBYZAYST5CUVBB436W41FGH0YV,1082143,0,6/6/19 17:55
AEQ8K4HBO323D,social_learning_v1,bad-c,43,m,0,3L6L49WXW14C2C2CJAM872WL1PX457,1754405,0,6/6/19 21:09
A4J4GGMKJ68L0,social_learning_v1,good-,24,m,0,3B837J3LDP3K9K2L6IVT86HN7MORSC,1698854,0,6/6/19 21:12
A2TH9DIRISH8FE,social_learning_v1,singl,28,m,0,3NGI5ARFTUCZ3NNCG7CK7AUZG4NP1Y,1404071,0,6/6/19 21:14
A3D70ANCSMGX5F,social_learning_v1,bad-c,21,m,0,34MAJL3QP5U9OXF85RYFS5Y1NT643H,1881317,0,6/6/19 21:24
A1N16ZU0FNQEY6,social_learning_v1,human,30,f,0,3180JW2OT5J25ULXMH9CD4L4JMQ5J2,2008067,0,6/6/19 21:45
A3ZWMVK6GNTJ8,social_learning_v1,good-,42,m,0,32EYX73OY1G0OXUPVNQTN7ZBSJ9RUS,1526872,0,6/6/19 21:53
A1CH3TODZNQCES,social_learning_v1,singl,30,m,0,373ERPL3YPFLOKF0VI0JIBD9952RT1,1053845,0,6/6/19 22:04
A3POD149IG0DIW,social_learning_v1,bad-c,35,f,0,3TUI152ZZCUK3ZORGKR97FK9L1A1Q4,1749856,0,6/6/19 22:05
AEWPAZBYA7XE,social_learning_v1,bad-c,40,m,0,3TPZPLC3M1JVDQ1R3BQ3V39WEO1P3Q,1612231,0,6/6/19 22:07
A1W7QLLENVP2AE,social_learning_v1,singl,29,m,0,3U088ZLJVL0PG7ZVWAMFLZJL4APW04,1043596,0,6/6/19 23:08
A50MSA1JBX8XG,social_learning_v1,singl,29,m,0,378XPAWRUCEE57OBI25GEM294OHIAK,1016124,0,9/28/19 16:17
A1ZDR2UN7M92LI,social_learning_v1,singl,35,m,0,3E337GFOL997TZC51IAIFG9TOIONGH,1038476,0,9/28/19 16:17
A1PIGZNLSQMGNW,social_learning_v1,singl,38,m,0,36WLNQG78ZB78CRHSXFLOIONUDWBE0,1021844,0,9/28/19 16:18
AC6Y70F8YSHJN,social_learning_v1,singl,32,m,0,3OCHAWUVGOLH7FMSTFI6BASKXDFKX1,1100931,0,9/28/19 16:19
A2RLY2I4U06ETD,social_learning_v1,singl,51,m,0,3XCC1ODXDLCJLMYBXLWBIEI5V2MRQ4,1103150,0,9/28/19 16:19
A19F75QCU199K8,social_learning_v1,singl,31,m,0,3Y4W8Q93LZLHPKBN1JV1JC09XTAVDW,1093971,0,9/28/19 16:19
A3FKEMHRTXPWMN,social_learning_v1,singl,35,m,0,3QEMNNSB2X0FEUARJLSLDYK6BB3D7M,1180544,0,9/28/19 16:20
AGDJB8B8CDZ71,social_learning_v1,singl,34,m,0,3TOK3KHVJTJ6IR1G9U61OSW5FPA7OD,1062240,0,9/28/19 16:20
A7BJQT4AKDHAO,social_learning_v1,singl,37,f,0,3PB5A5BD0V7IQEKILBTTJJN3O3JG7Z,1211941,0,9/28/19 16:20
AOFDUROJ8XRZT,social_learning_v1,singl,31,f,0,317HQ483I7TLPQI0R6AL0SM93VGIN4,1202222,0,9/28/19 16:20
AXYC1MB6XJ978,social_learning_v1,singl,27,f,0,3907X2AHF06HHQGBII2LH1KNEEL2PA,1189036,0,9/28/19 16:21
A1TGV7LT6LTIQU,social_learning_v1,singl,40,m,0,3OJSZ2ATDSXKAHVY4FA2FMWEYU5758,1228244,0,9/28/19 16:21
AS4E902OXUO5Z,social_learning_v1,singl,46,f,0,34S6N1K2ZVKV5V4V9BCLNOH5YN1LHC,1055399,0,9/28/19 16:21
A3QXQG4MK7VTT0,social_learning_v1,singl,40,m,0,3T3IWE1XG6OW11B31A16ITJNJNJQTG,1240469,0,9/28/19 16:22
A11BACV6DY5S8M,social_learning_v1,singl,33,f,0,31LVTDXBL7B8UPIY5GOF1SJBLWZLR9,1078549,0,9/28/19 16:22
A3AHCT6Q7A3Q23,social_learning_v1,singl,45,f,0,3TEM0PF1Q5Y1WJA7YM7CYJAJ3XXD0M,1211237,0,9/28/19 16:22
A2UKCO1M1MEMZW,social_learning_v1,singl,59,m,0,3I02618YA07Q12PD12CRNKFFX54UPK,1299777,0,9/28/19 16:22
A2JTSH1VPJQ8FR,social_learning_v1,singl,25,m,0,3YHH42UU5BGKUVYZB350HWIOC6ZL0A,1289958,0,9/28/19 16:22
A2RYP5HCVKX4A6,social_learning_v1,singl,33,m,0,32VNZTT0A75CWHBDZOPYFBH0ZA4R4M,1264167,0,9/28/19 16:23
A188SHJZPHE8BA,social_learning_v1,singl,32,m,0,3300DTYQT2IUCIT6BFCBJ7JMGDWQEQ,1380914,0,9/28/19 16:23
A29EL77Y1V21Q7,social_learning_v1,singl,40,f,0,3Z3ZLGNNSIVR2KD9MVVF0GFPPO73QD,1199932,0,9/28/19 16:24
A1UZN21EAN1HZ4,social_learning_v1,singl,52,f,0,3KV0LJBBH2MS070J5SPU15Y0L1PRMH,1403334,0,9/28/19 16:24
