sub_id,Action1,S2,Action2,Re,trial_n,current_player
1,2,3,2,-3,1,1
1,2,3,1,5,2,2
1,2,3,1,2,3,1
1,2,2,1,1,4,2
1,2,3,1,2,5,1
1,2,3,1,4,6,2
1,1,2,1,3,7,1
1,2,3,1,3,8,2
1,2,2,2,-5,9,1
1,2,3,1,4,10,2
1,2,3,2,0,11,1
1,2,3,1,5,12,2
1,2,2,1,5,13,1
1,2,2,1,4,14,2
1,2,3,1,3,15,1
1,2,3,1,3,16,2
1,1,2,1,-2,17,1
1,2,2,1,-4,18,2
1,1,2,2,-2,19,1
1,2,2,1,2,20,2
1,2,2,1,2,21,1
1,1,2,1,4,22,2
1,2,3,2,0,23,1
1,2,3,2,3,24,2
1,2,3,1,1,25,1
1,2,3,2,4,26,2
1,2,3,1,0,27,1
1,2,2,2,4,28,2
1,2,3,1,3,29,1
1,2,3,2,3,30,2
1,2,2,1,2,31,1
1,1,2,2,3,32,2
1,1,2,1,2,33,1
1,2,2,2,2,34,2
1,2,3,1,3,35,1
1,2,3,2,4,36,2
1,1,2,2,-2,37,1
1,2,3,2,3,38,2
1,2,3,1,1,39,1
1,1,2,2,-2,40,2
1,2,3,1,1,41,1
1,2,3,1,2,42,2
1,2,3,1,1,43,1
1,1,2,1,0,44,2
1,2,2,1,-3,45,1
1,2,3,2,0,46,2
1,2,3,1,-5,47,1
1,1,2,2,5,48,2
1,1,3,2,3,49,1
1,1,2,2,5,50,2
1,2,3,2,0,51,1
1,1,2,2,4,52,2
1,2,3,1,-3,53,1
1,1,3,2,2,54,2
1,1,2,1,1,55,1
1,1,2,2,3,56,2
1,2,3,1,0,57,1
1,1,2,2,2,58,2
1,1,2,2,4,59,1
1,1,2,2,2,60,2
1,1,2,2,0,61,1
1,1,2,1,3,62,2
1,1,2,2,-4,63,1
1,2,3,1,-5,64,2
1,1,2,2,-5,65,1
1,1,2,1,1,66,2
1,2,3,2,0,67,1
1,1,2,2,-4,68,2
1,2,3,1,-1,69,1
1,1,3,2,5,70,2
1,1,2,1,1,71,1
1,2,2,2,0,72,2
1,1,2,1,3,73,1
1,2,3,2,4,74,2
1,2,3,2,4,75,1
1,2,3,2,2,76,2
1,2,3,2,2,77,1
1,2,3,2,3,78,2
1,2,2,1,2,79,1
1,2,2,2,0,80,2
1,2,2,1,1,81,1
1,2,3,2,5,82,2
1,1,2,2,4,83,1
1,2,3,2,4,84,2
1,2,3,2,3,85,1
1,2,3,2,3,86,2
1,2,3,2,3,87,1
1,2,3,2,4,88,2
1,2,2,1,2,89,1
1,2,3,2,2,90,2
1,2,3,2,3,91,1
1,1,2,2,0,92,2
1,2,3,2,2,93,1
1,2,3,2,4,94,2
1,2,3,1,-4,95,1
1,2,3,2,0,96,2
1,2,3,2,1,97,1
1,2,3,2,1,98,2
1,1,2,2,1,99,1
1,1,2,2,0,100,2
1,1,2,1,1,101,1
1,1,2,1,1,102,2
1,1,2,2,1,103,1
1,2,3,2,3,104,2
1,1,2,2,2,105,1
1,2,3,2,4,106,2
1,2,3,1,-4,107,1
1,2,3,2,2,108,2
1,1,2,2,1,109,1
1,2,3,2,1,110,2
1,1,2,1,-1,111,1
1,2,3,2,-4,112,2
1,1,2,2,-2,113,1
1,1,2,2,-1,114,2
1,2,3,1,-5,115,1
1,1,2,2,-1,116,2
1,2,3,2,-4,117,1
1,1,2,2,-4,118,2
1,1,2,1,-4,119,1
1,2,3,2,3,120,2
1,2,3,2,3,121,1
1,2,3,2,2,122,2
1,2,3,2,5,123,1
1,2,3,2,3,124,2
1,2,2,1,2,125,1
2,1,2,1,2,1,2
2,2,3,2,-3,2,1
2,2,3,1,2,3,2
2,1,3,2,-1,4,1
2,2,3,1,2,5,2
2,1,2,2,-2,6,1
2,2,3,1,4,7,2
2,2,3,1,3,8,1
2,2,2,1,3,9,2
2,1,2,2,-3,10,1
2,2,3,1,5,11,2
2,2,3,1,5,12,1
