user_Id,rt1,Action1,rt2,Action2,Re,common,S2,rews1a,rews1b,rews2a,rews2b,timeouts
1,678,2,282,1,1,0,2,1,0,3,0,0
1,301,2,291,1,2,1,3,1,-3,2,-4,0
1,303,2,251,1,2,1,3,1,-5,2,-5,0
1,494,2,411,1,2,1,3,2,-4,2,-5,0
1,1030,2,514,1,2,0,2,2,-3,4,-3,0
1,1165,2,939,1,4,1,3,2,-3,4,-4,0
1,790,2,1218,1,2,0,2,2,-4,2,-3,0
1,365,2,603,1,3,0,2,3,-4,0,-3,0
1,287,2,306,1,0,1,3,2,-4,0,-3,0
1,314,2,398,1,1,0,2,1,-5,0,-3,0
1,2614,2,323,1,-1,1,3,1,-3,-1,-3,0
1,415,2,355,1,0,0,2,0,-2,-1,-3,0
1,344,2,258,1,-1,1,3,0,-2,-1,-3,0
1,967,2,290,1,1,0,2,1,-2,0,-2,0
1,1078,2,450,1,1,1,3,1,-3,1,-2,0
1,295,2,219,1,1,0,2,1,-2,1,-1,0
1,334,2,281,1,3,1,3,3,-2,3,0,0
1,550,2,291,1,3,1,3,4,-4,3,-1,0
1,366,2,274,1,2,1,3,4,-4,2,-1,0
1,454,2,371,1,4,0,2,4,-3,2,-1,0
1,429,2,394,1,1,1,3,2,-3,1,-1,0
1,301,2,307,1,2,0,2,2,-2,0,0,0
1,886,2,514,1,-1,1,3,2,-2,-1,0,0
1,494,2,1243,1,-1,1,3,2,-3,-1,0,0
1,335,1,994,1,-1,0,3,0,-3,-1,-1,0
1,1164,1,1162,2,-3,1,2,0,-3,-1,-2,0
1,357,1,640,1,0,1,2,0,-4,-1,-4,0
1,645,2,370,1,0,1,3,-1,-4,0,-3,0
1,1606,2,401,1,0,0,2,0,-3,1,-2,0
1,870,2,443,1,0,1,3,1,-3,0,-2,0
1,318,2,419,1,2,0,2,2,-2,-1,-2,0
1,381,2,627,1,-2,1,3,1,-3,-2,-2,0
1,292,2,795,1,1,0,2,1,-3,-2,-2,0
1,741,2,579,1,-2,1,3,0,-2,-2,-2,0
1,350,2,881,1,-2,1,3,0,-3,-2,-2,0
1,533,2,595,1,-1,0,2,-1,-3,-1,-2,0
1,775,2,434,1,-1,0,2,-1,-4,-1,-2,0
1,428,2,546,1,0,0,2,0,-3,0,-1,0
1,477,2,642,1,0,1,3,0,-3,0,-1,0
1,748,2,417,1,1,1,3,0,-3,1,-1,0
1,676,2,882,1,1,1,3,1,-4,1,-2,0
1,870,2,946,1,0,1,3,2,-3,0,-2,0
1,327,2,442,1,2,0,2,2,-4,-1,-2,0
1,525,2,842,1,2,0,2,2,-4,0,-2,0
1,421,2,586,1,0,1,3,2,-5,0,-2,0
1,341,2,394,1,1,1,3,2,-4,1,-2,0
1,318,2,282,1,0,1,3,1,-5,0,-2,0
1,380,2,450,1,0,0,2,0,-4,0,-2,0
1,381,2,427,1,0,1,3,0,-2,0,-2,0
1,1125,2,499,1,1,1,3,0,-2,1,-2,0
1,772,2,722,2,-3,1,3,0,-2,1,-3,0
1,453,2,1179,1,2,1,3,0,-2,2,-3,0
1,534,2,522,2,-3,1,3,1,-3,2,-3,0
1,452,2,443,1,3,1,3,1,-3,3,-2,0
1,727,2,739,1,4,1,3,0,-2,4,-2,0
1,349,2,370,1,4,1,3,-1,-2,4,-2,0
1,391,2,522,1,4,1,3,-1,-3,4,-2,0
1,310,2,347,1,3,1,3,-1,-3,3,-3,0
1,326,2,315,1,3,1,3,-2,-3,3,-4,0
1,390,2,595,1,2,1,3,-2,-4,2,-3,0
1,470,2,305,1,4,1,3,-1,-4,4,-2,0
1,511,2,339,1,5,1,3,0,-3,5,-1,0
1,589,2,322,1,0,0,2,0,-1,5,0,0
1,440,2,282,1,3,1,3,-1,-1,3,0,0
1,448,2,355,1,4,1,3,-2,0,4,-1,0
1,374,2,323,1,5,1,3,-2,0,5,0,0
1,448,2,362,1,5,1,3,-3,0,5,1,0
1,462,2,363,1,3,1,3,-3,1,3,1,0
1,341,2,291,1,-2,0,2,-2,0,4,1,0
1,295,2,619,1,3,1,3,-3,-1,3,0,0
1,366,2,298,1,-3,0,2,-3,-1,5,1,0
1,286,2,402,1,4,1,3,-3,-2,4,1,0
1,350,2,331,1,5,1,3,-2,-2,5,0,0
1,286,2,267,1,5,1,3,-2,-2,5,2,0
1,422,2,314,1,5,1,3,-3,0,5,3,0
1,293,2,315,1,4,1,3,-2,1,4,4,0
1,429,2,354,1,-2,0,2,-2,2,3,3,0
1,454,2,322,1,4,1,3,-1,1,4,3,0
1,294,2,290,1,4,1,3,-1,1,4,4,0
1,389,2,291,1,5,1,3,-1,1,5,3,0
1,295,2,299,1,-2,0,2,-2,2,4,3,0
1,383,2,275,1,5,1,3,-2,3,5,3,0
1,294,2,330,1,4,1,3,-1,2,4,5,0
1,631,2,650,2,3,0,2,-2,3,3,5,0
1,422,2,371,1,4,1,3,0,2,4,4,0
1,575,2,403,1,4,1,3,0,1,4,5,0
1,358,2,506,2,1,0,2,0,1,5,4,0
1,351,2,315,1,5,1,3,-1,1,5,4,0
1,551,2,594,1,5,1,3,-1,1,5,5,0
1,351,2,611,1,5,1,3,-2,2,5,4,0
1,315,2,594,1,4,1,3,-2,2,4,4,0
1,349,2,538,2,2,0,2,-2,2,3,4,0
1,327,2,530,1,5,1,3,-2,3,5,5,0
1,351,2,394,1,4,1,3,-2,4,4,5,0
1,1110,2,489,2,4,0,2,-2,4,4,5,0
1,326,2,546,2,5,0,2,-3,5,5,5,0
1,334,2,338,1,5,1,3,-3,3,5,4,0
1,365,2,330,1,4,1,3,-2,2,4,3,0
1,453,2,497,1,3,1,3,-2,2,3,3,0
1,374,2,794,2,2,0,2,-2,2,3,4,0
1,286,2,409,1,3,1,3,-4,2,3,4,0
1,404,2,554,2,2,0,2,-5,2,2,3,0
1,823,2,322,1,4,1,3,-4,3,4,3,0
1,390,2,706,2,2,0,2,-4,2,3,3,0
1,758,2,361,1,3,1,3,-4,2,3,4,0
1,389,2,339,1,1,1,3,-3,3,1,5,0
1,540,2,466,1,1,1,3,-2,2,1,4,0
1,566,2,474,2,2,0,2,-3,2,2,4,0
1,285,2,403,1,2,1,3,-2,0,2,4,0
1,390,2,595,1,1,1,3,-1,1,1,2,0
1,319,2,443,1,1,1,3,-1,1,1,2,0
1,366,2,523,1,0,1,3,-1,1,0,3,0
1,341,2,658,2,0,0,2,-1,0,1,3,0
1,398,2,370,1,2,1,3,-1,-1,2,4,0
1,342,2,442,1,1,1,3,-1,-2,1,3,0
1,596,2,450,1,1,1,3,0,-2,1,4,0
1,1279,2,510,1,1,1,3,0,-2,1,4,0
1,401,2,298,1,0,1,3,1,0,0,4,0
1,287,2,354,1,0,1,3,1,1,0,3,0
1,2214,2,691,1,0,1,3,2,2,0,3,0
1,272,2,410,1,0,1,3,2,2,0,4,0
1,373,2,458,2,2,0,2,4,2,-2,5,0
1,605,2,1027,1,4,0,2,4,3,-3,5,0
1,719,2,459,1,-3,1,3,4,4,-3,5,0
1,291,2,410,1,-4,1,3,4,5,-4,5,0
1,307,2,1619,1,4,0,2,4,5,-3,4,0
1,302,2,859,2,4,1,3,5,5,-3,4,0
1,303,2,731,2,4,1,3,5,5,-4,4,0
1,533,2,963,2,3,1,3,5,5,-4,3,0
1,317,2,483,2,3,1,3,3,4,-4,3,0
1,311,2,403,2,3,1,3,2,4,-3,3,0
1,333,2,1202,1,1,0,2,1,3,-4,4,0
1,420,2,731,2,4,1,3,0,3,-4,4,0
1,613,2,842,2,4,1,3,0,4,-4,4,0
1,1085,2,474,2,4,1,3,0,5,-5,4,0
1,381,2,482,2,4,1,3,0,5,-4,4,0
1,349,2,466,2,3,1,3,-1,3,-5,3,0
1,479,2,699,1,-1,0,2,-1,4,-5,3,0
1,614,2,882,2,3,0,2,-2,3,-4,2,0
1,302,2,371,2,2,1,3,-2,3,-3,2,0
1,383,2,395,2,2,1,3,-2,3,-3,2,0
1,759,2,466,2,1,1,3,-1,3,-3,1,0
1,325,2,386,2,4,0,2,-1,4,-2,1,0
1,325,2,379,2,1,1,3,-2,5,-4,1,0
1,301,2,1914,2,5,0,2,-3,5,-4,1,0
1,494,2,554,2,0,1,3,-3,4,-5,0,0
1,452,2,587,2,4,0,2,-2,4,-3,1,0
1,317,2,346,2,1,1,3,-1,3,-3,1,0
1,294,2,450,2,2,0,2,-1,2,-2,0,0
1,52,2,362,2,0,1,3,0,2,-2,0,0
1,335,2,250,2,-1,1,3,1,2,-3,-1,0
1,446,2,586,1,-3,1,3,0,2,-3,-3,0
1,327,2,322,2,-3,1,3,1,3,-2,-3,0
1,862,1,346,1,-2,0,3,-1,4,-2,-2,0
1,238,1,290,2,-3,0,3,0,4,-2,-3,0
1,350,1,722,1,-1,1,2,-1,4,-2,-2,0
1,365,1,339,2,-2,0,3,-1,3,-3,-2,0
1,310,2,363,2,2,0,2,-1,2,-2,-1,0
1,302,2,483,2,-1,1,3,-2,2,-2,-1,0
1,327,2,603,1,-3,1,3,-1,2,-3,-2,0
1,287,2,307,2,-2,1,3,-2,2,-3,-2,0
1,509,2,315,2,1,0,2,-2,1,-2,-3,0
1,527,2,515,2,-3,1,3,-2,0,-2,-3,0
1,789,2,402,2,-2,1,3,-2,-1,-1,-2,0
1,261,2,329,2,-2,1,3,-2,-1,-1,-2,0
1,1277,2,338,2,-2,1,3,-1,-2,-2,-2,0
1,367,2,402,2,-1,1,3,-2,-2,-2,-1,0
1,485,2,802,2,-2,1,3,-2,-1,-2,-2,0
1,110,2,145,2,-1,1,3,-2,-1,-2,-1,0
1,749,2,410,2,-1,1,3,-3,-1,-3,-1,0
1,604,2,466,2,-2,0,2,-3,-2,-2,-1,0
1,478,2,586,1,-2,1,3,-2,-1,-2,-1,0
1,412,2,338,2,-2,1,3,-1,-2,-2,-2,0
1,701,2,265,1,-1,1,3,0,-2,-1,-2,0
1,342,2,426,1,-1,1,3,-1,-3,-1,-2,0
1,254,2,322,2,-2,1,3,0,-2,0,-2,0
1,343,1,394,1,0,1,2,0,-3,0,-3,0
1,325,1,289,2,-3,1,2,1,-3,1,-3,0
1,800,1,378,1,2,1,2,2,-3,2,-4,0
1,1118,1,275,1,1,0,3,2,-2,1,-3,0
1,229,1,395,1,2,1,2,2,-2,1,-4,0
1,325,1,321,1,0,0,3,2,-2,0,-5,0
1,367,1,306,1,2,1,2,2,-2,1,-4,0
1,1614,1,618,1,1,1,2,1,-2,1,-4,0
1,-1,-1,-1,-1,0,1,-1,1,-2,1,-3,0
1,380,1,402,1,1,1,2,1,-1,0,-4,0
1,351,1,289,1,1,1,2,1,-1,-1,-4,0
1,334,1,370,1,1,1,2,1,-2,-1,-4,0
1,535,1,393,1,1,1,2,1,-2,-1,-2,0
1,311,1,307,1,1,1,2,1,-4,-1,-2,0
1,334,1,291,1,3,1,2,3,-5,0,-2,0
1,222,1,298,1,3,1,2,3,-5,1,0,0
1,661,1,219,1,1,0,3,3,-5,1,0,0
1,286,1,282,1,1,0,3,2,-4,1,0,0
1,464,1,323,1,1,1,2,1,-5,1,0,0
1,38,1,275,1,0,0,3,1,-5,0,-1,0
1,1439,1,219,1,1,0,3,1,-4,1,-2,0
1,278,1,218,1,1,1,2,1,-4,1,-2,0
1,422,1,386,1,0,1,2,0,-3,0,-3,0
1,1550,1,306,1,1,1,2,1,-3,-1,-3,0
1,1549,1,266,1,2,1,2,2,-1,-2,-2,0
1,527,1,298,1,4,1,2,4,-1,-1,-2,0
1,301,1,139,1,4,1,2,4,-1,-1,-1,0
1,271,1,171,1,4,1,2,4,-1,-2,-1,0
1,870,1,449,1,3,1,2,3,-1,-1,-1,0
1,229,1,250,1,3,1,2,3,0,-1,0,0
1,693,1,290,1,2,1,2,2,0,-1,2,0
1,925,1,235,1,-1,0,3,2,1,-1,2,0
1,334,1,339,1,3,1,2,3,1,-2,0,0
1,309,1,322,1,4,1,2,4,-1,-1,0,0
1,325,1,219,1,-1,0,3,4,-2,-1,0,0
1,286,1,402,1,5,1,2,5,-3,0,0,0
1,342,1,450,1,4,1,2,4,-4,-1,-1,0
1,318,1,507,1,3,1,2,3,-3,-2,1,0
1,406,1,474,1,3,1,2,3,-3,0,1,0
1,438,1,354,1,2,1,2,2,-2,-2,1,0
1,341,1,394,1,1,1,2,1,-2,-4,1,0
1,486,1,427,1,0,1,2,0,-3,-4,2,0
1,277,1,251,1,-1,1,2,-1,-2,-3,2,0
1,63,1,362,1,-1,1,2,-1,-2,-3,3,0
1,764,1,362,2,-1,1,2,-1,-1,-3,1,0
1,334,1,338,1,-2,1,2,-2,-2,-3,1,0
1,1862,1,411,1,-3,1,2,-3,-1,-3,1,0
1,349,1,603,2,-2,1,2,-3,-2,-4,1,0
1,80,2,419,1,-4,1,3,-2,-1,-4,1,0
1,285,2,289,2,-1,0,2,-1,-1,-5,0,0
1,439,2,275,2,2,1,3,-2,-1,-4,2,0
1,366,2,266,2,2,1,3,-4,-1,-5,2,0
1,422,2,291,2,3,1,3,-5,-1,-4,3,0
1,676,2,275,2,3,1,3,-4,-1,-3,3,0
1,510,2,194,2,3,1,3,-3,-2,-3,3,0
1,414,2,275,2,3,1,3,-3,-1,-1,3,0
1,647,2,570,2,4,1,3,-2,-2,-2,4,0
1,1022,2,227,2,5,1,3,0,-4,-2,5,0
1,1447,2,1019,2,5,1,3,-2,-5,-2,5,0
1,949,2,283,2,4,1,3,-2,-5,-2,4,0
1,1693,2,386,2,4,1,3,-2,-4,-2,4,0
1,2142,2,299,2,4,1,3,-2,-4,-2,4,0
1,2495,2,307,2,4,1,3,0,-4,-3,4,0
1,533,2,434,2,3,1,3,-1,-5,-2,3,0
1,1486,2,258,2,3,1,3,-2,-5,-3,3,0
1,255,2,258,2,2,1,3,-3,-4,-3,2,0
1,142,2,210,2,3,1,3,-3,-4,-3,3,0
1,5014,2,378,2,4,1,3,-3,-3,-2,4,0
1,285,2,267,2,4,1,3,-3,-3,-4,4,0
1,270,2,235,2,3,1,3,-3,-3,-4,3,0
1,543,2,283,2,-4,0,2,-3,-4,-5,2,0
1,1607,2,251,1,-5,1,3,-3,-4,-5,2,0
1,502,1,483,2,3,0,3,-3,-4,-4,3,0
1,470,1,235,2,-4,1,2,-3,-4,-4,3,0
2,1835,1,721,1,3,0,3,1,0,3,0,0
2,548,1,1170,2,-3,1,2,1,-3,2,-4,0
2,572,1,757,1,1,1,2,1,-5,2,-5,0
2,672,1,634,1,2,1,2,2,-4,2,-5,0
2,638,1,680,1,4,0,3,2,-3,4,-3,0
2,608,1,619,1,2,1,2,2,-3,4,-4,0
2,509,1,725,1,2,0,3,2,-4,2,-3,0
2,621,1,826,1,0,0,3,3,-4,0,-3,0
2,646,1,1030,1,2,1,2,2,-4,0,-3,0
2,621,2,951,1,1,0,2,1,-5,0,-3,0
2,935,1,992,1,1,1,2,1,-3,-1,-3,0
2,557,1,619,1,-1,0,3,0,-2,-1,-3,0
2,581,1,878,2,-2,1,2,0,-2,-1,-3,0
2,669,1,652,2,-2,0,3,1,-2,0,-2,0
2,621,1,1079,1,1,1,2,1,-3,1,-2,0
2,457,1,782,1,1,0,3,1,-2,1,-1,0
2,650,2,799,1,3,1,3,3,-2,3,0,0
2,520,2,652,1,3,1,3,4,-4,3,-1,0
2,650,2,727,1,2,1,3,4,-4,2,-1,0
2,564,2,623,1,4,0,2,4,-3,2,-1,0
2,576,2,666,1,1,1,3,2,-3,1,-1,0
2,533,2,564,1,2,0,2,2,-2,0,0,0
2,580,2,683,1,-1,1,3,2,-2,-1,0,0
2,490,2,710,1,-1,1,3,2,-3,-1,0,0
2,586,2,733,1,0,0,2,0,-3,-1,-1,0
2,599,2,786,1,-1,1,3,0,-3,-1,-2,0
2,625,2,829,2,-4,1,3,0,-4,-1,-4,0
2,518,2,699,1,0,1,3,-1,-4,0,-3,0
2,518,1,623,1,1,0,3,0,-3,1,-2,0
2,880,1,839,1,1,1,2,1,-3,0,-2,0
2,627,1,575,1,-1,0,3,2,-2,-1,-2,0
2,546,1,973,1,1,1,2,1,-3,-2,-2,0
2,589,2,618,1,1,0,2,1,-3,-2,-2,0
2,434,2,782,1,-2,1,3,0,-2,-2,-2,0
2,685,2,906,2,-2,1,3,0,-3,-2,-2,0
2,669,1,531,1,-1,0,3,-1,-3,-1,-2,0
2,460,2,871,1,-1,0,2,-1,-4,-1,-2,0
2,543,2,636,1,0,0,2,0,-3,0,-1,0
2,503,2,608,1,0,1,3,0,-3,0,-1,0
2,808,1,921,1,0,1,2,0,-3,1,-1,0
2,718,1,816,1,1,1,2,1,-4,1,-2,0
2,577,1,823,1,2,1,2,2,-3,0,-2,0
2,515,1,711,1,-1,0,3,2,-4,-1,-2,0
2,477,2,742,1,2,0,2,2,-4,0,-2,0
2,457,2,697,1,0,1,3,2,-5,0,-2,0
2,493,2,1065,2,-2,1,3,2,-4,1,-2,0
2,547,2,884,1,0,1,3,1,-5,0,-2,0
2,529,2,578,1,0,0,2,0,-4,0,-2,0
2,553,2,771,1,0,1,3,0,-2,0,-2,0
2,533,2,666,1,1,1,3,0,-2,1,-2,0
2,612,2,774,1,1,1,3,0,-2,1,-3,0
