sub_id,turn,c1,s2,c2,re,trial_n,social_agent_id
1,1,1,2,2,-2,1,39
1,2,1,2,2,0,2,39
1,1,1,3,2,5,3,39
1,2,2,2,2,-2,4,39
1,1,1,2,1,-4,5,39
1,2,2,2,2,3,6,39
1,1,1,2,2,2,7,39
1,2,2,3,1,-4,8,39
1,1,2,2,2,-1,9,39
1,2,2,3,1,-3,10,39
1,1,1,3,2,-2,11,39
1,2,2,2,2,-3,12,39
1,1,1,2,2,-1,13,39
1,2,2,3,1,-3,14,39
1,1,1,2,2,-2,15,39
1,2,2,2,2,-1,16,39
1,1,1,2,1,-2,17,39
1,2,2,3,1,-2,18,39
1,1,1,3,1,-5,19,39
1,2,1,2,1,-4,20,39
1,1,2,2,1,-3,21,39
1,2,1,2,2,2,22,39
1,1,2,2,1,-2,23,39
1,2,2,3,1,1,24,39
1,1,2,2,2,2,25,39
1,2,2,2,1,3,26,39
1,1,2,2,2,4,27,39
1,2,2,3,2,-5,28,39
1,1,2,3,2,-4,29,39
1,2,2,3,2,-3,30,39
1,1,1,2,2,5,31,39
1,2,2,3,1,3,32,39
1,1,1,2,2,3,33,39
1,2,2,3,1,2,34,39
1,1,1,2,2,4,35,39
1,2,2,3,1,3,36,39
1,1,1,3,1,5,37,39
1,2,2,3,1,4,38,39
1,1,1,2,2,5,39,39
1,2,2,3,1,5,40,39
1,1,1,2,2,2,41,39
1,2,2,3,1,3,42,39
1,1,1,2,2,4,43,39
1,2,2,3,1,-1,44,39
1,1,1,3,1,0,45,39
1,2,2,2,2,1,46,39
1,1,1,2,2,0,47,39
1,2,2,3,1,-1,48,39
1,1,2,3,1,-1,49,39
1,2,2,3,2,-5,50,39
1,1,1,2,2,-1,51,39
1,2,1,2,2,-3,52,39
1,1,1,2,2,-3,53,39
1,2,2,3,1,-5,54,39
1,1,2,3,1,-5,55,39
1,2,2,3,2,-1,56,39
1,1,1,2,2,-3,57,39
1,2,1,2,2,-3,58,39
1,1,1,3,2,-3,59,39
1,2,2,3,2,-4,60,39
1,1,2,2,1,1,61,39
1,2,2,3,2,-2,62,39
1,1,2,2,1,-5,63,39
1,2,1,3,2,-2,64,39
1,1,1,2,1,-5,65,39
1,2,2,3,2,-3,66,39
1,1,2,2,1,-5,67,39
1,2,1,2,1,-3,68,39
1,1,1,2,2,-2,69,39
1,2,2,3,2,-5,70,39
1,1,1,2,2,-4,71,39
1,2,2,3,1,1,72,39
1,1,2,2,2,-4,73,39
1,2,2,3,1,1,74,39
1,1,1,3,2,-5,75,39
1,2,2,3,1,1,76,39
1,1,2,3,1,2,77,39
1,2,2,3,2,1,78,39
1,1,2,2,2,-2,79,39
1,2,2,3,1,0,80,39
1,1,1,2,2,-1,81,39
1,2,2,2,1,0,82,39
1,1,2,2,2,0,83,39
1,2,2,3,1,-4,84,39
1,1,2,2,1,5,85,39
1,2,2,3,1,-3,86,39
1,1,2,2,1,5,87,39
1,2,1,3,2,0,88,39
1,1,2,3,1,2,89,39
1,2,1,2,2,2,90,39
1,1,2,2,1,-1,91,39
1,2,2,3,1,4,92,39
1,1,2,3,1,3,93,39
1,2,2,2,2,3,94,39
1,1,2,2,2,2,95,39
1,2,2,3,2,5,96,39
1,1,2,2,1,3,97,39
1,2,1,2,1,5,98,39
1,1,2,2,1,4,99,39
1,2,1,2,1,4,100,39
1,1,2,2,1,5,101,39
1,2,1,3,1,4,102,39
1,1,2,3,1,3,103,39
1,2,1,3,1,5,104,39
1,1,2,2,1,3,105,39
1,2,1,3,1,2,106,39
1,1,2,3,1,3,107,39
1,2,2,3,2,1,108,39
1,1,2,2,1,4,109,39
1,2,1,2,1,5,110,39
1,1,2,2,1,4,111,39
1,2,1,2,2,-2,112,39
1,1,2,2,2,-3,113,39
1,2,1,3,2,-5,114,39
1,1,2,2,1,1,115,39
1,2,2,3,2,-4,116,39
1,1,2,2,1,3,117,39
1,2,1,2,2,0,118,39
1,1,2,3,1,4,119,39
1,2,2,3,2,1,120,39
1,1,2,2,1,4,121,39
1,2,2,2,2,-4,122,39
1,1,2,2,1,4,123,39
1,2,1,2,1,3,124,39
1,1,2,2,1,0,125,39
2,1,1,2,2,-2,1,15
2,2,2,3,1,-5,2,15
2,1,2,2,1,-4,3,15
2,2,1,3,2,4,4,15
2,1,1,2,2,0,5,15
2,2,2,2,2,3,6,15
2,1,2,2,2,2,7,15
2,2,2,3,2,-4,8,15
2,1,1,2,2,-1,9,15
2,2,2,3,1,-3,10,15
2,1,2,2,2,-1,11,15
2,2,1,3,2,-2,12,15
2,1,2,2,2,-1,13,15
2,2,1,2,2,0,14,15
2,1,2,2,2,-2,15,15
2,2,1,3,1,-4,16,15
2,1,1,2,2,-2,17,15
2,2,2,3,1,-2,18,15
2,1,2,2,1,-1,19,15
2,2,1,2,2,1,20,15
2,1,2,2,2,2,21,15
2,2,2,3,1,-4,22,15
2,1,2,2,1,-2,23,15
2,2,2,3,1,1,24,15
2,1,1,2,1,2,25,15
2,2,1,3,1,2,26,15
2,1,2,2,2,4,27,15
2,2,2,3,1,3,28,15
2,1,2,2,2,4,29,15
2,2,2,3,1,-1,30,15
2,1,2,2,2,5,31,15
2,2,2,3,2,-3,32,15
2,1,2,2,2,3,33,15
2,2,2,3,1,2,34,15
2,1,2,2,2,4,35,15
2,2,1,2,2,5,36,15
2,1,2,2,1,3,37,15
2,2,2,3,1,4,38,15
2,1,1,3,2,-4,39,15
