sub_id,turn,c1,s2,c2,re,trial_n,social_agent_id
1,1,2,2,2,-2,1,16
1,2,1,2,1,0,2,16
1,1,1,2,1,-1,3,16
1,2,2,3,2,-1,4,16
1,1,1,2,1,-2,5,16
1,2,2,3,1,2,6,16
1,1,1,3,1,4,7,16
1,2,2,2,2,-4,8,16
1,1,1,2,1,-2,9,16
1,2,2,2,2,-1,10,16
1,1,2,2,1,-3,11,16
1,2,1,2,1,-5,12,16
1,1,1,2,2,3,13,16
1,2,2,3,2,-5,14,16
1,1,1,2,2,5,15,16
1,2,1,2,1,-5,16,16
1,1,1,2,2,3,17,16
1,2,1,2,1,-3,18,16
1,1,1,3,2,0,19,16
1,2,1,2,2,2,20,16
1,1,1,2,2,-1,21,16
1,2,1,3,2,0,22,16
1,1,2,2,2,-3,23,16
1,2,1,3,1,-5,24,16
1,1,1,3,2,0,25,16
1,2,1,2,2,-3,26,16
1,1,1,2,1,-5,27,16
1,2,2,3,1,0,28,16
1,1,2,3,1,5,29,16
1,2,2,3,1,5,30,16
1,1,2,2,2,-4,31,16
1,2,2,2,2,-4,32,16
1,1,1,2,2,-4,33,16
1,2,2,3,1,2,34,16
1,1,2,2,2,0,35,16
1,2,2,3,2,2,36,16
1,1,2,2,2,-2,37,16
1,2,2,3,2,3,38,16
1,1,2,2,2,-3,39,16
1,2,2,3,2,0,40,16
1,1,2,3,1,2,41,16
1,2,2,3,2,-2,42,16
1,1,2,2,1,0,43,16
1,2,1,2,1,-3,44,16
1,1,2,2,1,-4,45,16
1,2,2,3,1,-4,46,16
1,1,2,2,1,-3,47,16
1,2,1,2,2,-1,48,16
1,1,2,2,2,-1,49,16
1,2,2,3,2,-4,50,16
1,1,2,3,1,-1,51,16
1,2,1,2,2,4,52,16
1,1,2,2,2,1,53,16
1,2,1,2,2,2,54,16
1,1,2,2,2,2,55,16
1,2,1,2,1,1,56,16
1,1,2,2,2,5,57,16
1,2,1,2,2,3,58,16
1,1,2,2,2,3,59,16
1,2,1,2,2,3,60,16
1,1,2,2,2,2,61,16
1,2,1,2,2,1,62,16
1,1,2,2,2,0,63,16
1,2,1,2,2,0,64,16
1,1,2,2,2,2,65,16
1,2,2,3,2,3,66,16
1,1,2,2,2,5,67,16
1,2,2,3,2,-1,68,16
1,1,2,2,2,4,69,16
1,2,2,2,2,4,70,16
1,1,2,2,2,3,71,16
1,2,1,2,2,4,72,16
1,1,2,2,2,2,73,16
1,2,1,2,2,4,74,16
1,1,2,2,2,2,75,16
1,2,1,2,2,4,76,16
1,1,2,2,2,4,77,16
1,2,1,3,2,4,78,16
1,1,2,2,2,3,79,16
1,2,2,3,2,5,80,16
1,1,2,2,2,3,81,16
1,2,2,3,2,3,82,16
1,1,2,2,2,3,83,16
1,2,1,2,1,3,84,16
1,1,2,2,2,5,85,16
1,2,1,2,2,5,86,16
1,1,2,2,2,4,87,16
1,2,1,2,2,4,88,16
1,1,2,3,1,-2,89,16
1,2,1,3,2,4,90,16
1,1,2,3,2,3,91,16
1,2,1,2,2,4,92,16
1,1,2,3,2,3,93,16
1,2,1,2,2,2,94,16
1,1,2,2,2,1,95,16
1,2,2,3,1,4,96,16
1,1,2,2,2,-2,97,16
1,2,2,2,2,-1,98,16
1,1,2,2,2,-1,99,16
1,2,2,3,1,2,100,16
1,1,2,2,2,-1,101,16
1,2,1,2,1,5,102,16
1,1,1,2,1,4,103,16
1,2,2,3,2,2,104,16
1,1,1,2,1,4,105,16
1,2,1,2,1,4,106,16
1,1,2,2,1,4,107,16
1,2,1,2,1,5,108,16
1,1,1,2,1,4,109,16
1,2,1,2,1,2,110,16
