sub_id,turn,c1,s2,c2,re,trial_n,social_agent_id
1,1,2,2,2,5,1,51
1,2,1,2,1,-3,2,51
1,1,2,2,2,3,3,51
1,2,1,2,2,0,4,51
1,1,2,2,2,0,5,51
1,2,1,2,1,-3,6,51
1,1,2,2,2,4,7,51
1,2,2,2,2,2,8,51
1,1,2,2,2,2,9,51
1,2,2,2,2,1,10,51
1,1,2,2,2,3,11,51
1,2,2,3,1,3,12,51
1,1,2,2,2,5,13,51
1,2,2,3,1,4,14,51
1,1,2,3,1,3,15,51
1,2,2,3,1,1,16,51
1,1,1,3,1,1,17,51
1,2,2,3,1,2,18,51
1,1,1,2,2,5,19,51
1,2,2,3,1,-1,20,51
1,1,2,2,2,3,21,51
1,2,2,3,1,3,22,51
1,1,1,2,2,1,23,51
1,2,2,3,1,4,24,51
1,1,2,2,2,-4,25,51
1,2,2,2,2,-3,26,51
1,1,1,3,1,1,27,51
1,2,2,3,1,3,28,51
1,1,1,2,2,-2,29,51
1,2,2,2,2,-2,30,51
1,1,1,2,2,-3,31,51
1,2,2,3,1,3,32,51
1,1,2,2,2,-2,33,51
1,2,2,3,1,3,34,51
1,1,2,2,1,5,35,51
1,2,2,3,1,-2,36,51
1,1,2,2,1,3,37,51
1,2,2,3,1,2,38,51
1,1,2,3,2,-3,39,51
1,2,2,3,1,4,40,51
1,1,2,2,1,1,41,51
1,2,2,3,1,4,42,51
1,1,2,3,1,5,43,51
1,2,2,3,1,3,44,51
1,1,2,2,1,0,45,51
1,2,2,3,1,0,46,51
1,1,1,3,1,0,47,51
1,2,2,3,1,4,48,51
1,1,2,3,1,4,49,51
1,2,1,2,2,-2,50,51
1,1,1,2,1,-2,51,51
1,2,1,3,2,1,52,51
1,1,2,2,2,-5,53,51
1,2,2,3,1,1,54,51
1,1,1,2,1,-2,55,51
1,2,2,3,1,1,56,51
1,1,1,3,1,-2,57,51
1,2,2,3,1,-2,58,51
1,1,1,2,2,-1,59,51
1,2,1,2,1,-4,60,51
1,1,2,2,2,-5,61,51
1,2,2,3,1,-4,62,51
1,1,1,3,2,2,63,51
1,2,2,2,1,-4,64,51
1,1,1,2,1,-5,65,51
1,2,2,3,2,0,66,51
1,1,1,2,2,1,67,51
1,2,1,2,1,0,68,51
1,1,1,2,2,1,69,51
1,2,2,3,2,1,70,51
1,1,2,2,2,1,71,51
1,2,2,3,2,-3,72,51
1,1,1,2,2,-2,73,51
