sub_id,turn,c1,s2,c2,re,trial_n,social_agent_id
1,1,1,2,1,-4,1,68
1,2,2,3,1,1,2,68
1,1,1,2,2,-2,3,68
1,2,1,2,2,-1,4,68
1,1,2,2,2,1,5,68
1,2,1,2,2,1,6,68
1,1,1,2,1,2,7,68
1,2,1,2,2,4,8,68
1,1,2,2,1,-1,9,68
1,2,2,2,2,4,10,68
1,1,1,2,2,4,11,68
1,2,1,2,2,4,12,68
1,1,2,2,2,5,13,68
1,2,1,2,2,3,14,68
1,1,2,2,2,2,15,68
1,2,1,3,2,5,16,68
1,1,2,2,2,-2,17,68
1,2,2,3,2,3,18,68
1,1,1,2,1,-1,19,68
1,2,2,2,1,-1,20,68
1,1,2,3,2,1,21,68
1,2,2,3,2,2,22,68
1,1,1,2,2,3,23,68
1,2,1,2,2,3,24,68
1,1,2,3,2,2,25,68
1,2,2,2,2,4,26,68
1,1,2,2,2,0,27,68
1,2,1,3,2,-2,28,68
1,1,2,2,2,-2,29,68
1,2,2,2,2,-2,30,68
1,1,1,3,1,-1,31,68
1,2,1,3,2,-3,32,68
1,1,2,2,2,-2,33,68
1,2,2,2,2,-4,34,68
1,1,1,2,1,-2,35,68
1,2,1,3,1,-1,36,68
1,1,2,2,1,-1,37,68
1,2,1,3,1,0,38,68
1,1,1,2,1,-2,39,68
1,2,2,3,2,1,40,68
1,1,1,3,1,-3,41,68
1,2,1,3,2,1,42,68
1,1,2,2,2,-4,43,68
1,2,1,2,2,-5,44,68
1,1,1,2,1,-4,45,68
1,2,1,2,2,-2,46,68
1,1,1,3,1,-5,47,68
1,2,1,2,2,-2,48,68
1,1,1,2,1,-2,49,68
1,2,2,3,2,3,50,68
1,1,2,2,2,4,51,68
1,2,2,3,1,-5,52,68
1,1,2,2,2,1,53,68
1,2,1,2,2,1,54,68
1,1,2,2,2,3,55,68
1,2,1,2,2,3,56,68
1,1,1,2,2,4,57,68
1,2,1,2,2,3,58,68
1,1,1,2,2,3,59,68
1,2,1,2,2,5,60,68
1,1,1,2,2,3,61,68
1,2,2,3,2,1,62,68
1,1,1,2,2,4,63,68
1,2,2,3,2,5,64,68
1,1,2,3,2,4,65,68
1,2,2,3,2,5,66,68
1,1,2,2,2,5,67,68
1,2,2,3,2,4,68,68
1,1,2,2,2,5,69,68
1,2,2,3,2,3,70,68
1,1,1,2,2,3,71,68
1,2,1,2,2,2,72,68
1,1,1,2,1,1,73,68
1,2,2,3,2,-2,74,68
1,1,1,2,2,-5,75,68
1,2,1,2,2,-4,76,68
1,1,1,2,1,-3,77,68
1,2,2,3,2,3,78,68
1,1,2,2,1,1,79,68
1,2,2,3,2,5,80,68
1,1,2,2,1,1,81,68
1,2,2,3,2,0,82,68
1,1,2,2,1,1,83,68
1,2,2,3,2,0,84,68
1,1,2,2,1,3,85,68
1,2,1,2,2,1,86,68
1,1,1,2,1,0,87,68
1,2,1,3,2,-2,88,68
1,1,2,2,1,2,89,68
1,2,1,2,2,2,90,68
1,1,1,3,2,-5,91,68
1,2,1,2,2,4,92,68
1,1,2,3,2,-2,93,68
1,2,1,2,2,4,94,68
1,1,1,2,2,4,95,68
1,2,1,3,1,-3,96,68
1,1,1,2,2,4,97,68
1,2,1,2,2,4,98,68
1,1,1,2,2,1,99,68
1,2,1,2,2,2,100,68
1,1,1,3,1,-2,101,68
1,2,2,2,2,3,102,68
1,1,2,2,2,5,103,68
1,2,1,2,2,4,104,68
1,1,1,2,2,2,105,68
1,2,2,2,2,0,106,68
1,1,2,2,2,1,107,68
1,2,1,2,2,0,108,68
1,1,1,2,1,3,109,68
1,2,1,2,2,3,110,68
1,1,1,2,2,2,111,68
1,2,1,2,2,4,112,68
1,1,2,2,2,3,113,68
1,2,2,3,2,2,114,68
1,1,1,2,2,2,115,68
1,2,1,2,2,3,116,68
1,1,1,2,1,2,117,68
1,2,1,3,2,2,118,68
1,1,1,2,2,4,119,68
1,2,1,3,2,0,120,68
1,1,1,3,2,0,121,68
1,2,1,3,2,-2,122,68
1,1,2,2,2,4,123,68
1,2,2,3,2,-2,124,68
1,1,2,2,2,1,125,68
2,1,1,2,1,-4,1,20
2,2,2,3,2,3,2,20
2,1,2,3,2,3,3,20
2,2,2,3,2,4,4,20
2,1,2,3,2,2,5,20
2,2,2,3,2,3,6,20
2,1,2,2,1,2,7,20
2,2,2,3,2,4,8,20
2,1,2,2,2,5,9,20
2,2,1,3,2,2,10,20
2,1,2,3,2,2,11,20
2,2,2,3,2,4,12,20
2,1,2,2,2,5,13,20
2,2,1,2,2,3,14,20
2,1,2,2,2,2,15,20
2,2,2,2,2,-1,16,20
2,1,1,3,2,4,17,20
2,2,2,3,2,3,18,20
2,1,1,2,2,-2,19,20
2,2,2,2,2,-1,20,20
2,1,1,2,1,-1,21,20
2,2,1,2,1,-1,22,20
2,1,2,2,1,1,23,20
2,2,2,3,2,3,24,20
2,1,2,3,2,2,25,20
2,2,2,2,2,4,26,20
2,1,2,2,1,0,27,20
2,2,2,2,2,-2,28,20
2,1,2,2,1,-2,29,20
2,2,2,2,2,-2,30,20
2,1,1,2,1,-1,31,20
2,2,2,2,1,-1,32,20
2,1,1,2,1,1,33,20
2,2,1,3,2,-3,34,20
2,1,2,3,2,-3,35,20
2,2,1,3,1,-1,36,20
2,1,2,2,2,-3,37,20
2,2,1,3,2,0,38,20
2,1,1,2,2,-1,39,20
2,2,2,3,1,-3,40,20
2,1,1,2,2,-1,41,20
2,2,1,3,2,1,42,20
2,1,1,2,1,-2,43,20
2,2,1,2,2,-5,44,20
2,1,2,2,1,-4,45,20
2,2,1,2,1,-4,46,20
2,1,2,2,2,-2,47,20
2,2,2,3,2,0,48,20
2,1,2,2,2,-1,49,20
2,2,2,3,2,3,50,20
2,1,2,2,2,4,51,20
2,2,2,3,2,2,52,20
2,1,2,2,2,1,53,20
2,2,1,2,1,4,54,20
2,1,1,2,1,4,55,20
2,2,1,2,1,4,56,20
2,1,1,3,2,-1,57,20
2,2,2,3,1,0,58,20
2,1,2,2,1,4,59,20
2,2,1,2,1,3,60,20
2,1,1,2,1,4,61,20
2,2,2,3,2,1,62,20
2,1,1,2,1,3,63,20
2,2,2,3,2,5,64,20
2,1,1,3,2,4,65,20
2,2,2,3,2,5,66,20
2,1,2,2,1,2,67,20
2,2,2,3,2,4,68,20
2,1,1,3,2,2,69,20
2,2,1,2,2,4,70,20
2,1,1,2,2,3,71,20
2,2,1,2,2,2,72,20
2,1,1,2,2,1,73,20
2,2,2,3,2,-2,74,20
2,1,1,3,1,1,75,20
2,2,2,3,1,2,76,20
2,1,1,2,1,-3,77,20
2,2,1,2,1,-2,78,20
2,1,2,2,2,-1,79,20
2,2,1,2,2,-2,80,20
2,1,2,2,1,1,81,20
2,2,1,2,1,2,82,20
2,1,2,3,1,-4,83,20
2,2,1,2,1,1,84,20
2,1,2,2,1,3,85,20
2,2,2,3,2,0,86,20
2,1,1,2,1,0,87,20
2,2,1,3,2,-2,88,20
2,1,2,2,1,2,89,20
2,2,2,3,1,0,90,20
