sub_id,turn,c1,s2,c2,re,trial_n,social_agent_id
1,1,1,2,2,-2,1,63
1,2,1,2,1,-5,2,63
1,1,2,2,2,-1,3,63
1,2,2,2,2,-2,4,63
1,1,2,2,1,-4,5,63
1,2,1,3,2,-2,6,63
1,1,2,2,2,2,7,63
1,2,1,2,2,1,8,63
1,1,2,2,2,-1,9,63
1,2,2,3,1,-3,10,63
1,1,1,3,2,-2,11,63
1,2,1,3,1,-3,12,63
1,1,1,2,2,-1,13,63
1,2,1,2,2,0,14,63
1,1,2,3,1,-3,15,63
1,2,1,3,1,-4,16,63
1,1,1,2,2,-2,17,63
1,2,1,2,2,0,18,63
1,1,2,2,2,1,19,63
1,2,1,2,2,1,20,63
1,1,1,2,2,2,21,63
1,2,2,3,1,-4,22,63
1,1,2,2,2,3,23,63
1,2,1,2,2,2,24,63
1,1,2,2,2,2,25,63
1,2,1,3,2,-3,26,63
1,1,2,3,1,1,27,63
1,2,1,2,2,3,28,63
1,1,2,2,1,0,29,63
1,2,1,2,2,5,30,63
1,1,1,2,2,5,31,63
1,2,2,3,1,3,32,63
1,1,1,3,1,2,33,63
1,2,2,3,1,2,34,63
1,1,1,2,2,4,35,63
1,2,2,3,1,3,36,63
1,1,1,2,2,4,37,63
1,2,1,2,2,4,38,63
1,1,1,3,1,3,39,63
1,2,1,2,2,5,40,63
1,1,1,2,2,2,41,63
1,2,2,3,1,3,42,63
1,1,1,2,2,4,43,63
1,2,2,3,1,-1,44,63
1,1,1,2,2,0,45,63
1,2,1,3,1,2,46,63
1,1,1,2,2,0,47,63
1,2,2,3,1,-1,48,63
1,1,2,2,2,1,49,63
1,2,2,3,1,-3,50,63
1,1,1,2,2,-1,51,63
1,2,1,2,2,-3,52,63
1,1,1,2,1,4,53,63
1,2,2,3,1,-5,54,63
1,1,2,2,1,4,55,63
1,2,2,3,1,-4,56,63
1,1,2,2,1,3,57,63
1,2,1,2,1,3,58,63
1,1,1,3,1,-4,59,63
1,2,2,3,1,-3,60,63
1,1,2,2,1,1,61,63
1,2,1,2,1,-2,62,63
1,1,2,2,1,-5,63,63
1,2,2,2,2,-5,64,63
1,1,1,2,2,-2,65,63
1,2,2,3,2,-3,66,63
1,1,1,2,2,-2,67,63
1,2,1,2,2,-2,68,63
1,1,1,2,1,-3,69,63
1,2,2,3,1,1,70,63
1,1,1,2,1,-1,71,63
1,2,1,2,2,-5,72,63
1,1,2,2,1,-2,73,63
1,2,1,2,2,-3,74,63
1,1,1,3,2,-5,75,63
1,2,1,2,2,-5,76,63
1,1,2,2,1,-1,77,63
1,2,2,3,2,1,78,63
1,1,2,2,1,4,79,63
1,2,1,2,2,-1,80,63
1,1,1,2,1,1,81,63
1,2,1,3,1,-2,82,63
1,1,2,2,2,0,83,63
1,2,2,3,1,-4,84,63
1,1,1,2,1,5,85,63
1,2,1,2,2,5,86,63
1,1,1,3,1,0,87,63
1,2,2,2,2,2,88,63
1,1,2,2,1,2,89,63
1,2,2,3,1,5,90,63
1,1,1,2,2,2,91,63
1,2,1,2,2,3,92,63
1,1,2,2,1,-1,93,63
1,2,1,3,1,5,94,63
1,1,1,2,2,2,95,63
1,2,2,3,1,4,96,63
1,1,1,2,1,3,97,63
1,2,1,2,2,2,98,63
1,1,1,3,1,4,99,63
1,2,1,2,2,1,100,63
1,1,1,2,2,0,101,63
1,2,2,2,2,0,102,63
1,1,1,2,1,5,103,63
1,2,1,3,1,5,104,63
1,1,2,3,1,3,105,63
1,2,1,3,1,2,106,63
1,1,1,2,2,-5,107,63
1,2,2,3,1,3,108,63
1,1,2,2,1,4,109,63
1,2,1,2,2,-5,110,63
1,1,1,2,1,4,111,63
