sub_id,turn,c1,s2,c2,re,trial_n,social_agent_id
1,1,2,2,1,2,1,34
1,2,1,2,2,-1,2,34
1,1,1,2,1,3,3,34
1,2,2,2,1,1,4,34
1,1,2,2,1,2,5,34
1,2,2,3,1,4,6,34
1,1,2,2,1,3,7,34
1,2,1,2,1,2,8,34
1,1,2,2,1,3,9,34
1,2,2,3,2,1,10,34
1,1,1,2,1,4,11,34
1,2,1,2,2,-3,12,34
1,1,1,2,1,5,13,34
1,2,2,2,1,4,14,34
1,1,1,2,1,2,15,34
1,2,2,3,1,3,16,34
1,1,1,2,1,-2,17,34
1,2,1,3,1,-1,18,34
1,1,1,2,1,0,19,34
1,2,2,2,1,2,20,34
1,1,2,2,1,2,21,34
1,2,2,3,2,-1,22,34
1,1,2,2,2,1,23,34
1,2,1,2,1,4,24,34
1,1,1,2,1,2,25,34
1,2,2,3,2,4,26,34
1,1,1,3,1,0,27,34
1,2,2,2,1,4,28,34
1,1,1,2,1,3,29,34
1,2,1,2,1,3,30,34
1,1,1,2,1,2,31,34
1,2,1,2,2,3,32,34
1,1,1,3,2,4,33,34
1,2,1,3,2,4,34,34
1,1,2,2,2,-1,35,34
1,2,2,3,2,4,36,34
1,1,2,2,2,-2,37,34
1,2,2,3,2,3,38,34
1,1,1,2,2,-3,39,34
1,2,1,2,1,5,40,34
1,1,2,2,1,2,41,34
1,2,1,2,2,-1,42,34
1,1,1,2,1,0,43,34
1,2,1,2,2,1,44,34
1,1,2,2,1,-3,45,34
1,2,1,2,1,-3,46,34
1,1,1,2,2,3,47,34
1,2,1,2,1,-3,48,34
1,1,2,3,2,3,49,34
1,2,1,2,1,-4,50,34
1,1,2,2,2,1,51,34
1,2,1,2,2,4,52,34
1,1,2,2,2,3,53,34
1,2,2,2,1,0,54,34
1,1,1,3,2,1,55,34
1,2,1,2,2,3,56,34
1,1,1,2,2,2,57,34
1,2,2,3,2,0,58,34
1,1,1,2,2,4,59,34
1,2,2,3,2,2,60,34
1,1,1,2,2,0,61,34
1,2,1,2,1,3,62,34
1,1,1,2,2,-4,63,34
1,2,2,3,2,5,64,34
1,1,2,2,1,1,65,34
1,2,2,3,1,-2,66,34
1,1,1,2,1,1,67,34
1,2,2,3,2,2,68,34
1,1,1,3,2,2,69,34
1,2,1,3,2,5,70,34
1,1,1,3,2,1,71,34
1,2,2,2,1,1,72,34
1,1,1,2,2,1,73,34
1,2,1,2,2,3,74,34
1,1,1,2,1,3,75,34
1,2,1,2,1,0,76,34
1,1,1,2,2,3,77,34
1,2,1,2,1,2,78,34
1,1,2,2,2,2,79,34
1,2,2,2,1,2,80,34
1,1,1,2,1,1,81,34
1,2,1,2,2,3,82,34
1,1,1,3,2,5,83,34
1,2,1,2,1,-1,84,34
1,1,2,2,2,5,85,34
1,2,1,2,1,-2,86,34
1,1,2,2,2,3,87,34
1,2,1,2,1,1,88,34
1,1,2,2,2,4,89,34
1,2,2,3,1,-4,90,34
1,1,1,3,2,3,91,34
1,2,1,2,2,0,92,34
1,1,1,2,2,1,93,34
1,2,2,3,1,-5,94,34
1,1,1,2,1,2,95,34
1,2,1,2,1,-1,96,34
1,1,1,2,2,1,97,34
1,2,1,2,1,-4,98,34
1,1,1,2,2,1,99,34
1,2,2,3,1,-2,100,34
1,1,1,2,2,1,101,34
1,2,1,2,1,1,102,34
1,1,1,2,2,1,103,34
1,2,2,3,1,-3,104,34
1,1,2,2,2,2,105,34
1,2,1,2,1,-5,106,34
1,1,1,2,2,3,107,34
1,2,2,3,1,-3,108,34
1,1,2,2,2,1,109,34
1,2,2,3,1,-4,110,34
1,1,1,2,2,-1,111,34
1,2,2,3,2,-4,112,34
1,1,1,3,1,-3,113,34
1,2,1,2,1,-3,114,34
1,1,2,3,2,-2,115,34
1,2,2,3,2,-2,116,34
1,1,2,2,2,-2,117,34
1,2,2,3,2,-1,118,34
1,1,2,3,2,0,119,34
1,2,2,3,2,3,120,34
1,1,1,3,2,3,121,34
1,2,2,3,1,-5,122,34
1,1,1,2,2,-5,123,34
1,2,1,2,2,-4,124,34
1,1,2,3,2,5,125,34
2,1,1,2,1,-1,1,6
2,2,2,3,2,-1,2,6
2,1,1,2,1,-2,3,6
2,2,2,3,1,1,4,6
2,1,2,2,2,2,5,6
2,2,1,2,1,-3,6,6
2,1,1,3,1,2,7,6
2,2,1,3,1,3,8,6
2,1,1,3,2,0,9,6
2,2,1,2,1,-2,10,6
2,1,2,3,1,2,11,6
2,2,2,2,1,-3,12,6
2,1,1,2,2,-1,13,6
2,2,2,3,2,-3,14,6
2,1,1,2,2,-1,15,6
2,2,1,2,2,-2,16,6
2,1,1,2,2,0,17,6
2,2,2,3,2,-2,18,6
2,1,1,3,1,1,19,6
2,2,1,2,1,-4,20,6
2,1,2,2,1,-5,21,6
2,2,1,2,1,-2,22,6
2,1,1,2,2,-2,23,6
2,2,2,3,2,3,24,6
2,1,1,2,2,0,25,6
2,2,2,3,2,4,26,6
2,1,1,2,2,0,27,6
2,2,2,2,1,-2,28,6
2,1,2,2,2,0,29,6
2,2,1,2,2,1,30,6
2,1,2,2,2,1,31,6
2,2,2,3,1,5,32,6
2,1,1,3,1,3,33,6
2,2,1,2,1,0,34,6
2,1,1,2,2,2,35,6
2,2,2,2,1,2,36,6
2,1,1,2,2,1,37,6
2,2,1,2,1,4,38,6
2,1,1,2,2,1,39,6
2,2,2,3,2,2,40,6
2,1,1,2,2,-3,41,6
2,2,2,3,2,-1,42,6
2,1,1,2,2,-3,43,6
2,2,2,3,1,3,44,6
2,1,1,2,1,3,45,6
2,2,2,3,1,5,46,6
2,1,1,3,1,2,47,6
2,2,2,3,1,-1,48,6
2,1,1,2,1,-1,49,6
2,2,2,2,1,-3,50,6
2,1,1,2,1,-4,51,6
2,2,2,3,2,-1,52,6
2,1,1,3,1,2,53,6
2,2,1,2,1,-1,54,6
2,1,1,2,1,-1,55,6
2,2,2,3,1,5,56,6
2,1,1,3,1,2,57,6
2,2,2,2,2,3,58,6
2,1,2,2,1,-2,59,6
2,2,2,3,1,2,60,6
2,1,1,2,2,4,61,6
2,2,1,3,1,3,62,6
2,1,1,2,2,3,63,6
2,2,2,2,2,3,64,6
2,1,1,2,2,3,65,6
2,2,1,2,2,0,66,6
2,1,1,3,1,-1,67,6
2,2,1,2,1,-1,68,6
2,1,1,3,1,-3,69,6
2,2,2,3,1,-3,70,6
2,1,1,2,2,0,71,6
2,2,2,3,1,-3,72,6
2,1,1,2,2,1,73,6
2,2,1,2,1,3,74,6
2,1,2,2,2,-5,75,6
2,2,1,2,1,2,76,6
2,1,1,2,2,-2,77,6
2,2,1,3,1,1,78,6
2,1,2,2,1,-3,79,6
2,2,1,3,1,1,80,6
2,1,2,2,1,-4,81,6
2,2,2,3,1,-1,82,6
2,1,2,2,2,5,83,6
2,2,2,3,2,2,84,6
2,1,1,3,2,4,85,6
2,2,2,3,2,1,86,6
2,1,2,3,2,-1,87,6
2,2,1,2,1,0,88,6
2,1,2,2,2,3,89,6
2,2,2,3,1,-4,90,6
2,1,1,2,2,5,91,6
2,2,2,3,2,-4,92,6
2,1,1,2,2,4,93,6
2,2,1,3,2,-4,94,6
2,1,1,3,1,-4,95,6
2,2,1,3,2,-3,96,6
2,1,2,2,2,4,97,6
2,2,2,3,2,-4,98,6
2,1,1,2,2,4,99,6
2,2,1,2,1,3,100,6
2,1,1,2,2,2,101,6
2,2,1,2,1,2,102,6
2,1,1,3,1,-3,103,6
2,2,2,3,2,-5,104,6
2,1,2,3,1,-1,105,6
2,2,2,2,1,-4,106,6
2,1,1,2,2,0,107,6
2,2,1,2,2,-2,108,6
2,1,1,2,2,-4,109,6
2,2,2,3,2,2,110,6
2,1,2,2,2,-4,111,6
2,2,1,2,1,2,112,6
2,1,2,2,1,4,113,6
2,2,1,2,1,3,114,6
2,1,1,2,1,3,115,6
2,2,1,3,2,0,116,6
2,1,1,2,1,2,117,6
2,2,1,2,1,2,118,6
2,1,2,2,1,1,119,6
2,2,2,3,2,2,120,6
2,1,2,3,2,4,121,6
2,2,2,2,1,5,122,6
2,1,1,2,1,4,123,6
2,2,2,3,2,4,124,6
2,1,1,2,1,4,125,6
3,2,2,3,1,4,1,75
3,1,1,2,1,-3,2,75
3,2,2,2,1,1,3,75
3,1,2,2,2,0,4,75
3,2,2,3,2,-3,5,75
3,1,2,2,2,1,6,75
3,2,1,2,1,-4,7,75
3,1,2,2,2,2,8,75
3,2,2,2,1,-3,9,75
3,1,1,2,2,1,10,75
3,2,2,2,1,0,11,75
3,1,1,3,1,3,12,75
3,2,2,3,1,3,13,75
3,1,2,2,2,1,14,75
3,2,2,3,1,3,15,75
3,1,1,3,1,1,16,75
3,2,2,3,2,-4,17,75
3,1,1,2,2,5,18,75
3,2,1,2,2,5,19,75
3,1,1,2,2,3,20,75
3,2,1,2,2,3,21,75
3,1,1,2,2,1,22,75
3,2,1,2,1,-3,23,75
3,1,2,2,2,-3,24,75
3,2,2,2,2,-4,25,75
3,1,2,2,1,-3,26,75
3,2,1,2,2,-3,27,75
3,1,1,2,1,-2,28,75
3,2,1,2,1,-2,29,75
3,1,2,3,1,3,30,75
3,2,2,3,2,3,31,75
3,1,1,2,2,-4,32,75
3,2,1,2,2,-2,33,75
3,1,2,2,1,4,34,75
3,2,1,2,1,5,35,75
3,1,1,2,1,2,36,75
3,2,1,3,2,-5,37,75
3,1,1,3,1,2,38,75
3,2,1,2,1,0,39,75
3,1,1,3,1,4,40,75
3,2,1,2,1,1,41,75
3,1,1,2,1,2,42,75
3,2,1,2,1,1,43,75
3,1,1,2,1,0,44,75
3,2,1,2,1,0,45,75
3,1,1,3,1,0,46,75
3,2,2,3,1,0,47,75
3,1,1,2,1,-5,48,75
3,2,2,3,1,4,49,75
3,1,1,2,1,-1,50,75
3,2,2,3,1,5,51,75
3,1,2,2,2,-4,52,75
3,2,2,2,1,-4,53,75
3,1,1,3,1,1,54,75
3,2,1,2,2,-4,55,75
3,1,1,2,1,-3,56,75
3,2,2,3,1,-2,57,75
3,1,2,2,2,-5,58,75
3,2,2,3,2,2,59,75
3,1,2,2,1,-4,60,75
3,2,1,3,1,-5,61,75
3,1,2,2,1,-5,62,75
3,2,2,3,1,-5,63,75
3,1,1,2,1,-4,64,75
3,2,1,2,2,0,65,75
3,1,2,2,2,1,66,75
3,2,1,2,2,1,67,75
3,1,1,2,2,3,68,75
3,2,1,2,2,1,69,75
3,1,1,2,2,-1,70,75
3,2,1,2,2,1,71,75
3,1,1,2,2,-1,72,75
3,2,1,2,2,-2,73,75
3,1,1,2,2,-2,74,75
3,2,2,2,2,-2,75,75
3,1,2,2,2,-1,76,75
3,2,2,3,1,5,77,75
3,1,1,2,2,-3,78,75
3,2,2,3,1,4,79,75
3,1,1,2,1,1,80,75
3,2,2,3,1,5,81,75
3,1,2,2,1,-1,82,75
3,2,2,3,1,2,83,75
3,1,2,3,1,3,84,75
3,2,2,3,1,4,85,75
3,1,2,2,2,-3,86,75
3,2,2,3,1,1,87,75
3,1,2,2,1,1,88,75
3,2,2,3,1,2,89,75
3,1,2,3,1,3,90,75
3,2,2,3,1,0,91,75
3,1,2,2,1,0,92,75
3,2,2,3,1,1,93,75
3,1,2,2,1,-5,94,75
3,2,2,3,1,1,95,75
3,1,2,2,2,-1,96,75
3,2,2,3,1,2,97,75
3,1,2,3,2,1,98,75
3,2,2,3,1,0,99,75
3,1,2,2,2,0,100,75
3,2,2,3,1,1,101,75
3,1,1,3,2,5,102,75
3,2,2,3,1,0,103,75
3,1,1,2,2,2,104,75
3,2,2,3,1,-2,105,75
3,1,2,2,2,-3,106,75
3,2,2,3,2,3,107,75
3,1,2,2,1,1,108,75
3,2,2,3,2,5,109,75
3,1,2,2,1,1,110,75
3,2,2,3,2,2,111,75
3,1,2,2,1,-1,112,75
3,2,2,2,2,-1,113,75
3,1,2,2,2,-1,114,75
3,2,2,3,1,-3,115,75
3,1,1,2,1,-3,116,75
3,2,1,2,2,3,117,75
3,1,1,2,2,2,118,75
3,2,1,2,2,1,119,75
3,1,1,2,2,1,120,75
3,2,1,2,2,5,121,75
3,1,1,2,2,5,122,75
3,2,1,2,2,4,123,75
3,1,1,2,2,3,124,75
3,2,1,2,2,4,125,75
4,2,1,2,1,2,1,41
4,1,1,3,1,5,2,41
4,2,2,3,2,-3,3,41
4,1,1,2,1,1,4,41
4,2,1,2,1,2,5,41
4,1,1,3,1,4,6,41
4,2,1,2,1,3,7,41
4,1,1,2,1,2,8,41
4,2,1,3,2,0,9,41
4,1,1,3,1,4,10,41
4,2,1,2,1,4,11,41
4,1,1,2,1,5,12,41
4,2,1,3,1,3,13,41
4,1,1,2,1,4,14,41
4,2,1,2,1,2,15,41
4,1,1,2,1,1,16,41
4,2,1,2,1,-2,17,41
4,1,2,2,2,-5,18,41
4,2,1,2,2,-2,19,41
4,1,1,2,1,2,20,41
4,2,2,2,2,1,21,41
4,1,1,2,2,0,22,41
4,2,2,3,1,1,23,41
4,1,1,2,1,4,24,41
4,2,1,2,2,3,25,41
4,1,1,2,1,3,26,41
4,2,1,2,2,3,27,41
4,1,1,2,2,4,28,41
4,2,1,2,2,3,29,41
4,1,1,2,2,2,30,41
4,2,1,3,2,1,31,41
4,1,1,2,1,-1,32,41
4,2,1,2,2,2,33,41
4,1,1,2,1,3,34,41
4,2,1,2,2,-1,35,41
4,1,2,2,1,4,36,41
4,2,1,2,1,4,37,41
4,1,2,2,1,4,38,41
4,2,1,2,1,4,39,41
4,1,1,2,1,5,40,41
4,2,1,2,1,2,41,41
4,1,2,2,1,3,42,41
4,2,1,2,1,0,43,41
4,1,1,2,2,1,44,41
4,2,2,2,1,-3,45,41
4,1,1,3,1,-2,46,41
