sub_id,turn,c1,s2,c2,re,trial_n,social_agent_id
1,1,1,3,2,3,1,28
1,2,1,2,2,-4,2,28
1,1,1,2,1,-1,3,28
1,2,2,3,1,2,4,28
1,1,1,2,2,-4,5,28
1,2,2,3,1,2,6,28
1,1,2,2,2,0,7,28
1,2,2,2,1,0,8,28
1,1,2,3,2,-2,9,28
1,2,2,2,2,-1,10,28
1,1,1,2,1,-3,11,28
1,2,1,2,1,-5,12,28
1,1,1,3,1,-4,13,28
1,2,1,2,2,3,14,28
1,1,1,3,1,-4,15,28
1,2,1,2,2,3,16,28
1,1,1,3,2,-4,17,28
1,2,1,2,2,4,18,28
1,1,2,3,2,0,19,28
1,2,1,2,2,2,20,28
1,1,1,2,2,-1,21,28
1,2,2,2,2,-2,22,28
1,1,1,3,1,-4,23,28
1,2,2,2,1,-4,24,28
1,1,2,2,2,-5,25,28
1,2,2,3,2,-1,26,28
1,1,1,2,1,-5,27,28
1,2,2,3,1,0,28,28
1,1,2,2,2,-5,29,28
1,2,2,3,1,5,30,28
1,1,1,2,1,-4,31,28
1,2,2,2,2,-4,32,28
1,1,1,2,2,-4,33,28
1,2,2,3,1,2,34,28
1,1,2,2,2,0,35,28
1,2,2,3,1,4,36,28
1,1,1,3,1,3,37,28
1,2,2,3,1,4,38,28
1,1,1,2,2,-3,39,28
1,2,2,3,1,3,40,28
1,1,1,3,1,2,41,28
1,2,2,3,1,2,42,28
1,1,2,2,1,0,43,28
1,2,2,3,1,-1,44,28
1,1,1,2,2,-5,45,28
1,2,1,2,2,-4,46,28
1,1,1,3,1,-3,47,28
1,2,1,2,1,-5,48,28
1,1,1,2,1,-4,49,28
1,2,2,3,2,-4,50,28
1,1,2,3,2,-5,51,28
1,2,1,2,2,4,52,28
1,1,1,2,2,1,53,28
1,2,1,2,2,2,54,28
1,1,1,3,1,-5,55,28
1,2,1,2,2,3,56,28
1,1,2,2,2,5,57,28
1,2,1,2,2,3,58,28
1,1,2,2,2,3,59,28
1,2,1,2,2,3,60,28
1,1,2,2,2,2,61,28
1,2,1,2,2,1,62,28
1,1,2,3,2,2,63,28
1,2,1,2,2,0,64,28
1,1,2,2,2,2,65,28
1,2,1,2,2,2,66,28
1,1,2,2,2,5,67,28
1,2,1,2,2,4,68,28
1,1,2,2,2,4,69,28
1,2,1,3,1,-2,70,28
1,1,2,2,2,3,71,28
1,2,1,2,2,4,72,28
1,1,2,2,2,2,73,28
1,2,1,2,2,4,74,28
1,1,2,2,1,3,75,28
1,2,1,2,2,4,76,28
1,1,2,2,2,4,77,28
1,2,1,3,2,4,78,28
1,1,2,2,1,3,79,28
1,2,1,2,2,4,80,28
1,1,2,2,2,3,81,28
1,2,1,2,2,5,82,28
1,1,1,2,2,3,83,28
1,2,1,2,2,5,84,28
1,1,2,3,2,2,85,28
1,2,1,2,2,5,86,28
1,1,2,2,1,5,87,28
1,2,1,2,2,4,88,28
1,1,2,2,2,3,89,28
1,2,1,3,2,4,90,28
1,1,1,3,2,3,91,28
1,2,1,2,2,4,92,28
1,1,2,2,2,3,93,28
1,2,1,2,2,2,94,28
1,1,2,2,2,1,95,28
1,2,1,2,2,0,96,28
1,1,2,2,1,1,97,28
1,2,2,2,2,-1,98,28
1,1,2,3,2,-1,99,28
1,2,2,3,1,2,100,28
1,1,1,2,2,-1,101,28
1,2,1,2,1,5,102,28
1,1,1,2,1,4,103,28
1,2,2,3,1,-2,104,28
1,1,2,2,2,2,105,28
1,2,1,2,1,4,106,28
1,1,1,3,2,-4,107,28
1,2,1,2,1,5,108,28
1,1,1,2,1,4,109,28
1,2,1,2,1,2,110,28
1,1,1,2,1,3,111,28
1,2,1,2,1,2,112,28
1,1,2,2,1,4,113,28
1,2,1,2,1,3,114,28
1,1,2,2,1,5,115,28
1,2,1,2,1,2,116,28
1,1,1,2,2,1,117,28
1,2,1,2,1,-3,118,28
1,1,2,2,1,-2,119,28
1,2,1,2,2,3,120,28
1,1,2,2,2,0,121,28
1,2,1,2,2,-4,122,28
1,1,2,2,1,-4,123,28
1,2,2,3,2,-3,124,28
1,1,1,2,1,-4,125,28
2,1,1,2,2,1,1,2
2,2,2,3,1,5,2,2
2,1,1,3,1,2,3,2
2,2,1,3,2,-1,4,2
2,1,1,2,1,2,5,2
2,2,2,3,1,4,6,2
2,1,1,3,1,4,7,2
2,2,2,3,2,-1,8,2
2,1,1,3,1,3,9,2
2,2,2,3,1,4,10,2
2,1,1,2,2,-3,11,2
2,2,2,3,2,0,12,2
2,1,2,2,1,5,13,2
2,2,2,2,2,-3,14,2
2,1,1,2,2,-2,15,2
2,2,2,3,1,3,16,2
2,1,2,3,2,0,17,2
2,2,1,3,2,-1,18,2
2,1,2,2,1,0,19,2
2,2,1,3,2,0,20,2
2,1,2,2,2,1,21,2
2,2,1,2,2,0,22,2
2,1,2,2,1,2,23,2
2,2,2,3,2,3,24,2
2,1,1,3,1,1,25,2
2,2,1,2,2,3,26,2
2,1,1,2,2,3,27,2
2,2,2,2,2,4,28,2
2,1,1,2,2,3,29,2
2,2,1,2,2,2,30,2
2,1,1,2,1,2,31,2
2,2,1,2,1,-1,32,2
2,1,1,2,2,2,33,2
2,2,1,3,1,2,34,2
2,1,2,2,1,5,35,2
2,2,1,2,2,0,36,2
2,1,1,2,1,4,37,2
2,2,1,2,2,-3,38,2
2,1,1,3,1,1,39,2
2,2,2,3,2,0,40,2
2,1,2,2,1,2,41,2
2,2,1,2,2,-1,42,2
2,1,2,2,1,0,43,2
2,2,1,2,1,0,44,2
2,1,1,3,2,-1,45,2
2,2,2,3,2,0,46,2
2,1,2,2,1,-2,47,2
2,2,2,3,2,0,48,2
2,1,1,3,2,3,49,2
2,2,1,2,1,-4,50,2
2,1,1,2,1,-5,51,2
2,2,2,3,1,-5,52,2
2,1,1,2,2,3,53,2
2,2,1,3,2,2,54,2
2,1,1,2,2,3,55,2
2,2,2,3,1,-1,56,2
2,1,1,2,2,2,57,2
2,2,1,2,1,5,58,2
2,1,1,2,2,4,59,2
2,2,1,2,1,3,60,2
2,1,1,2,2,0,61,2
2,2,2,3,1,-4,62,2
2,1,1,2,1,1,63,2
2,2,2,3,2,5,64,2
2,1,2,2,2,-5,65,2
2,2,2,3,1,-2,66,2
2,1,1,2,1,1,67,2
2,2,1,2,2,-4,68,2
2,1,1,2,1,3,69,2
2,2,2,2,1,3,70,2
2,1,2,2,2,-2,71,2
2,2,1,3,1,-1,72,2
2,1,1,2,1,3,73,2
2,2,1,2,2,3,74,2
2,1,1,2,1,3,75,2
2,2,1,2,2,4,76,2
2,1,1,2,2,3,77,2
2,2,2,3,1,3,78,2
2,1,1,2,1,2,79,2
2,2,1,3,1,4,80,2
2,1,1,2,2,0,81,2
2,2,1,2,2,3,82,2
2,1,1,2,1,0,83,2
2,2,2,3,1,4,84,2
2,1,2,2,2,5,85,2
2,2,2,3,2,3,86,2
2,1,2,2,2,3,87,2
2,2,2,3,1,-1,88,2
2,1,1,3,2,3,89,2
2,2,2,3,2,2,90,2
2,1,1,2,2,4,91,2
2,2,2,3,1,-5,92,2
2,1,2,2,1,0,93,2
2,2,2,3,1,-5,94,2
2,1,2,2,2,2,95,2
2,2,1,2,1,-1,96,2
2,1,1,2,2,1,97,2
2,2,2,3,1,-5,98,2
2,1,2,2,2,1,99,2
2,2,2,3,2,1,100,2
2,1,2,2,2,1,101,2
2,2,2,3,2,1,102,2
2,1,1,2,2,1,103,2
2,2,1,2,2,3,104,2
2,1,1,2,2,2,105,2
2,2,2,3,2,4,106,2
2,1,1,2,2,3,107,2
2,2,2,3,1,-3,108,2
2,1,2,2,2,1,109,2
2,2,2,3,1,-4,110,2
2,1,1,2,2,-1,111,2
2,2,2,3,2,-4,112,2
2,1,2,2,1,-2,113,2
2,2,1,2,2,-1,114,2
2,1,1,2,1,-3,115,2
2,2,1,2,1,-4,116,2
2,1,2,2,1,-4,117,2
2,2,2,3,2,-1,118,2
2,1,1,2,2,-2,119,2
2,2,2,3,1,-3,120,2
2,1,2,2,2,-5,121,2
2,2,2,3,1,-5,122,2
2,1,2,2,1,-2,123,2
2,2,1,2,2,-4,124,2
2,1,2,2,2,-3,125,2
3,1,1,2,2,5,1,60
3,2,1,2,1,-3,2,60
3,1,1,2,2,3,3,60
3,2,1,2,2,0,4,60
3,1,1,2,2,0,5,60
3,2,1,2,1,-3,6,60
3,1,2,2,2,4,7,60
3,2,1,3,2,0,8,60
3,1,1,3,2,-2,9,60
3,2,1,3,1,-3,10,60
3,1,1,3,2,-3,11,60
3,2,2,3,2,-5,12,60
3,1,1,2,2,5,13,60
3,2,2,3,1,4,14,60
3,1,1,2,2,0,15,60
3,2,2,3,1,1,16,60
3,1,1,2,2,3,17,60
3,2,1,2,2,5,18,60
3,1,1,2,2,5,19,60
3,2,1,2,2,3,20,60
3,1,1,3,1,0,21,60
3,2,1,2,2,1,22,60
3,1,1,3,1,4,23,60
3,2,1,2,2,-3,24,60
3,1,1,2,2,-4,25,60
3,2,2,2,1,-3,26,60
3,1,1,2,1,-1,27,60
3,2,1,2,2,-2,28,60
3,1,1,2,1,-2,29,60
3,2,1,3,2,5,30,60
3,1,1,2,1,0,31,60
3,2,1,2,1,3,32,60
3,1,1,3,1,3,33,60
3,2,1,2,1,4,34,60
3,1,1,3,1,-1,35,60
3,2,1,2,1,2,36,60
3,1,1,2,1,3,37,60
3,2,1,2,1,4,38,60
3,1,1,2,1,0,39,60
3,2,1,2,1,1,40,60
3,1,1,2,1,1,41,60
3,2,2,3,2,-4,42,60
3,1,1,2,1,1,43,60
3,2,2,3,1,3,44,60
3,1,1,2,1,0,45,60
3,2,2,3,1,0,46,60
3,1,1,2,1,-1,47,60
3,2,1,2,1,-5,48,60
3,1,1,2,1,-3,49,60
3,2,1,2,2,-2,50,60
3,1,2,2,2,-3,51,60
3,2,1,3,1,4,52,60
3,1,2,2,2,-5,53,60
3,2,1,2,2,-4,54,60
3,1,2,2,1,-2,55,60
3,2,2,3,1,1,56,60
3,1,2,2,1,-4,57,60
3,2,2,3,2,3,58,60
3,1,2,2,1,-4,59,60
3,2,2,3,2,0,60,60
3,1,2,2,1,-3,61,60
3,2,1,2,1,-5,62,60
3,1,1,3,1,-5,63,60
3,2,1,3,2,0,64,60
3,1,2,2,1,-5,65,60
3,2,2,3,1,-5,66,60
3,1,2,2,2,1,67,60
3,2,1,2,2,3,68,60
3,1,2,3,2,1,69,60
3,2,1,2,1,2,70,60
3,1,1,2,2,1,71,60
3,2,1,2,2,-1,72,60
3,1,1,2,1,0,73,60
3,2,2,2,2,-2,74,60
3,1,2,2,1,0,75,60
3,2,1,2,1,0,76,60
3,1,1,2,1,2,77,60
3,2,1,3,1,5,78,60
3,1,1,2,1,1,79,60
3,2,2,2,1,1,80,60
3,1,1,2,1,-2,81,60
3,2,2,3,1,3,82,60
3,1,1,2,1,-2,83,60
3,2,2,3,1,3,84,60
3,1,1,2,2,0,85,60
3,2,2,3,1,4,86,60
3,1,1,2,2,-2,87,60
3,2,2,3,1,2,88,60
3,1,1,3,1,2,89,60
3,2,1,2,1,3,90,60
3,1,1,2,1,1,91,60
3,2,1,3,1,2,92,60
3,1,1,2,1,-2,93,60
3,2,1,2,1,-5,94,60
3,1,2,2,2,1,95,60
3,2,2,3,1,2,96,60
3,1,1,3,1,2,97,60
3,2,2,3,1,2,98,60
3,1,1,2,2,-1,99,60
3,2,2,3,2,4,100,60
3,1,1,3,1,1,101,60
3,2,2,2,1,5,102,60
3,1,1,2,1,3,103,60
3,2,2,2,1,2,104,60
3,1,1,2,1,5,105,60
3,2,2,3,2,4,106,60
3,1,1,2,1,5,107,60
3,2,2,2,1,1,108,60
3,1,1,2,1,-2,109,60
3,2,2,2,1,1,110,60
3,1,1,2,1,-1,111,60
3,2,2,3,2,1,112,60
3,1,1,2,1,-3,113,60
3,2,2,3,2,-2,114,60
3,1,1,3,1,-3,115,60
3,2,1,2,2,4,116,60
3,1,1,2,2,3,117,60
3,2,1,2,2,2,118,60
3,1,2,3,2,-4,119,60
3,2,1,2,2,1,120,60
3,1,1,2,2,5,121,60
3,2,2,3,1,-3,122,60
3,1,2,2,2,4,123,60
3,2,1,3,2,0,124,60
3,1,1,2,2,4,125,60
4,2,2,2,2,0,1,19
4,1,2,2,1,-3,2,19
4,2,1,2,2,-2,3,19
4,1,2,2,2,-1,4,19
4,2,1,3,2,2,5,19
4,1,1,3,1,0,6,19
4,2,2,3,2,3,7,19
4,1,1,3,2,4,8,19
4,2,1,2,1,-1,9,19
4,1,1,2,1,1,10,19
4,2,2,3,2,2,11,19
4,1,1,2,1,0,12,19
4,2,1,2,2,5,13,19
4,1,1,2,2,3,14,19
4,2,2,2,2,2,15,19
4,1,1,2,2,-1,16,19
4,2,2,3,1,-1,17,19
4,1,1,2,1,-2,18,19
4,2,1,3,1,2,19,19
4,1,1,2,2,-1,20,19
4,2,2,3,1,-1,21,19
4,1,1,2,1,-1,22,19
4,2,1,2,2,3,23,19
4,1,1,2,2,3,24,19
4,2,1,2,2,3,25,19
4,1,1,2,2,4,26,19
4,2,2,2,1,0,27,19
4,1,1,2,2,-2,28,19
4,2,2,3,1,-3,29,19
4,1,2,2,2,-2,30,19
4,2,2,3,2,-3,31,19
4,1,2,2,2,-5,32,19
4,2,1,2,1,1,33,19
4,1,1,2,1,-3,34,19
4,2,2,2,1,-2,35,19
4,1,2,2,1,-4,36,19
4,2,1,2,1,-1,37,19
4,1,2,2,1,-1,38,19
4,2,2,2,2,-1,39,19
4,1,2,2,1,1,40,19
4,2,2,3,2,0,41,19
4,1,2,2,1,0,42,19
4,2,2,2,2,-4,43,19
4,1,2,2,1,-5,44,19
4,2,1,2,1,-4,45,19
4,1,1,2,1,-4,46,19
4,2,2,3,2,0,47,19
4,1,2,2,1,-1,48,19
4,2,1,2,2,-1,49,19
4,1,2,2,1,-1,50,19
4,2,2,3,2,4,51,19
4,1,2,3,2,2,52,19
4,2,2,3,2,0,53,19
4,1,2,2,1,4,54,19
4,2,2,3,1,-2,55,19
4,1,2,2,1,4,56,19
4,2,1,2,2,4,57,19
4,1,2,3,2,0,58,19
4,2,1,2,2,3,59,19
4,1,1,2,1,3,60,19
4,2,1,2,2,3,61,19
4,1,1,2,1,5,62,19
4,2,2,3,2,4,63,19
4,1,1,3,2,5,64,19
4,2,2,2,2,4,65,19
4,1,1,2,1,4,66,19
4,2,2,3,2,3,67,19
4,1,1,2,1,1,68,19
4,2,2,2,1,3,69,19
4,1,1,2,1,4,70,19
4,2,2,3,1,5,71,19
4,1,1,2,2,2,72,19
4,2,1,2,1,1,73,19
4,1,1,2,2,-1,74,19
4,2,1,2,2,-5,75,19
4,1,1,3,2,1,76,19
4,2,2,3,1,1,77,19
4,1,1,3,2,3,78,19
4,2,1,2,1,1,79,19
4,1,1,2,1,1,80,19
4,2,2,3,1,-4,81,19
4,1,1,2,1,2,82,19
4,2,2,3,2,1,83,19
4,1,1,3,2,0,84,19
4,2,1,2,1,3,85,19
4,1,2,2,1,2,86,19
4,2,2,3,1,0,87,19
4,1,2,2,1,-1,88,19
4,2,2,2,2,1,89,19
4,1,1,2,2,2,90,19
4,2,1,3,2,-5,91,19
4,1,1,3,2,-5,92,19
4,2,1,2,2,4,93,19
4,1,1,2,2,4,94,19
4,2,1,3,1,0,95,19
4,1,1,3,1,-3,96,19
4,2,2,2,2,4,97,19
4,1,2,3,1,-2,98,19
4,2,1,2,2,1,99,19
4,1,2,2,2,2,100,19
4,2,2,3,1,-2,101,19
4,1,2,2,2,3,102,19
4,2,2,2,2,5,103,19
4,1,2,2,2,4,104,19
4,2,2,2,2,2,105,19
4,1,2,3,1,4,106,19
4,2,1,3,1,4,107,19
4,1,1,2,2,0,108,19
4,2,2,2,2,2,109,19
4,1,1,2,2,3,110,19
4,2,1,2,2,2,111,19
4,1,1,2,2,4,112,19
4,2,2,3,1,5,113,19
4,1,1,2,2,2,114,19
4,2,2,3,1,3,115,19
4,1,1,3,1,4,116,19
4,2,1,2,2,4,117,19
4,1,1,2,2,4,118,19
4,2,2,2,2,4,119,19
4,1,1,3,1,4,120,19
4,2,2,3,1,5,121,19
4,1,1,2,2,3,122,19
4,2,2,3,1,2,123,19
4,1,1,2,2,0,124,19
4,2,1,3,1,3,125,19
5,1,2,2,1,-1,1,9
5,2,1,2,1,0,2,9
5,1,1,3,2,-1,3,9
5,2,1,2,2,5,4,9
5,1,2,3,1,1,5,9
5,2,1,2,2,1,6,9
5,1,1,3,1,2,7,9
5,2,1,3,2,-2,8,9
5,1,1,2,1,-1,9,9
5,2,1,2,1,-2,10,9
5,1,2,2,1,-3,11,9
5,2,2,2,1,-3,12,9
5,1,1,2,2,-1,13,9
5,2,1,2,1,1,14,9
5,1,2,2,1,1,15,9
5,2,2,3,2,-3,16,9
5,1,2,3,2,-5,17,9
5,2,1,2,2,0,18,9
5,1,1,2,1,-4,19,9
5,2,1,2,2,2,20,9
5,1,1,2,1,-5,21,9
5,2,1,2,2,1,22,9
5,1,2,2,1,-4,23,9
5,2,2,3,1,0,24,9
5,1,2,2,2,0,25,9
5,2,2,3,2,4,26,9
5,1,1,2,2,0,27,9
5,2,1,3,2,-1,28,9
5,1,1,2,2,0,29,9
5,2,2,3,1,4,30,9
5,1,2,2,2,1,31,9
5,2,2,3,1,5,32,9
5,1,1,2,2,3,33,9
5,2,2,3,1,-3,34,9
5,1,1,2,2,2,35,9
5,2,1,3,1,1,36,9
5,1,2,2,2,1,37,9
5,2,2,3,2,3,38,9
5,1,1,2,2,1,39,9
5,2,2,3,1,1,40,9
5,1,1,3,1,0,41,9
5,2,1,2,2,-4,42,9
5,1,1,2,1,4,43,9
5,2,1,2,1,3,44,9
5,1,1,2,1,3,45,9
5,2,2,3,2,-2,46,9
5,1,2,2,1,3,47,9
5,2,1,2,2,-5,48,9
5,1,1,2,1,-1,49,9
5,2,2,2,1,-3,50,9
5,1,2,2,2,-4,51,9
5,2,1,2,2,-3,52,9
5,1,2,2,1,-2,53,9
5,2,2,3,2,3,54,9
5,1,1,3,1,2,55,9
5,2,2,3,2,5,56,9
5,1,1,2,2,2,57,9
5,2,2,2,2,3,58,9
5,1,1,2,1,-2,59,9
5,2,1,2,1,-4,60,9
5,1,1,3,2,1,61,9
5,2,2,2,2,4,62,9
5,1,1,2,2,3,63,9
5,2,2,2,2,3,64,9
5,1,2,2,2,3,65,9
5,2,2,3,2,3,66,9
5,1,2,2,1,-1,67,9
5,2,2,3,2,3,68,9
5,1,2,2,2,1,69,9
5,2,1,2,1,-2,70,9
5,1,1,2,2,0,71,9
5,2,1,2,2,1,72,9
5,1,1,2,2,1,73,9
5,2,1,2,1,3,74,9
5,1,1,2,1,4,75,9
5,2,1,2,1,2,76,9
5,1,1,2,1,0,77,9
5,2,2,2,1,-4,78,9
5,1,1,2,1,-3,79,9
5,2,1,3,2,2,80,9
5,1,2,2,2,4,81,9
5,2,1,2,2,4,82,9
5,1,1,3,2,2,83,9
5,2,1,2,2,3,84,9
5,1,1,2,2,5,85,9
5,2,2,3,2,1,86,9
5,1,1,2,1,0,87,9
5,2,1,2,1,0,88,9
5,1,1,2,2,3,89,9
5,2,1,2,1,0,90,9
5,1,1,3,2,-4,91,9
5,2,2,3,1,-5,92,9
5,1,1,3,2,-3,93,9
5,2,1,3,2,-4,94,9
5,1,2,2,2,3,95,9
5,2,1,3,1,-3,96,9
5,1,1,2,2,4,97,9
5,2,2,3,2,-4,98,9
5,1,2,2,1,5,99,9
5,2,2,3,1,-2,100,9
5,1,1,2,2,2,101,9
5,2,2,3,2,0,102,9
5,1,1,2,1,0,103,9
5,2,2,3,2,-5,104,9
5,1,2,3,2,-3,105,9
5,2,2,2,1,-4,106,9
5,1,2,3,1,-1,107,9
5,2,2,3,1,-1,108,9
5,1,1,2,2,-4,109,9
5,2,1,2,1,0,110,9
5,1,2,2,1,2,111,9
5,2,2,3,2,2,112,9
5,1,2,2,1,4,113,9
5,2,1,2,1,3,114,9
5,1,2,2,1,3,115,9
5,2,2,2,1,5,116,9
5,1,2,2,1,2,117,9
5,2,2,3,1,-2,118,9
5,1,2,3,2,1,119,9
5,2,1,2,2,-3,120,9
5,1,1,2,1,4,121,9
5,2,1,3,1,3,122,9
5,1,1,2,1,4,123,9
5,2,1,2,2,-2,124,9
5,1,1,2,1,4,125,9
6,2,2,3,1,-1,1,66
6,1,1,2,2,2,2,66
6,2,2,3,1,0,3,66
6,1,1,2,2,5,4,66
6,2,1,2,2,2,5,66
6,1,1,2,2,1,6,66
6,2,2,2,2,-2,7,66
6,1,2,2,1,1,8,66
6,2,1,2,2,-3,9,66
6,1,1,2,1,-2,10,66
6,2,2,2,1,-3,11,66
6,1,2,2,2,-2,12,66
6,2,1,2,2,-1,13,66
6,1,1,2,2,-1,14,66
6,2,1,2,2,-1,15,66
6,1,2,3,1,2,16,66
6,2,1,3,2,-5,17,66
6,1,1,3,1,0,18,66
6,2,2,3,1,1,19,66
6,1,1,2,2,2,20,66
6,2,2,3,1,1,21,66
6,1,2,2,2,1,22,66
6,2,1,3,1,1,23,66
6,1,1,3,2,3,24,66
6,2,1,3,1,-2,25,66
6,1,2,2,1,-3,26,66
6,2,2,3,1,-1,27,66
6,1,1,2,2,-1,28,66
6,2,2,2,2,0,29,66
6,1,2,2,2,1,30,66
6,2,1,2,2,1,31,66
6,1,1,3,2,2,32,66
6,2,1,2,2,3,33,66
6,1,1,2,2,4,34,66
6,2,1,2,2,2,35,66
6,1,1,2,2,4,36,66
6,2,1,2,2,1,37,66
6,1,2,3,2,3,38,66
6,2,1,2,1,3,39,66
6,1,1,2,2,-4,40,66
6,2,1,2,1,1,41,66
6,1,1,2,2,-4,42,66
6,2,1,2,1,4,43,66
6,1,2,2,1,3,44,66
6,2,1,2,1,3,45,66
6,1,2,2,1,2,46,66
6,2,1,2,1,3,47,66
6,1,1,2,1,1,48,66
6,2,1,2,1,-1,49,66
6,1,1,2,1,-3,50,66
6,2,1,3,1,5,51,66
6,1,2,2,1,-4,52,66
6,2,1,2,1,-2,53,66
6,1,1,3,2,3,54,66
6,2,2,2,1,-1,55,66
6,1,1,2,2,5,56,66
6,2,2,3,1,2,57,66
6,1,1,3,2,3,58,66
6,2,1,3,1,4,59,66
6,1,1,3,2,1,60,66
6,2,2,3,1,1,61,66
6,1,1,2,2,4,62,66
6,2,2,3,2,-2,63,66
6,1,1,2,2,3,64,66
6,2,2,3,1,-1,65,66
6,1,1,2,2,0,66,66
6,2,2,2,2,1,67,66
6,1,1,2,2,2,68,66
6,2,2,3,1,-3,69,66
6,1,1,2,2,1,70,66
