sub_id,turn,c1,s2,c2,re,trial_n,social_agent_id
1,2,2,3,1,3,1,25
1,1,1,3,1,2,2,25
1,2,2,2,2,-4,3,25
1,1,1,2,2,-4,4,25
1,2,1,2,1,-2,5,25
1,1,2,3,2,-1,6,25
1,2,1,3,1,4,7,25
1,1,1,3,1,2,8,25
1,2,1,2,1,-2,9,25
1,1,1,2,1,-1,10,25
1,2,2,3,1,-4,11,25
1,1,2,3,2,-4,12,25
1,2,1,2,1,-5,13,25
1,1,1,2,2,3,14,25
1,2,1,2,2,5,15,25
1,1,1,2,2,3,16,25
1,2,1,2,1,-5,17,25
1,1,1,2,1,-3,18,25
1,2,1,2,2,3,19,25
1,1,1,3,2,1,20,25
1,2,2,3,1,-3,21,25
1,1,1,2,2,-2,22,25
1,2,1,2,1,-4,23,25
1,1,1,2,2,-5,24,25
1,2,1,2,1,-3,25,25
1,1,2,2,2,-3,26,25
1,2,2,3,1,2,27,25
1,1,2,2,1,-3,28,25
1,2,2,3,1,5,29,25
1,1,2,2,2,-3,30,25
1,2,2,3,1,2,31,25
1,1,1,3,2,0,32,25
1,2,1,2,1,-5,33,25
1,1,1,2,2,-3,34,25
1,2,1,2,2,0,35,25
1,1,2,2,1,-4,36,25
1,2,2,3,1,3,37,25
1,1,2,2,1,-5,38,25
1,2,2,3,1,2,39,25
1,1,2,2,2,-2,40,25
1,2,2,3,1,2,41,25
1,1,2,2,1,-1,42,25
1,2,2,3,1,0,43,25
1,1,1,2,2,-3,44,25
1,2,1,2,1,-4,45,25
1,1,2,2,1,-3,46,25
1,2,2,2,2,-2,47,25
1,1,2,3,2,-4,48,25
1,2,2,3,2,-3,49,25
1,1,2,2,2,1,50,25
1,2,2,2,2,4,51,25
1,1,1,2,2,4,52,25
1,2,1,3,1,-3,53,25
1,1,1,2,1,3,54,25
1,2,2,3,2,-2,55,25
1,1,2,2,1,1,56,25
1,2,2,3,1,-2,57,25
1,1,1,2,1,0,58,25
1,2,2,3,2,3,59,25
1,1,2,3,1,4,60,25
1,2,1,2,2,2,61,25
1,1,1,2,1,-2,62,25
1,2,1,2,2,0,63,25
1,1,2,2,2,0,64,25
1,2,1,2,2,2,65,25
1,1,1,2,2,2,66,25
1,2,2,3,2,-1,67,25
1,1,1,2,2,4,68,25
1,2,1,2,2,4,69,25
1,1,1,2,2,4,70,25
1,2,1,2,2,3,71,25
1,1,1,2,2,4,72,25
1,2,2,2,2,2,73,25
1,1,1,2,1,4,74,25
1,2,2,3,2,3,75,25
1,1,1,2,1,0,76,25
1,2,1,2,2,4,77,25
1,1,1,3,1,-1,78,25
1,2,2,3,2,4,79,25
1,1,1,2,1,1,80,25
1,2,1,3,2,1,81,25
1,1,1,2,1,1,82,25
1,2,2,3,2,2,83,25
1,1,1,2,2,5,84,25
1,2,1,2,2,5,85,25
1,1,2,2,2,5,86,25
1,2,2,3,2,5,87,25
1,1,2,3,1,-3,88,25
1,2,2,3,2,5,89,25
1,1,2,3,2,4,90,25
1,2,2,3,2,3,91,25
1,1,2,3,2,3,92,25
1,2,1,2,2,3,93,25
1,1,1,2,2,2,94,25
1,2,2,3,2,1,95,25
1,1,1,2,2,0,96,25
1,2,2,3,2,2,97,25
1,1,2,2,1,2,98,25
1,2,2,3,2,-1,99,25
1,1,1,3,2,0,100,25
1,2,2,3,1,2,101,25
1,1,1,2,1,5,102,25
1,2,2,3,1,-3,103,25
1,1,1,2,1,4,104,25
1,2,2,3,2,1,105,25
1,1,2,2,1,4,106,25
1,2,2,2,2,1,107,25
1,1,2,2,1,5,108,25
1,2,2,3,1,1,109,25
1,1,1,2,1,2,110,25
1,2,2,3,2,-5,111,25
1,1,1,2,1,2,112,25
1,2,2,3,1,-1,113,25
1,1,2,2,2,1,114,25
1,2,1,3,1,1,115,25
1,1,2,3,1,2,116,25
1,2,1,3,1,3,117,25
1,1,1,2,2,2,118,25
1,2,2,3,1,3,119,25
1,1,1,2,2,3,120,25
1,2,2,2,2,0,121,25
1,1,2,2,1,-3,122,25
1,2,1,2,2,-3,123,25
1,1,1,2,2,-2,124,25
1,2,2,3,1,4,125,25
2,1,1,2,1,-4,1,48
2,2,2,3,1,1,2,48
2,1,1,2,1,-5,3,48
2,2,2,3,1,1,4,48
2,1,2,2,2,1,5,48
2,2,2,3,1,0,6,48
2,1,2,2,2,1,7,48
2,2,2,3,2,4,8,48
2,1,2,2,1,-1,9,48
2,2,2,2,2,4,10,48
2,1,2,2,1,0,11,48
2,2,1,2,2,4,12,48
2,1,1,2,2,5,13,48
2,2,1,2,2,3,14,48
2,1,1,2,2,2,15,48
2,2,1,3,2,5,16,48
2,1,1,2,2,-2,17,48
2,2,1,2,2,-2,18,48
2,1,1,2,2,-2,19,48
2,2,2,2,1,-1,20,48
2,1,1,2,1,-1,21,48
2,2,2,3,1,-1,22,48
2,1,2,2,1,1,23,48
2,2,1,2,1,1,24,48
2,1,1,3,2,2,25,48
2,2,2,2,2,4,26,48
2,1,1,2,1,0,27,48
2,2,2,2,2,-2,28,48
2,1,2,2,1,-2,29,48
2,2,2,2,1,-1,30,48
2,1,1,2,2,-2,31,48
2,2,2,2,1,-1,32,48
2,1,1,2,1,1,33,48
2,2,2,2,1,-3,34,48
2,1,1,3,2,-3,35,48
2,2,1,3,2,-1,36,48
2,1,1,2,1,-1,37,48
2,2,2,2,2,-2,38,48
2,1,2,2,2,-1,39,48
2,2,1,2,1,1,40,48
2,1,2,3,1,-3,41,48
2,2,2,2,1,0,42,48
2,1,2,2,2,-4,43,48
2,2,1,2,2,-5,44,48
2,1,1,3,2,4,45,48
2,2,1,2,2,-2,46,48
2,1,1,2,1,-3,47,48
2,2,1,2,1,-1,48,48
2,1,2,2,2,-1,49,48
2,2,2,3,2,3,50,48
2,1,2,3,2,4,51,48
2,2,1,2,2,1,52,48
2,1,2,2,1,3,53,48
2,2,1,2,2,1,54,48
2,1,1,2,1,4,55,48
2,2,2,3,2,-1,56,48
2,1,1,3,2,-1,57,48
2,2,1,2,2,3,58,48
2,1,1,2,2,3,59,48
2,2,2,3,1,3,60,48
2,1,1,2,2,3,61,48
2,2,1,2,2,5,62,48
2,1,1,2,2,4,63,48
2,2,1,2,2,3,64,48
2,1,1,2,2,4,65,48
2,2,2,3,1,4,66,48
2,1,2,2,2,5,67,48
2,2,2,3,1,4,68,48
2,1,1,2,2,5,69,48
2,2,1,2,2,4,70,48
2,1,1,3,1,5,71,48
2,2,2,3,1,2,72,48
2,1,1,2,1,1,73,48
2,2,1,2,2,-1,74,48
2,1,1,2,2,-5,75,48
2,2,2,3,1,2,76,48
2,1,2,2,1,-3,77,48
2,2,1,2,2,-5,78,48
2,1,2,2,1,1,79,48
2,2,1,2,1,1,80,48
2,1,2,3,1,-4,81,48
2,2,2,3,1,-4,82,48
2,1,1,2,2,-2,83,48
2,2,1,2,1,1,84,48
2,1,2,2,1,3,85,48
2,2,2,3,2,0,86,48
2,1,2,2,1,0,87,48
2,2,1,3,2,-2,88,48
2,1,1,2,1,2,89,48
2,2,2,3,1,0,90,48
2,1,1,2,1,2,91,48
2,2,2,3,1,4,92,48
2,1,2,2,1,5,93,48
2,2,2,3,1,4,94,48
2,1,1,2,1,3,95,48
2,2,2,2,2,5,96,48
2,1,2,3,2,-3,97,48
2,2,2,3,1,-2,98,48
2,1,2,2,2,1,99,48
2,2,1,2,2,2,100,48
2,1,2,2,2,2,101,48
2,2,2,2,1,5,102,48
2,1,1,2,1,5,103,48
2,2,2,3,2,2,104,48
2,1,2,2,1,3,105,48
2,2,1,3,2,3,106,48
2,1,2,2,2,1,107,48
2,2,1,2,1,3,108,48
2,1,1,2,1,3,109,48
2,2,2,3,2,-1,110,48
2,1,2,2,1,-1,111,48
2,2,2,3,1,4,112,48
2,1,1,2,1,0,113,48
2,2,1,2,1,3,114,48
2,1,1,3,1,3,115,48
2,2,2,3,1,4,116,48
2,1,1,2,2,4,117,48
2,2,1,3,1,5,118,48
2,1,1,2,2,4,119,48
2,2,1,3,1,4,120,48
2,1,2,2,2,4,121,48
2,2,2,2,1,2,122,48
2,1,1,3,2,-3,123,48
2,2,1,2,2,0,124,48
2,1,1,2,2,1,125,48
3,2,1,2,2,1,1,31
3,1,1,2,2,-1,2,31
3,2,1,2,1,3,3,31
3,1,1,2,1,1,4,31
3,2,1,2,1,2,5,31
3,1,1,2,1,4,6,31
3,2,2,3,1,4,7,31
3,1,1,2,1,2,8,31
