sub_id,turn,c1,s2,c2,re,trial_n,social_agent_id
1,1,1,2,2,5,1,10
1,2,2,3,1,4,2,10
1,1,1,2,2,3,3,10
1,2,2,3,2,-3,4,10
1,1,1,3,1,5,5,10
1,2,1,2,1,-3,6,10
1,1,2,2,2,4,7,10
1,2,2,2,2,2,8,10
1,1,1,3,2,-2,9,10
1,2,2,2,1,-2,10,10
1,1,1,3,1,-1,11,10
1,2,1,2,2,1,12,10
1,1,1,2,2,5,13,10
1,2,1,2,1,-4,14,10
1,1,2,2,2,0,15,10
1,2,1,2,2,0,16,10
1,1,1,2,2,3,17,10
1,2,1,2,2,5,18,10
1,1,1,3,1,-1,19,10
1,2,1,2,2,3,20,10
1,1,2,2,2,3,21,10
1,2,2,3,1,3,22,10
1,1,1,2,2,1,23,10
1,2,2,3,1,4,24,10
1,1,2,3,1,4,25,10
1,2,1,3,1,3,26,10
1,1,1,2,2,-3,27,10
1,2,2,3,1,3,28,10
1,1,2,2,2,-2,29,10
1,2,1,3,1,3,30,10
1,1,2,2,1,0,31,10
1,2,1,2,2,-4,32,10
1,1,1,2,1,4,33,10
1,2,1,2,2,-2,34,10
1,1,1,2,1,5,35,10
1,2,1,2,1,2,36,10
1,1,1,2,1,3,37,10
1,2,1,2,1,4,38,10
1,1,1,3,1,5,39,10
1,2,2,3,1,4,40,10
1,1,1,2,1,1,41,10
1,2,1,2,1,2,42,10
1,1,1,2,1,1,43,10
1,2,2,3,1,3,44,10
1,1,1,2,1,0,45,10
1,2,2,3,1,0,46,10
1,1,2,2,1,-1,47,10
1,2,2,3,1,4,48,10
1,1,1,3,1,4,49,10
1,2,1,2,1,-1,50,10
1,1,2,3,1,5,51,10
1,2,1,3,1,4,52,10
1,1,2,2,2,-5,53,10
1,2,1,2,1,-2,54,10
1,1,1,2,1,-2,55,10
1,2,1,2,2,-4,56,10
1,1,1,2,1,-4,57,10
1,2,1,2,2,-5,58,10
1,1,2,2,2,-1,59,10
1,2,2,3,1,-4,60,10
1,1,2,2,2,-5,61,10
1,2,2,3,2,3,62,10
1,1,2,2,1,-4,63,10
1,2,1,3,2,0,64,10
1,1,2,3,2,0,65,10
1,2,1,2,1,-4,66,10
1,1,2,3,2,0,67,10
1,2,1,2,2,3,68,10
1,1,2,2,2,1,69,10
1,2,1,2,1,2,70,10
1,1,2,2,2,1,71,10
1,2,1,2,1,0,72,10
1,1,1,2,1,0,73,10
1,2,1,3,1,2,74,10
1,1,2,3,1,3,75,10
1,2,1,2,2,-1,76,10
1,1,2,2,2,-3,77,10
1,2,1,3,1,5,78,10
1,1,1,3,1,4,79,10
1,2,1,3,1,5,80,10
1,1,1,2,2,-2,81,10
1,2,2,3,1,3,82,10
1,1,1,2,1,-2,83,10
1,2,2,3,2,-2,84,10
1,1,1,2,1,-3,85,10
1,2,2,3,1,4,86,10
1,1,2,2,2,-2,87,10
1,2,2,3,1,2,88,10
1,1,2,2,1,3,89,10
1,2,2,3,2,1,90,10
1,1,1,2,1,1,91,10
1,2,2,2,1,0,92,10
1,1,1,2,1,-2,93,10
1,2,2,3,1,1,94,10
1,1,2,2,1,-3,95,10
1,2,2,3,2,2,96,10
1,1,2,2,2,-2,97,10
1,2,2,3,1,2,98,10
1,1,2,2,2,-1,99,10
1,2,1,2,1,4,100,10
1,1,1,2,1,4,101,10
1,2,1,3,2,5,102,10
1,1,1,2,1,3,103,10
1,2,2,2,1,2,104,10
1,1,2,3,2,4,105,10
1,2,2,3,2,4,106,10
1,1,1,2,1,5,107,10
1,2,2,2,1,1,108,10
1,1,1,2,1,-2,109,10
1,2,2,2,2,-1,110,10
1,1,2,2,2,-3,111,10
1,2,2,3,1,-3,112,10
1,1,1,2,1,-3,113,10
1,2,1,2,2,-1,114,10
1,1,2,2,2,3,115,10
1,2,2,3,2,-3,116,10
1,1,1,2,2,3,117,10
1,2,1,2,2,2,118,10
1,1,1,3,2,-4,119,10
1,2,1,2,2,1,120,10
1,1,1,2,2,5,121,10
1,2,1,2,1,2,122,10
1,1,1,3,1,-5,123,10
1,2,1,3,2,0,124,10
1,1,1,2,1,-4,125,10
2,2,2,3,1,3,1,47
2,1,2,2,1,0,2,47
2,2,2,2,2,-4,3,47
2,1,2,2,2,-4,4,47
2,2,1,2,1,-2,5,47
2,1,2,2,1,-3,6,47
2,2,1,3,2,-1,7,47
2,1,2,2,2,-4,8,47
2,2,1,2,2,-2,9,47
2,1,2,2,1,-1,10,47
2,2,2,3,1,-4,11,47
2,1,2,3,1,-5,12,47
2,2,1,2,1,-5,13,47
2,1,1,2,2,3,14,47
2,2,2,3,1,-4,15,47
2,1,2,2,1,-5,16,47
2,2,2,3,2,-4,17,47
2,1,2,2,2,4,18,47
2,2,1,2,2,3,19,47
2,1,1,2,1,-4,20,47
2,2,1,2,1,-5,21,47
2,1,1,2,2,-2,22,47
2,2,1,2,2,-3,23,47
2,1,2,2,2,-5,24,47
2,2,1,2,1,-3,25,47
2,1,2,2,1,-3,26,47
2,2,1,2,1,-5,27,47
2,1,2,3,1,0,28,47
2,2,1,2,2,-5,29,47
2,1,2,2,1,-2,30,47
2,2,1,2,2,-4,31,47
2,1,1,3,1,5,32,47
2,2,2,3,1,3,33,47
2,1,2,2,1,-3,34,47
2,2,1,2,1,-5,35,47
2,1,2,2,1,-4,36,47
2,2,1,2,1,-4,37,47
2,1,2,2,1,-5,38,47
2,2,1,2,1,-3,39,47
2,1,2,2,2,-2,40,47
2,2,2,3,1,2,41,47
2,1,2,2,2,-3,42,47
2,2,2,3,2,-3,43,47
2,1,2,2,1,-3,44,47
2,2,2,3,1,-3,45,47
2,1,1,2,2,-4,46,47
2,2,2,2,2,-2,47,47
2,1,1,2,2,-1,48,47
2,2,1,2,1,-4,49,47
2,1,1,2,2,1,50,47
2,2,1,3,2,-5,51,47
2,1,2,2,2,4,52,47
2,2,1,3,2,-2,53,47
2,1,1,2,1,3,54,47
2,2,2,3,1,-5,55,47
2,1,1,3,2,-1,56,47
2,2,2,3,1,-2,57,47
2,1,1,2,2,3,58,47
2,2,2,3,1,5,59,47
2,1,1,2,2,3,60,47
2,2,2,3,1,2,61,47
2,1,1,2,2,1,62,47
2,2,1,2,1,-5,63,47
2,1,2,2,2,0,64,47
2,2,1,2,1,-3,65,47
2,1,2,2,2,2,66,47
2,2,2,3,1,3,67,47
2,1,2,3,2,-1,68,47
2,2,2,3,1,3,69,47
2,1,1,2,2,4,70,47
2,2,1,2,2,3,71,47
2,1,1,2,2,4,72,47
2,2,1,3,2,4,73,47
2,1,1,2,1,4,74,47
2,2,2,3,2,3,75,47
2,1,2,2,2,4,76,47
2,2,2,3,2,5,77,47
2,1,1,2,2,3,78,47
2,2,2,3,2,4,79,47
2,1,1,3,2,5,80,47
2,2,2,2,1,3,81,47
2,1,1,2,2,5,82,47
2,2,2,3,2,2,83,47
2,1,2,2,1,3,84,47
2,2,1,2,1,4,85,47
2,1,2,3,2,4,86,47
2,2,2,3,2,5,87,47
2,1,1,3,2,4,88,47
2,2,2,3,2,5,89,47
2,1,1,2,2,3,90,47
2,2,1,2,1,-2,91,47
2,1,2,2,2,4,92,47
2,2,2,3,2,3,93,47
2,1,2,3,2,1,94,47
2,2,1,2,1,1,95,47
2,1,1,2,2,0,96,47
2,2,2,3,2,2,97,47
2,1,2,2,2,-1,98,47
2,2,2,3,1,3,99,47
2,1,1,2,2,0,100,47
2,2,1,2,1,4,101,47
2,1,1,2,1,5,102,47
2,2,1,2,1,4,103,47
2,1,1,2,1,4,104,47
2,2,1,2,1,4,105,47
2,1,2,2,1,4,106,47
2,2,1,3,1,-2,107,47
2,1,1,2,2,0,108,47
2,2,1,2,1,4,109,47
2,1,1,2,1,2,110,47
2,2,1,2,1,3,111,47
2,1,1,2,1,2,112,47
2,2,2,3,1,-1,113,47
2,1,2,2,2,1,114,47
2,2,1,3,1,1,115,47
2,1,2,2,1,2,116,47
2,2,1,3,2,-1,117,47
2,1,1,2,1,-3,118,47
2,2,2,3,1,3,119,47
2,1,1,3,1,4,120,47
2,2,2,2,1,-2,121,47
2,1,1,2,2,-4,122,47
2,2,1,2,2,-3,123,47
2,1,2,2,2,-2,124,47
2,2,1,2,2,-2,125,47
3,1,1,2,1,-5,1,18
3,2,1,2,2,2,2,18
3,1,2,3,2,-5,3,18
3,2,1,2,2,0,4,18
3,1,2,2,2,0,5,18
3,2,1,2,2,1,6,18
3,1,1,2,2,4,7,18
3,2,2,2,2,2,8,18
3,1,1,2,2,2,9,18
3,2,2,2,2,1,10,18
3,1,1,3,1,-1,11,18
3,2,2,3,1,3,12,18
3,1,1,2,2,5,13,18
3,2,1,2,2,1,14,18
3,1,2,2,2,0,15,18
3,2,2,3,1,1,16,18
3,1,1,2,2,3,17,18
3,2,2,3,1,2,18,18
3,1,1,2,2,5,19,18
3,2,1,2,2,3,20,18
3,1,1,2,2,3,21,18
3,2,1,2,2,1,22,18
3,1,2,2,2,1,23,18
3,2,1,2,2,-3,24,18
3,1,1,3,1,4,25,18
3,2,2,2,1,-3,26,18
3,1,1,2,2,-3,27,18
3,2,1,2,2,-2,28,18
3,1,1,2,2,-2,29,18
3,2,1,3,1,3,30,18
3,1,2,2,2,-3,31,18
3,2,1,2,1,3,32,18
3,1,1,2,1,4,33,18
3,2,1,2,1,4,34,18
3,1,1,2,1,5,35,18
3,2,2,3,2,-4,36,18
3,1,1,2,1,3,37,18
3,2,2,3,2,-5,38,18
3,1,1,2,1,0,39,18
3,2,1,2,1,1,40,18
3,1,1,3,1,3,41,18
3,2,2,3,1,4,42,18
3,1,1,2,1,1,43,18
3,2,1,2,1,0,44,18
3,1,1,3,1,2,45,18
3,2,1,2,1,-1,46,18
3,1,1,2,1,-1,47,18
3,2,2,3,1,4,48,18
3,1,1,2,1,-3,49,18
3,2,2,3,1,4,50,18
3,1,1,2,1,-2,51,18
3,2,2,2,1,-2,52,18
3,1,1,2,1,-4,53,18
3,2,2,3,1,1,54,18
3,1,1,2,1,-2,55,18
3,2,1,2,1,-3,56,18
3,1,2,2,2,-4,57,18
3,2,2,3,1,-2,58,18
3,1,2,3,1,-2,59,18
3,2,2,3,2,0,60,18
3,1,1,2,2,-5,61,18
3,2,2,3,2,3,62,18
3,1,2,2,2,0,63,18
3,2,2,2,1,-4,64,18
3,1,2,3,1,-5,65,18
3,2,1,2,2,1,66,18
3,1,2,3,2,0,67,18
3,2,1,2,1,0,68,18
3,1,2,2,2,1,69,18
3,2,2,3,2,1,70,18
3,1,1,2,2,1,71,18
3,2,2,3,1,1,72,18
3,1,1,2,2,-2,73,18
3,2,1,3,1,2,74,18
3,1,1,2,2,-2,75,18
3,2,2,3,1,4,76,18
3,1,2,2,2,-3,77,18
3,2,2,2,1,2,78,18
3,1,2,3,1,4,79,18
3,2,1,3,1,5,80,18
3,1,1,2,1,-2,81,18
3,2,2,3,1,3,82,18
3,1,1,2,1,-2,83,18
3,2,1,2,1,-2,84,18
3,1,1,3,1,4,85,18
3,2,1,2,2,-3,86,18
3,1,1,2,1,0,87,18
3,2,1,2,2,-3,88,18
3,1,1,3,1,2,89,18
3,2,2,3,1,3,90,18
3,1,1,2,1,1,91,18
3,2,1,3,1,2,92,18
3,1,1,2,1,-2,93,18
3,2,2,3,1,1,94,18
3,1,2,2,2,1,95,18
3,2,1,2,2,-1,96,18
3,1,2,2,1,-1,97,18
3,2,2,3,1,2,98,18
3,1,2,3,1,0,99,18
3,2,2,3,1,1,100,18
3,1,2,2,1,4,101,18
3,2,2,2,1,5,102,18
3,1,1,2,1,3,103,18
3,2,2,2,1,2,104,18
3,1,1,2,1,5,105,18
3,2,1,2,1,5,106,18
3,1,1,2,1,5,107,18
3,2,2,2,1,1,108,18
3,1,1,2,1,-2,109,18
3,2,2,2,1,1,110,18
3,1,1,3,1,-4,111,18
3,2,1,2,1,-1,112,18
3,1,1,2,1,-3,113,18
3,2,1,2,1,-4,114,18
3,1,2,2,2,3,115,18
3,2,2,3,1,-2,116,18
3,1,2,3,2,-3,117,18
3,2,1,2,2,2,118,18
3,1,2,3,2,-4,119,18
3,2,1,2,2,1,120,18
3,1,2,2,2,5,121,18
3,2,1,2,2,5,122,18
3,1,1,2,2,4,123,18
3,2,1,3,1,-4,124,18
3,1,1,2,2,4,125,18
4,2,1,3,2,4,1,68
4,1,2,2,2,0,2,68
4,2,1,2,2,-2,3,68
4,1,2,2,1,-3,4,68
4,2,1,3,1,1,5,68
4,1,2,3,2,3,6,68
4,2,2,3,2,3,7,68
4,1,1,2,2,4,8,68
4,2,1,2,2,5,9,68
4,1,1,2,2,4,10,68
4,2,1,2,2,4,11,68
4,1,1,2,1,0,12,68
4,2,1,2,1,-3,13,68
4,1,1,2,1,-4,14,68
4,2,1,3,2,4,15,68
4,1,1,2,2,-1,16,68
4,2,1,2,2,-2,17,68
4,1,2,3,1,1,18,68
4,2,2,2,2,-2,19,68
4,1,1,2,1,-1,20,68
4,2,2,3,2,1,21,68
4,1,1,2,1,-1,22,68
4,2,1,2,2,3,23,68
4,1,1,3,1,-3,24,68
4,2,2,3,1,-2,25,68
4,1,1,2,2,4,26,68
4,2,2,2,2,0,27,68
4,1,1,3,2,-2,28,68
4,2,1,2,2,-2,29,68
4,1,2,2,1,-1,30,68
4,2,1,2,2,-2,31,68
4,1,1,2,2,-5,32,68
4,2,1,2,2,-2,33,68
4,1,1,2,1,-3,34,68
4,2,2,2,1,-2,35,68
4,1,2,2,1,-4,36,68
4,2,1,2,2,-3,37,68
4,1,2,2,1,-1,38,68
4,2,1,3,2,0,39,68
4,1,2,3,2,1,40,68
4,2,1,2,2,-1,41,68
4,1,2,3,2,1,42,68
4,2,1,3,2,1,43,68
4,1,2,2,1,-5,44,68
4,2,1,2,1,-4,45,68
4,1,2,3,2,2,46,68
4,2,2,3,2,0,47,68
4,1,2,2,2,-2,48,68
4,2,2,3,2,3,49,68
4,1,1,3,2,3,50,68
4,2,2,3,2,4,51,68
4,1,1,2,1,1,52,68
4,2,1,2,2,1,53,68
4,1,1,2,2,1,54,68
4,2,1,2,2,3,55,68
4,1,1,2,2,3,56,68
4,2,1,2,2,4,57,68
4,1,2,2,2,3,58,68
4,2,2,3,2,0,59,68
4,1,2,3,1,3,60,68
4,2,1,2,2,3,61,68
4,1,1,2,1,5,62,68
4,2,1,2,2,4,63,68
4,1,2,3,2,5,64,68
4,2,2,2,2,4,65,68
4,1,1,2,2,3,66,68
4,2,1,2,2,5,67,68
4,1,2,2,1,1,68,68
4,2,2,2,2,5,69,68
4,1,1,2,1,4,70,68
4,2,2,3,2,0,71,68
4,1,2,2,1,2,72,68
4,2,1,2,1,1,73,68
4,1,2,2,2,-1,74,68
4,2,1,2,2,-5,75,68
4,1,1,2,1,-2,76,68
4,2,2,3,2,2,77,68
4,1,2,3,2,3,78,68
4,2,1,2,2,-1,79,68
4,1,2,2,1,1,80,68
4,2,2,3,2,3,81,68
4,1,1,2,1,2,82,68
4,2,2,3,2,1,83,68
4,1,1,2,1,1,84,68
4,2,1,2,2,3,85,68
4,1,1,2,1,2,86,68
4,2,2,3,2,-3,87,68
4,1,2,2,1,-1,88,68
4,2,1,3,2,-4,89,68
4,1,2,2,1,3,90,68
4,2,2,2,2,4,91,68
4,1,1,2,1,3,92,68
4,2,2,3,1,3,93,68
4,1,1,2,1,4,94,68
4,2,2,2,2,4,95,68
4,1,1,2,1,5,96,68
4,2,1,3,2,-3,97,68
4,1,1,2,2,4,98,68
4,2,2,3,1,-1,99,68
4,1,1,3,1,-3,100,68
4,2,1,2,2,2,101,68
4,1,2,2,2,3,102,68
4,2,2,2,2,5,103,68
4,1,1,2,1,2,104,68
4,2,2,2,2,2,105,68
4,1,1,2,2,0,106,68
4,2,1,3,2,1,107,68
4,1,2,2,2,0,108,68
4,2,2,2,2,2,109,68
4,1,1,2,1,1,110,68
4,2,1,2,2,2,111,68
4,1,2,2,2,4,112,68
4,2,1,2,2,3,113,68
4,1,2,2,1,3,114,68
4,2,1,2,2,2,115,68
