sub_id,AIC
1,-620.87
2,-462.58
3,-664.48
4,-598.04
5,-484.97
6,-530.19
7,-482.85
8,-432.59
9,-580.13
10,-395.56
11,-594.36
12,-548.09
13,-641.94
14,-686.01
15,-671.26
16,-566.11
17,-683.09
18,-622.75
19,-573.25
20,-637.99
21,-514.76
22,-681.65
23,-527.89
24,-472.51
25,-637.13
26,-596.83
27,-662.59
28,-611.24
29,-629.42
30,-620.06
31,-641.19
32,-603.76
33,-613.76
34,-657.85
35,-498.88
36,-681.89
37,-684.67
38,-682.47
39,-601.45
40,-423.68
41,-642.55
42,-620.39
43,-674.7
44,-679.75
45,-518.37
46,-664.3
47,-641.64
48,-565.36
49,-583.95
50,-649.95
51,-455.7
52,-451.79
53,-623.94
54,-527.1
55,-590.06
56,-493.28
57,-417.71
58,-680.73
59,-309.97
60,-669.85
61,-605.95
62,-663.75
63,-667.22
64,-465.76
65,-497.25
66,-668.51
67,-387.79
68,-590.15
69,-530.54
70,-571.6
71,-502.63
72,-513.92
73,-544.82
74,-531.95
75,-679.24
76,-333.98
77,-675.32
78,-500.39
79,-644.05
80,-487.91
81,-683.65
82,-654.72
83,-654.5
84,-658.54
85,-331.04
86,-673.33
87,-561.98
88,-670.15
89,-683.45
90,-632.89
91,-629.06
92,-496.01
93,-675.34
94,-376.82
95,-505.43
96,-416.35
97,-597.02
98,-516.96
99,-684
100,-643.43
101,-543.97
102,-576.98
103,-648.54
104,-620.06
105,-674.68
106,-593.66
107,-561.9
108,-382.34
109,-682.76
110,-335.21
111,-595.49
112,-666.81
113,-640.9
114,-564.32
115,-643.29
116,-447.44
117,-493.92
118,-663.02
119,-528.53
120,-528.93
121,-515.82
122,-580.04
123,-628.29
124,-670.25
125,-634.18
126,-565.25
127,-483.16
128,-447.21
129,-630.91
130,-577.14
131,-667
132,-418.82
133,-589.93
134,-657.62
135,-496.25
136,-657.91
137,-674.22
138,-423.53
139,-636.1
140,-214.5
141,-547.63
142,-683.08
143,-622.08
144,-627.98
145,-435.86
146,-621.65
147,-435.28
148,-676.87
149,-627.89
150,-662.83
151,-534.95
152,-443.25
153,-426.02
154,-371.59
155,-425.81
156,-598.16
157,-624.25
158,-666.87
159,-495.59
160,-610.32
161,-522.76
162,-613.25
163,-679.65
164,-634.72
165,-549.26
166,-448.52
167,-574.44
168,-427.73
169,-478.14
170,-650.55
171,-609.78
172,-340.98
173,-626.89
174,-542.98
175,-547.25
176,-502.87
177,-536.61
178,-665.73
179,-462.64
180,-623.15
181,-605.25
182,-571.55
183,-666.9
184,-582.19
185,-584.57
186,-614.54
187,-447.11
188,-674.29
189,-646.16
190,-658.35
191,-649.54
192,-533.28
193,-654.94
194,-499.17
195,-606.28
196,-611.62
197,-429.61
198,-306.67
199,-606.31
200,-626.69
201,-510.53
202,-659.2
203,-399.76
204,-614.41
205,-503.22
206,-674.77
207,-551.12
208,-277.26
209,-468.7
210,-576.6
211,-641.12
212,-671.21
213,-648.05
214,-217.29
215,-549.82
216,-627.36
217,-682.2
218,-511.52
219,-674.97
220,-617.66
221,-383.84
222,-618.63
223,-407.88
224,-676.91
225,-486.89
226,-568.38
227,-567.82
228,-624.67
229,-410.4
230,-559.06
231,-594.29
232,-541.87
233,-628.72
234,-361.32
235,-651.68
236,-684.02
237,-628.55
238,-530.51
239,-238.98
240,-485.25
241,-656.53
242,-641.5
243,-659.75
244,-601.21
245,-672.15
246,-512.17
247,-633.61
248,-318.33
249,-685.14
250,-616.58
251,-441.07
252,-496.54
253,-613.08
254,-672.11
255,-393.48
256,-682.11
257,-501.4
258,-604.54
259,-444.47
260,-626.78
261,-423.79
262,-669.74
263,-545.44
264,-554.8
265,-549.59
266,-652.14
267,-523.54
268,-558.86
269,-300.27
270,-656.8
271,-648.96
272,-637.28
273,-569.26
274,-572.85
275,-516.81
276,-556.6
277,-644.03
278,-684.11
279,-424.76
280,-378.61
281,-502.23
282,-516.32
283,-572.04
284,-671.7
285,-575.62
286,-684.93
287,-653.96
288,-350.44
289,-317.88
290,-643.29
291,-624.11
292,-499.51
293,-539.87
294,-625.22
295,-403.69
296,-411.11
297,-506.64
298,-671.02
299,-576.43
300,-376.91
301,-499.94
302,-328.46
303,-682.45
304,-663.29
305,-680.88
306,-526.35
307,-585.78
308,-683.14
309,-600.28
310,-657.92
311,-499.64
312,-563.91
313,-581.31
314,-558.52
315,-552.67
316,-676.49
317,-562.33
318,-445.72
319,-636.53
320,-586.47
321,-607.48
322,-484.78
323,-427.97
324,-604.78
325,-562.45
326,-628.35
327,-659.31
328,-564.78
329,-435.12
330,-551.46
331,-603.01
332,-351.5
333,-557.18
334,-584.03
335,-670.51
336,-655.07
337,-595.27
338,-586.45
339,-550.28
340,-591.39
341,-558.75
342,-528.59
343,-655.11
344,-571.99
345,-625.91
346,-357.39
347,-580.59
348,-663.25
349,-508.51
350,-626.41
351,-680.94
352,-404.42
353,-660.92
354,-615.78
355,-606.75
356,-670.39
357,-668.2
358,-418.38
359,-532.96
360,-624.19
361,-670.89
362,-673.92
363,-659.57
364,-600.45
365,-661.74
366,-576.89
367,-510.81
368,-379.07
369,-619.06
370,-485.39
371,-509.33
372,-523.14
373,-529.98
374,-675.31
375,-573.3
376,-432.49
377,-538.86
378,-578.02
379,-616.18
380,-643.17
381,-534.58
382,-615.73
383,-629.03
384,-615.15
385,-671.63
386,-599.02
387,-683.29
388,-682.16
389,-659
390,-459.44
391,-592.6
392,-510.01
393,-402.39
394,-456.05
395,-516.79
396,-526.31
397,-685.15
398,-583.09
399,-596.83
400,-616.7
401,-451.52
402,-672.5
403,-588.91
404,-516.15
405,-652.55
406,-678.3
407,-592.78
408,-534.09
409,-578.63
410,-622.38
411,-408.69
412,-574.73
413,-678.95
414,-453.7
415,-613.34
416,-675.51
417,-625.44
418,-526.28
419,-659.95
420,-581.23
421,-664.98
422,-600.38
423,-664.23
424,-605.43
425,-650.49
426,-657.63
427,-553.64
428,-535.6
429,-569.77
430,-679.68
431,-683.47
432,-610.23
433,-493.87
434,-366.12
435,-660.1
436,-570.91
437,-583.01
438,-584.39
439,-574.63
440,-649.46
441,-268.3
442,-656.41
443,-533.18
444,-507.07
445,-569.5
446,-613.14
447,-477.35
448,-597.46
449,-648.2
450,-646.36
451,-536.62
452,-662.66
453,-505.48
454,-509.25
455,-574.33
456,-580.19
457,-602.74
458,-387.01
459,-386.91
460,-677.78
461,-581.72
462,-619.88
463,-602.53
464,-669.55
465,-435.63
466,-639.88
467,-619.86
468,-671.8
469,-608.83
470,-459.46
471,-385.54
472,-603.74
473,-453
474,-654.43
475,-627.43
476,-661.11
477,-631.24
478,-560.19
479,-563.43
480,-645.53
481,-669.72
482,-570.31
483,-493.27
484,-569.37
485,-629.07
486,-674.73
487,-684.42
488,-575.73
489,-664.35
490,-638.82
491,-545.18
492,-525.09
493,-652.11
494,-685.1
495,-486.23
496,-676.83
497,-685.13
498,-420.38
499,-497.98
500,-682.25
501,-543.49
502,-627.16
503,-453.77
