sub_id,AIC
1,-273.78
2,-234.9
3,-280.59
4,-324.03
5,-300.85
6,-311.22
7,-228.25
8,-236.31
9,-326.21
10,-217.51
11,-329.28
12,-329.96
13,-298.78
14,-256.12
15,-270.57
16,-276.93
17,-251.94
18,-278.12
19,-311.45
20,-304.74
21,-321.11
22,-298.9
23,-322.02
24,-239.99
25,-289.72
26,-250.56
27,-282.92
28,-314.86
29,-209.01
30,-293.23
31,-255.95
32,-262.98
33,-306.98
34,-252.4
35,-279.44
36,-317.98
37,-325.93
38,-323.45
39,-314.54
40,-285.82
41,-226.22
42,-293.78
43,-265.98
44,-261.41
45,-263.97
46,-256.83
47,-289.6
48,-246.51
49,-276.73
50,-264.16
51,-274.36
52,-321.47
53,-307.19
54,-296.55
55,-339.44
56,-291.05
57,-325.2
58,-269.56
59,-246.98
60,-285.44
61,-336.47
62,-334.52
63,-334.66
64,-305.24
65,-272.35
66,-329.13
67,-299.79
68,-255.95
69,-289.15
70,-317.98
71,-319.76
72,-295.67
73,-326.89
74,-228.74
75,-334.3
76,-325.62
77,-288.06
78,-233.86
79,-271.89
80,-275.9
81,-254.82
82,-325.71
83,-325.07
84,-245.29
85,-330.86
86,-242.58
87,-313.32
88,-264.6
89,-243.14
90,-327.53
91,-324.83
92,-311
93,-303.96
94,-271.34
95,-286.44
96,-266.31
97,-267.58
98,-306.77
99,-318.06
100,-236.68
101,-184.65
102,-236.78
103,-316.48
104,-209.12
105,-331.86
106,-237.9
107,-315.82
108,-305.21
109,-308.34
110,-316.64
111,-252.83
112,-269.51
113,-307.13
114,-306.79
115,-288.88
116,-306.15
117,-335.47
118,-292
119,-309.34
120,-274.95
121,-311
122,-315.14
123,-316.47
124,-285.74
125,-288.94
126,-284.15
127,-194.94
128,-316.87
129,-301.13
130,-240.57
131,-265.02
132,-307.14
133,-327.5
134,-312.5
135,-265.51
136,-317.47
137,-331.59
138,-261.33
139,-324.58
140,-325.79
141,-323.44
142,-199.55
143,-276.55
144,-261.31
145,-231.45
146,-290.13
147,-334.64
148,-333.02
149,-302.56
150,-329.48
151,-255.81
152,-260.77
153,-326.34
154,-293.25
155,-251.65
156,-278.38
157,-248.87
158,-227.88
159,-314.6
160,-253.38
161,-313.35
162,-207.28
163,-314.85
164,-337.48
165,-328.8
166,-305.77
167,-297.12
168,-305.72
169,-293.1
170,-274.73
171,-225.64
172,-338.85
173,-264.64
174,-203.81
175,-282.4
176,-288.2
177,-316.13
178,-313.29
179,-290.34
180,-221.35
181,-276.86
182,-261.43
183,-254.96
184,-320.31
185,-339.33
186,-243.95
187,-307.32
188,-232.63
189,-239.37
190,-239.22
191,-284.73
192,-336.99
193,-214.52
194,-292.82
195,-252.75
196,-289.4
197,-317.55
198,-324.33
199,-300.61
200,-317.1
201,-223.65
202,-192.3
203,-333.99
204,-316.97
205,-290.08
206,-314.56
207,-308.01
208,-318.14
209,-235.74
210,-262.27
211,-325.97
212,-316.9
213,-328.55
214,-318.37
215,-316.33
216,-327.03
217,-274.57
218,-306.11
219,-292.88
220,-319.94
221,-313.4
222,-279.84
223,-256.63
224,-215.74
225,-201.8
226,-294.09
227,-310.71
228,-312.69
229,-295.85
230,-293.6
231,-237.26
232,-247.98
233,-247.89
234,-260.25
235,-308.84
236,-234.61
237,-335.79
238,-333.35
239,-272.68
240,-282.65
241,-270.66
242,-288.71
243,-310.99
244,-304.14
245,-277.06
246,-314.04
247,-334.07
248,-309.52
249,-334.58
250,-245.28
251,-272.29
252,-308.09
253,-336.68
254,-309.45
255,-318.39
256,-254.64
257,-211.9
258,-313.56
259,-228.65
260,-228.38
261,-299.42
262,-326.27
263,-271.02
264,-275.84
265,-305.89
266,-240.53
267,-329.71
268,-268.65
269,-304.67
270,-330
271,-307.4
272,-322.27
273,-260.89
274,-225.97
275,-258.84
276,-257.28
277,-242.29
278,-334.1
279,-293.61
280,-279.83
