sub_id,AIC
1,-315.09
2,-333.08
3,-341.93
4,-298.01
5,-333.56
6,-265.02
7,-339.45
8,-323.38
9,-260.58
10,-283.78
11,-342.77
12,-211.91
13,-278.27
14,-285.67
15,-281.61
16,-318.13
17,-335.54
18,-305.77
19,-335.42
20,-294.74
21,-307.74
22,-303.72
23,-300.29
24,-336.77
25,-301.23
26,-223.44
27,-304.61
28,-295.07
29,-286.04
30,-322.95
31,-288.7
32,-272.62
33,-327.54
34,-338.42
35,-219.55
36,-311.8
37,-285.24
38,-327.48
39,-324.46
40,-327.33
41,-309.43
42,-310.81
43,-258.76
44,-240.37
45,-290.07
46,-316.76
47,-317.88
48,-300.62
49,-320.7
50,-221.69
51,-314.96
52,-329.7
53,-298.92
54,-324.68
55,-298.19
56,-201.68
57,-289.33
58,-314.73
59,-301.09
60,-304.96
61,-335.4
62,-307.71
63,-241.49
64,-282.03
65,-296.63
66,-288.78
67,-317.41
68,-325.14
69,-287.71
70,-262.24
71,-331.68
72,-283.46
73,-299.2
74,-282.2
75,-293.3
76,-332.06
77,-291.53
78,-321.59
79,-328.6
80,-327.97
81,-302.44
82,-277.81
83,-319.89
84,-316.56
85,-269.46
86,-330.57
87,-333.14
88,-334.46
89,-327.73
90,-266.82
91,-255.17
92,-333.83
93,-243
94,-288.71
95,-332.38
96,-305.06
97,-274.19
98,-314.02
99,-285.72
100,-254.51
101,-312.89
102,-293.11
103,-319.08
104,-336.99
105,-322.17
106,-261.48
107,-324.93
108,-339.04
109,-336.44
110,-309.66
111,-292.22
112,-314.84
113,-257.43
114,-307.88
115,-337.65
116,-317.12
117,-335.51
118,-302.87
119,-317.9
120,-306.96
121,-310.31
122,-311.59
123,-316.42
124,-332.68
125,-296.18
126,-319.31
127,-266.72
128,-307.97
129,-320.59
130,-308.28
131,-316.48
132,-315.34
133,-295.57
134,-316.13
135,-331.34
136,-332.85
137,-264.62
138,-233.75
139,-311.4
140,-302.75
141,-269.52
142,-232.44
