sub_id,AIC
1,-316.49
2,-327.41
3,-332.99
4,-324.65
5,-331.8
6,-323.8
7,-334.42
8,-317
9,-326.93
10,-331.6
11,-321.75
12,-313.55
13,-305.93
14,-298.49
15,-317.57
16,-334.43
17,-330.1
18,-322.57
19,-332.54
20,-319.39
21,-298.7
22,-314.24
23,-331.03
24,-335.46
25,-318.43
26,-285.91
27,-329.62
28,-255.46
29,-335.96
30,-338.17
31,-293.03
32,-321.18
33,-324.72
34,-337.09
35,-334.23
36,-316.34
37,-305.53
38,-331.53
39,-237.72
40,-311.52
41,-324.02
42,-332.18
43,-308.31
44,-277.07
45,-332.88
46,-270.84
47,-271.43
48,-324.79
49,-339.52
50,-324.29
51,-291.36
52,-290.53
53,-281.36
54,-298.36
55,-312.4
56,-321.37
57,-263.21
58,-314.32
59,-334.38
60,-330.08
61,-335.34
62,-317.36
63,-317.48
64,-303.25
65,-302.55
66,-316.39
67,-330.08
68,-330.6
69,-265.67
70,-288
71,-333.47
72,-305.38
73,-312.59
74,-331.13
75,-315.64
76,-338.57
77,-313.25
78,-339.08
79,-307.68
80,-314.68
81,-241
82,-331.14
83,-336.4
84,-300.67
85,-302.76
86,-335
87,-331.95
88,-339.33
89,-279.2
90,-315.96
91,-340.34
92,-326.78
93,-260.02
94,-309.44
95,-318.03
96,-339.94
97,-322.95
98,-333.13
99,-318.62
100,-278.54
101,-295.77
102,-299.34
103,-312.2
104,-316.53
105,-298.97
106,-341.53
107,-297.14
108,-332.9
109,-333.16
110,-318.48
111,-342.96
112,-333.52
113,-267.6
114,-291.51
115,-327.92
116,-329.79
117,-322.26
118,-338.81
119,-333.73
120,-262.08
121,-323.6
122,-322.24
123,-303.81
124,-330.62
125,-294.48
126,-311.55
127,-320.07
128,-311.79
129,-340.69
130,-308.85
131,-313.41
132,-308.6
133,-327.91
134,-291.5
135,-328.26
136,-334.44
137,-338.41
138,-279.86
139,-265.42
140,-287.98
141,-341.52
142,-310.07
143,-327.61
144,-332.86
145,-318.03
146,-313.72
147,-295.85
148,-322.8
149,-327.21
150,-331.11
151,-307.1
152,-336.67
153,-290.73
154,-314.22
155,-290.13
156,-287.28
157,-343.68
158,-320.75
159,-312.24
160,-325
161,-298.85
162,-313.85
163,-334.61
164,-336.62
165,-309.02
166,-331.46
167,-301.92
168,-286.94
169,-339.62
170,-287.23
171,-331.37
172,-329.24
173,-298.19
174,-329.51
175,-312.71
176,-316.88
177,-323.68
178,-333.5
179,-311.63
180,-286.15
181,-319.02
182,-301.13
183,-337.42
184,-319.42
185,-308.16
186,-321.42
187,-324.64
188,-328.49
189,-335.79
190,-332
191,-334.75
192,-321.66
193,-315.64
194,-339.34
195,-283.74
196,-284.35
197,-247.4
198,-335.64
199,-315.5
200,-285.72
201,-333.44
202,-334.34
203,-327.11
204,-305.07
205,-308.48
206,-279.85
207,-282.47
208,-329.8
209,-322.85
210,-342.21
211,-315.95
212,-274.89
213,-337.08
214,-333.28
215,-333.2
216,-298.21
217,-324.62
218,-320.76
219,-296.77
220,-330.91
221,-307.9
222,-320.76
223,-323.69
224,-269.35
225,-315.39
226,-336.32
227,-332.68
228,-332.59
229,-316.69
230,-265.13
231,-319.4
232,-331.12
233,-279.53
234,-329.76
235,-312.32
236,-328.48
237,-326.3
238,-312.58
239,-318.15
240,-334.13
241,-293.94
242,-295.83
243,-330.31
244,-322.01
245,-261.43
246,-326.25
247,-336.66
248,-318.44
249,-312.16
250,-327.38
251,-323.61
252,-333.9
253,-332.09
254,-282.18
255,-240.88
256,-329.01
257,-333.78
258,-290.81
259,-332.23
260,-328.28
261,-314.13
262,-257.7
263,-329.04
264,-282.87
265,-325.65
266,-311.82
267,-328.63
