sub_id,AIC
1,-145.97
2,-152.79
3,-163.49
4,-164.24
5,-142.13
6,-156.88
7,-151.79
8,-147.32
9,-166.39
10,-167.85
11,-166.09
12,-144.31
13,-139.54
14,-137.8
15,-166.12
16,-141.51
17,-160.95
18,-148.61
19,-157.03
20,-153.2
21,-160.38
22,-132.94
23,-152.42
24,-164.2
25,-153.51
26,-166.83
27,-151.87
28,-134.87
29,-148.39
30,-158.04
31,-125.22
32,-132.25
33,-77.741
34,-162.28
35,-157.95
36,-163.29
37,-146.29
38,-161.37
39,-79.619
40,-163.78
41,-102.09
42,-157.38
43,-160.1
44,-163.47
45,-151.9
46,-164.53
47,-162.89
48,-162.68
49,-163.15
50,-132.14
51,-141.29
52,-167.72
53,-160.82
54,-107.37
55,-142.62
56,-159.1
57,-155.34
58,-164.13
59,-160.83
60,-163.4
61,-162.45
62,-161.7
63,-164.66
64,-119.02
65,-158.97
66,-163.75
67,-162.95
68,-162.56
69,-162.86
70,-160.4
71,-163.53
72,-146.68
73,-121.35
74,-156.48
75,-160.17
76,-164.95
77,-160.41
