sub_id,AIC
1,-129.2
2,-109.89
3,-154.06
4,-156.52
5,-115.68
6,-136.1
7,-132.6
8,-168.03
9,-101.57
10,-135.13
11,-133.71
12,-159.1
13,-162.22
14,-152.65
15,-148.03
16,-109.56
17,-140.92
18,-72.413
19,-135.25
20,-147.72
21,-125.89
22,-145.82
23,-111.7
24,-141.48
25,-157.94
26,-136.22
27,-130.75
28,-125.79
29,-104.95
30,-86.907
31,-165.15
32,-129.94
33,-141.12
34,-137.37
35,-145.98
36,-82.783
37,-138.29
38,-151.51
39,-132.71
40,-127.19
41,-141.74
42,-161.44
43,-137.97
44,-116.4
45,-137.02
46,-144.37
47,-149.26
48,-90.057
49,-144.82
50,-91.177
51,-156.66
52,-143.83
53,-134.44
54,-124.13
55,-162.38
56,-79.285
57,-111.47
58,-84.371
59,-157.78
60,-147.62
61,-163.49
62,-135.44
63,-101.36
64,-153.53
65,-94.898
66,-123.98
67,-143.89
68,-150.38
69,-137.41
70,-74.194
71,-117.28
72,-166.63
73,-146.57
74,-100.19
75,-160.99
76,-156.43
77,-140.54
78,-142.51
79,-43.939
80,-151.11
81,-143.54
82,-133.15
83,-152.06
84,-165.57
85,-153.35
86,-110.72
87,-149.05
88,-100.54
89,-165.7
90,-126.23
91,-159.75
92,-162.45
93,-139.84
94,-124.48
95,-119.04
96,-94.724
97,-124.63
98,-132.83
99,8
100,-130.34
101,-130.12
102,-80.732
103,-151.04
104,-122.17
105,-121.52
106,-130.3
107,-142.54
108,-138.18
109,-163.58
110,-127.33
111,-137.87
112,-120.24
113,-164.01
114,-140.79
115,-141.06
116,-163.15
117,-112.84
118,-148.75
119,-146.14
120,-146.56
121,-100.08
122,-114.66
123,-111.26
124,-157.17
125,-152.27
126,-98.947
127,-114.91
128,-148.94
129,-144.17
130,-122.36
131,-116.16
132,-157.29
133,-125.5
134,-145.86
135,-127.12
136,-139.21
137,-137.41
138,-134.62
139,-159.1
140,-108.04
141,-102.6
142,-152.7
143,-139.8
144,-118.02
145,-155.24
146,-139.34
147,-118.75
148,-165.76
149,-94.075
150,-139.02
151,-108.43
152,-123.44
153,-158.9
154,-129.49
155,-109.72
156,-155.98
157,-100.29
158,-112.53
159,-141.2
160,-150.23
161,-83.779
162,-161.02
163,-145.43
164,-124.9
165,-114.21
166,-94.231
167,-85.281
168,-142.55
169,-156.83
170,-155.77
171,-123.3
172,-152.58
