sub_id,AIC
1,-642.32
2,-426.08
3,-668.11
4,-636.05
5,-502.98
6,-556.48
7,-545.78
8,-503.33
9,-606.3
10,-535.07
11,-586.95
12,-620.98
13,-651.13
14,-683.3
15,-681.46
16,-585.93
17,-684.13
18,-627.39
19,-609.13
20,-640.42
21,-524.88
22,-681.82
23,-562.28
24,-531.26
25,-637.76
26,-620.15
27,-660.61
28,-538.95
29,-653.96
30,-628.63
31,-648.55
32,-616.43
33,-611.27
34,-676.16
35,-508.32
36,-682.12
37,-684.41
38,-683.64
39,-580.31
40,-487.81
41,-644.24
42,-644.27
43,-677.14
44,-680.29
45,-557.8
46,-664.05
47,-670.53
48,-618.24
49,-542.55
50,-642.3
51,-565.48
52,-500.8
53,-610.77
54,-492.18
55,-624.68
56,-513.03
57,-354.84
58,-680.17
59,-417.5
60,-667.35
61,-616.89
62,-674.2
63,-665.57
64,-507.55
65,-542.03
66,-680.63
67,-422.57
68,-585.9
69,-584.47
70,-621.4
71,-498.06
72,-582.47
73,-582.26
74,-517.51
75,-682.23
76,-444.74
77,-680.36
78,-550.56
79,-612
80,-559.68
81,-686.26
82,-673.22
83,-658.47
84,-667.07
85,-415.28
86,-679.75
87,-563.43
88,-671.33
89,-682.56
90,-644.73
91,-647.14
92,-497.83
93,-671.95
94,-404.35
95,-537.28
96,-434.87
97,-594.49
98,-552.71
99,-681.07
100,-659.03
101,-561.43
102,-638.52
103,-646.76
104,-645
105,-672.02
106,-627.04
107,-577.33
108,-482.07
109,-681.16
110,-421.18
111,-592.61
112,-657.35
113,-658.32
114,-587.71
115,-658.01
116,-438.47
117,-545.28
118,-674.18
119,-503.46
120,-593.96
121,-555.03
122,-628.11
123,-640.94
124,-674.05
125,-645.89
126,-585.85
127,-509.08
128,-467.97
129,-637.75
130,-554.92
131,-661.74
132,-508.76
133,-580.4
134,-668.06
135,-521.28
136,-654.61
137,-670.97
138,-519.58
139,-652.56
140,-359.94
141,-566.13
142,-684.95
143,-639.13
144,-635
145,-441.87
146,-644.67
147,-526.49
148,-676.75
149,-624.59
150,-663.89
151,-560.81
152,-560.38
153,-491.69
154,-417.9
155,-515.17
156,-610.37
157,-626.77
158,-675.65
159,-538.98
160,-608.03
161,-489.64
162,-648.43
163,-677.92
164,-654.31
165,-610.7
166,-514.61
167,-612.75
168,-494.64
169,-528.23
170,-642.7
171,-649.66
172,-451.31
173,-610.38
174,-498.29
175,-582.81
176,-522.13
177,-585.48
178,-670.15
179,-525.24
180,-654.34
181,-588.43
182,-608.31
183,-669.09
184,-628.6
185,-635.71
186,-647.45
187,-534.64
188,-675.85
189,-657.41
190,-672.92
191,-666.03
192,-574.49
193,-669.55
194,-542.98
195,-588.06
196,-636.11
197,-465.77
198,-417.1
199,-628.65
200,-610.12
201,-484.73
202,-664.03
203,-443.64
204,-628.37
205,-520.08
206,-672.67
207,-557.05
208,-449.34
209,-520.03
210,-576.61
211,-655.65
212,-668.12
213,-657.5
214,-360.76
215,-587.83
216,-630.31
217,-682.33
218,-534.37
219,-680.54
220,-671.39
221,-437.95
222,-652.37
223,-496.75
224,-676.1
225,-590.19
226,-570.01
227,-555.07
228,-641.08
229,-494.62
230,-577.64
231,-609.13
232,-457.92
233,-627.56
234,-452.57
235,-666.66
236,-684.94
237,-661.79
238,-603.68
239,-311.5
240,-558.06
241,-673.39
242,-656.48
243,-669.6
244,-611.12
245,-674.82
246,-566.47
247,-651.51
248,-406.18
249,-682.64
250,-650.3
251,-464.31
252,-568.53
253,-652.74
254,-680.08
255,-484.18
256,-678.26
257,-537.35
258,-627.52
259,-435.03
260,-642.09
261,-450.11
262,-675.09
263,-617.58
264,-575.62
265,-563.05
266,-666.65
267,-539.87
268,-562.23
269,-422.83
270,-673.42
271,-655.57
272,-638.27
273,-624.01
274,-599.72
275,-529.68
276,-579.94
277,-651.55
278,-684.23
279,-454.88
280,-449.15
281,-553.27
282,-537.23
283,-582.66
284,-683.17
285,-598.78
286,-682.33
287,-673
288,-492.4
289,-359.71
290,-657.21
291,-652.52
292,-573.69
293,-591.09
294,-623.74
295,-386.97
296,-467.88
297,-525.03
298,-657.36
299,-602.97
300,-409.91
301,-580.3
302,-420.48
303,-681.12
304,-662.34
305,-679.19
306,-570.28
307,-614.31
308,-674.6
309,-607.93
310,-660.18
311,-525.53
312,-628.25
313,-607.9
314,-612.07
315,-550.17
316,-675.27
317,-573.87
318,-451
319,-642.55
320,-637.81
321,-626.08
322,-504.41
323,-503
324,-630.23
325,-563.91
326,-656.55
327,-665.11
328,-584.58
329,-444.52
330,-571.7
331,-632.69
332,-402.49
333,-622.24
334,-605.21
335,-674.43
336,-660.74
337,-599.95
338,-634.14
339,-600.34
340,-627.86
341,-593.35
342,-580.23
343,-670.15
344,-592.25
345,-622.59
346,-451.35
347,-622.95
348,-671.32
349,-485.37
350,-640.97
351,-678.91
352,-444.61
353,-667.1
354,-648.3
355,-625.14
356,-679.54
357,-668.58
358,-514.27
359,-512.23
360,-620.66
361,-679.88
362,-685.15
363,-669.37
364,-614.75
365,-661.05
366,-595.82
367,-530.27
368,-363.13
369,-611.35
370,-558.79
371,-523.65
372,-598
373,-571
374,-679.79
375,-551.17
376,-498.17
377,-569.61
378,-625.91
379,-603.18
380,-646.45
381,-585.73
382,-630.33
383,-643.27
384,-564.4
385,-680.27
386,-620.77
387,-684.8
388,-685.15
389,-662.25
390,-498.15
391,-651.6
392,-601.85
393,-493.83
394,-519.18
395,-568.95
396,-553.49
397,-672.49
398,-586.55
399,-611.35
400,-636.45
401,-484.36
402,-680.24
403,-590.01
404,-488.44
405,-670.14
406,-685.06
407,-538.91
408,-563.88
409,-597.01
410,-649.57
411,-481.51
412,-573.42
413,-676.66
414,-477.41
415,-621.13
416,-679.73
417,-628.32
418,-569.7
419,-651.03
420,-526.16
421,-663.15
422,-609.49
423,-669.64
424,-650.15
425,-656.35
426,-660.67
427,-537.42
428,-540.83
