sub_id,AIC
1,-628.75
2,-216.8
3,-507.3
4,-528.18
5,-624.15
6,-613.96
7,-638.84
8,-671.26
9,-445.26
10,-639.57
11,-618.84
12,-358.66
13,-626.75
14,-589
15,-424.43
16,-459.82
17,-483.25
18,-607.98
19,-420.35
20,-623.89
21,-407.8
22,-263.96
23,-623.52
24,-589.11
25,-508.17
26,-443.43
27,-607.56
28,-524.22
29,-550.63
30,-154.92
31,-496.07
32,-611.26
33,-642.35
34,-656.58
35,-442.21
36,-566.62
37,-553.35
38,-644
39,-663.31
40,-401.44
41,-558.02
42,-568.38
43,-644.6
44,-284.59
45,-167.32
46,-565.88
47,-521.64
48,-677.03
49,-678.19
50,-250.05
51,-376.34
52,-355.25
53,-454.15
54,-645.06
55,-610.6
56,-442.09
57,-487.89
58,-375.79
59,-296.96
60,-279.38
61,-381.62
62,-466.77
63,-534.32
64,-683.85
65,-575.61
66,-564.72
67,-311.5
68,-408.44
69,-425.8
70,-425.48
71,-432.52
72,-328.42
73,-463.93
74,-648.09
75,-367.91
76,-611.59
77,-580.36
78,-546.69
79,-556.59
80,-475.69
81,-353.96
82,-521.23
83,-536.57
84,-649.5
85,-641.61
86,-622.91
87,-615.64
88,-382.54
89,-670.93
90,-510.62
91,-441.65
92,-308.68
93,-502.13
94,-557.15
95,-562.85
96,-489.55
97,-628.45
98,-455.75
99,-585.42
100,-372.27
101,-568.24
102,-467.26
103,-404.71
104,-598.47
105,-216.36
106,-570.8
107,-408.52
108,-577.48
109,-494.83
110,-550.36
111,-683.79
112,-656.99
113,-401.37
114,-370.07
115,-574.56
116,-344.79
117,-456.39
118,-576.92
119,-639.64
120,-297.65
121,-459.18
122,-582.32
123,-409.25
124,-542.23
125,-674.84
126,-401.8
127,-626.9
128,-588.69
129,-282.89
130,-681.91
131,-672.16
132,-583.55
133,-635.47
134,-668.17
135,-500.62
136,-490.42
137,-621.73
138,-581.23
139,-339.18
140,-480.41
141,-643.54
142,-616.15
143,-548.26
144,-669.77
145,-633.92
146,-491.65
147,-461.05
148,-619.03
149,-677.7
150,-254.49
151,-592.48
152,-636.68
153,-572.56
154,-192.48
155,-524.33
156,-404.81
157,-649.73
158,-527.01
159,-625.74
160,-572.41
161,-555.25
162,-631.36
163,-213.07
164,-479.29
165,-588.23
166,-634.41
167,-629.69
168,-199.9
169,-301.24
170,-650.58
171,-439.95
172,-590.92
173,-443.72
174,-522.48
175,-476.22
176,-502.43
177,-584.32
178,-597.24
179,-173.68
180,-603.74
181,-499.77
182,-641.2
183,-510.3
184,-327.22
185,-410.07
186,-452.96
187,-467.42
188,-364.38
189,-530.23
190,-306.2
191,-652.04
192,-349.58
193,-677.79
194,-370.69
195,-281.41
196,-586.77
197,-655
198,-353.8
199,-585.31
200,-610.18
201,-551.93
202,-553.14
203,-403.23
204,-326.22
205,-270.86
206,-390.48
207,-660.98
208,-488.24
209,-567.12
210,-672.78
211,-364.71
212,-583.99
213,-422.32
214,-667.85
215,-419.94
216,-482.93
217,-310.74
218,-627.26
219,-594
220,-645.71
221,-637.23
222,-614.9
223,-330
224,-614.47
225,-310.23
226,-606.04
227,-620.64
228,-383.7
229,-410.38
230,-569.72
231,-654.25
232,-631.99
233,-516.76
234,-425.13
235,-609.85
236,-488.11
237,-272.94
238,-297.06
239,-461.54
240,-392.71
241,-619.12
242,-503.11
243,-610.13
244,-551.87
245,-314.71
246,-377.83
247,-264.86
248,-621.8
249,-679.24
250,-681.37
251,-257.55
252,-461.75
253,-677.98
254,-305.05
255,-552.03
256,-381.04
257,-499.69
258,-347.24
259,-606.86
260,-665.76
261,-468.74
262,-618.23
263,-670.87
264,-555.12
265,-221.53
266,-682.69
267,-497.51
268,-336.46
269,-556.59
270,-340.14
271,-427.36
272,-620.06
273,-518.82
274,-481.53
275,-631.72
276,-681.52
277,-349.1
278,-436.45
279,-200.99
280,-621.63
281,-675.83
282,-493.35
283,-596.09
284,-351.26
285,-619.93
286,-582.31
287,-507.77
288,-672.41
289,-611.09
290,-668
291,-282.79
292,-651.49
293,-651.68
294,-604.81
295,-544.57
296,-600.3
297,-453.38
298,-632.17
299,-310.07
300,-478.97
301,-561.76
302,-570.85
303,-569.53
304,-348.73
305,-386.5
306,-328.35
307,-453.72
308,-255.72
309,-361.19
310,-489
311,-628.92
312,-675.75
313,-636.68
314,-407.21
315,-388.19
316,-602.58
317,-476.66
318,-512.11
319,-399.55
320,-674.14
321,-532.12
322,-285.21
323,-663.56
324,-422.6
325,-234.48
326,-544.01
327,-666.23
328,-659.98
329,-516.08
330,-493.37
331,-374.52
332,-282.94
333,-615.92
334,-656.55
335,-644.16
336,-439.51
337,-680.27
338,-529.71
339,-334.3
340,-337.7
341,-637.92
342,-625.45
343,-580.55
344,-395.02
345,-638.1
346,-656.2
347,-531.17
348,-497.03
349,-503.4
350,-551.84
351,-681.42
352,-641.85
353,-308.03
354,-321.4
355,-534.67
356,-607.13
357,-528.97
358,-677.67
359,-664.29
360,-429
361,-431.87
362,-672.94
363,-306.18
364,-415.92
365,-679.45
366,-446.83
367,-586.81
368,-489.53
369,-599.23
370,-352.97
371,-460.04
372,-380.27
373,-281.32
374,-635.16
375,-643.95
376,-264.93
377,-503.68
378,-661.11
379,-243.62
380,-664.91
381,-610.24
382,-251.36
383,-352
384,-565.3
385,-654.32
386,-570.78
387,-463.08
388,-559.27
389,-583.02
390,-362.98
391,-638.13
392,-446.9
393,-271.83
394,-633.04
395,-222.63
396,-563.44
397,-215.15
398,-271.53
399,-580.26
400,-588.86
401,-606.93
402,-333.42
403,-651.03
404,-444.59
405,-641.34
406,-327.93
407,-603.64
408,-642.99
409,-274.28
410,-305.56
411,-592.92
412,-614.31
413,-635.27
414,-661.46
415,-364.55
416,-620.4
417,-650.4
418,-354.16
419,-551.53
420,-459.43
421,-489.72
422,-352.97
423,-477.36
424,-477.02
425,-625.05
426,-423.33
427,-512.22
428,-674.21
429,-555.23
430,-679.66
431,-405.01
432,-671.08
433,-663.56
434,-432.41
435,-629.36
436,-612.97
437,-384.61
438,-284.56
439,-375.87
440,-594.85
441,-404.3
442,-583.42
443,-572.86
444,-360.39
445,-617.08
446,-446.24
447,-435.26
448,-578.41
449,-333.38
450,-402.03
451,-463.75
452,-663.41
453,-525.75
454,-446.48
455,-256.57
456,-401.38
457,-511.11
458,-347.12
459,-652.36
460,-676.23
461,-571.26
462,-634.77
463,-364.29
464,-491.36
465,-419.8
466,-284.63
467,-182.27
468,-503.44
469,-332.96
470,-677.88
471,-679.56
472,-330.81
473,-606.17
474,-565.69
475,-441.07
476,-398.53
477,-618.29
478,-461.78
479,-610.23
480,-662.78
481,-676.08
482,-593.02
483,-595.49
484,-599.02
485,-268.41
486,-665.87
487,-641.12
488,-643.37
489,-578.6
490,-355.4
491,-526.06
492,-651.78
493,-452.95
494,-386.02
495,-605.45
496,-633.21
497,-374.29
498,-396.92
499,-599.64
500,-393.46
501,-291.81
502,-633.5
503,-559.62
504,-309.08
505,-510.38
506,-479.76
507,-518.34
508,-324.49
509,-675.18
510,-679.41
511,-304.99
512,-669.86
513,-516.71
514,-601.28
515,-650.58
516,-654.44
517,-255.4
518,-504.19
519,-326.14
520,-610.85
521,-602.22
522,-538.76
523,-625.75
524,-527.81
525,-218.68
526,-670.43
527,-511.56
528,-628.73
529,-558.55
530,-596.48
531,-674.63
532,-400.92
533,-616.74
534,-655.93
535,-556.65
536,-373.83
537,-533.23
538,-557.29
539,-494.21
540,-368.89
541,-315.9
542,-444.06
543,-421.46
544,-390.85
545,-424.67
546,-560.68
547,-361.72
548,-538.48
549,-616.33
550,-567.83
551,-425.61
552,-415.89
553,-395.21
554,-449.94
555,-166.53
556,-306.93
557,-295.24
558,-470.54
559,-471.56
560,-273.45
561,-437.9
562,-342.89
563,-630.97
564,-364.96
565,-616.72
566,-624.44
567,-671.26
568,-607.8
569,-647.33
570,-458.2
571,-673.82
572,-268.18
573,-615.85
574,-684.58
575,-250.09
576,-441.32
577,-614.84
578,-240.27
579,-617.09
580,-394.17
581,-646.19
582,-542.3
583,-536.39
584,-353.17
585,-630.55
586,-667.05
587,-678.11
588,-178.76
589,-666.29
590,-680.39
591,-597.56
592,-412.42
593,-438.99
594,-543.83
595,-650.35
596,-582.25
597,-324.64
598,-383.48
599,-465.29
600,-475.6
601,-673.44
602,-536.42
603,-552.36
604,-350.12
605,-603.59
606,-681.31
607,-638.31
608,-192.37
609,-646.6
610,-555.07
611,-450.05
612,-654.47
613,-359.4
614,-683.21
615,-399.22
616,-638.17
617,-553.34
618,-529.68
619,-558.03
620,-412.7
621,-668.13
622,-410.6
623,-290.28
624,-392.31
625,-572.34
626,-553.61
627,-562.64
628,-633.73
629,-651.42
630,-602.75
631,-533.56
632,-350.09
633,-623.33
634,-627.6
635,-512.39
636,-545.41
637,-611
638,-439.83
639,-468.32
640,-671.76
641,-483.16
642,-608.7
643,-444.14
644,-595.81
645,-552.05
646,-350.99
647,-489.3
648,-211.56
649,-301.72
650,-253.34
651,-359.57
652,-511.89
653,-609.12
654,-598.3
655,-492.55
656,-628.3
657,-225.29
658,-479.37
659,-532.21
660,-601.31
661,-549.59
662,-533.24
663,-358.92
664,-599.93
665,-474.72
666,-507.31
667,-662.85
668,-311.53
669,-344.76
670,-663.32
671,-539.32
672,-679.62
673,-673.1
674,-556.78
675,-504.01
676,-416.54
677,-529.17
678,-393.14
679,-668.81
680,-324.94
681,-624.92
682,-511.65
683,-362.18
684,-631.73
685,-664.92
686,-493.25
687,-661.91
688,-476.71
689,-425.11
690,-625.08
691,-683.35
692,-532.5
693,-666.73
694,-502.16
695,-610.12
696,-587.74
697,-561.13
698,-332.99
699,-364.65
700,-580.28
701,-261.71
702,-637.13
703,-267.24
704,-448.08
705,-313.64
706,-601.73
707,-287.16
708,-306.59
709,-501.32
710,-296.27
711,-676.46
712,-514.54
713,-538.44
714,-490.41
715,-520.77
716,-679.38
717,-340.74
718,-678.01
719,-461.76
720,-536.57
721,-573.91
722,-674.9
723,-344.09
724,-296.64
725,-477.54
726,-685.46
727,-374.97
728,-412.35
729,-659.06
730,-631.49
731,-437.52
732,-212.42
733,-470.36
734,-408.12
735,-440.09
736,-457.24
737,-450.01
738,-446.88
739,-653.17
740,-296.18
741,-261.08
742,-347.16
743,-413.4
744,-645.48
745,-238.67
746,-483.54
747,-538.53
748,-351.66
749,-428.51
750,-409.46
751,-454.2
752,-598.88
753,-516.44
754,-546.77
755,-466.35
756,-676.48
757,-637.54
758,-544.12
759,-567.81
760,-615.6
761,-662.97
762,-476.77
763,-560.4
764,-531.53
765,-494.24
766,-654.55
767,-585.01
768,-334.86
769,-548.23
770,-330.38
771,-587.35
772,-578.95
773,-314.02
774,-506.03
775,-562.01
776,-628.07
777,-576.42
778,-585.16
779,-279.74
780,-670.57
781,-663.51
782,-334.85
783,-348.24
784,-302.29
785,-636.63
786,-678.61
787,-495.54
788,-624.81
789,-486.4
790,-534.75
791,-545.03
792,-574.29
793,-265.1
794,-248.44
795,-376.09
796,-672.23
797,-611.81
798,-474.18
799,-640.82
800,-631.49
801,-488.71
802,-642.03
803,-680.86
804,-525.28
805,-587.36
806,-377.9
807,-462.58
808,-344.56
809,-567.52
810,-572.94
811,-281.22
812,-586.31
813,-388.16
814,-481.25
815,-597.74
816,-581.16
817,-640.35
818,-498.86
819,-364.82
820,-458.61
821,-560.12
822,-665.56
823,-527.06
824,-240.5
825,-630.31
826,-241.97
827,-508.61
828,-662.88
829,-685.03
