sub_id,AIC
1,-615.1
2,-153.75
3,-422.43
4,-446.9
5,-614.42
6,-589.68
7,-627.16
8,-663.64
9,-361.81
10,-608.76
11,-560.37
12,-336.94
13,-473.21
14,-557.16
15,-427.47
16,-401.4
17,-401.2
18,-556.04
19,-331.59
20,-615.97
21,-293.74
22,-212.95
23,-583.27
24,-562.53
25,-469.8
26,-355.87
27,-559.75
28,-439.67
29,-527.27
30,-148.29
31,-439.98
32,-565.24
33,-561.14
34,-650.96
35,-394.66
36,-478.92
37,-523.64
38,-624.06
39,-657.71
40,-334.88
41,-499.77
42,-474.86
43,-632.06
44,-196.35
45,-150.64
46,-532.42
47,-494.77
48,-676.17
49,-674.18
50,-234.89
51,-303.83
52,-222.98
53,-341.48
54,-466.28
55,-601.93
56,-413.76
57,-445.12
58,-292.57
59,-266.85
60,-243.92
61,-179.15
62,-370.06
63,-478.24
64,-684.45
65,-524.07
66,-494.71
67,-210.89
68,-335.46
69,-324.28
70,-353.75
71,-372.33
72,-246.94
73,-395.64
74,-628.12
75,-259.41
76,-601.68
77,-544.36
78,-460.48
79,-438.33
80,-446.67
81,-188.33
82,-456.87
83,-489.95
84,-620.92
85,-607.78
86,-568.08
87,-575.66
88,-305.83
89,-665.86
90,-421.26
91,-364.96
92,-200.25
93,-459.58
94,-515.01
95,-565.93
96,-440.13
97,-576.48
98,-374.37
99,-530.58
100,-277.47
101,-509.41
102,-397.38
103,-331.15
104,-579.62
105,-133.84
106,-434.33
107,-316.72
108,-520.57
109,-384.17
110,-505.65
111,-682.56
112,-614.31
113,-352.24
114,-273.5
115,-533.01
116,-270.8
117,-407.64
118,-525.03
119,-627.68
120,-240.63
121,-359.7
122,-500.75
123,-371.59
124,-425.71
125,-668.38
126,-370.81
127,-554.34
128,-533.46
129,-236.97
130,-676.53
131,-665.19
132,-575.7
133,-550.3
134,-657.13
135,-457.69
136,-408.1
137,-593.01
138,-548.65
139,-235.87
140,-426.31
141,-634.21
142,-549.23
