sub_id,c1,s2,c2,re,trial_n
1,1,2,2,5,1
1,1,2,2,5,2
1,1,2,1,-1,3
1,1,3,1,4,4
1,2,3,2,4,5
1,2,3,2,4,6
1,2,2,2,5,7
1,1,2,2,-1,8
1,2,2,1,5,9
1,2,2,2,5,10
1,1,2,2,-1,11
1,1,3,2,-3,12
1,2,3,2,2,13
1,1,2,1,-3,14
1,2,3,2,4,15
1,2,2,1,3,16
1,2,2,1,5,17
1,2,3,2,1,18
1,2,2,2,2,19
1,2,3,2,3,20
1,1,2,2,-1,21
1,1,2,1,3,22
1,2,3,2,2,23
1,2,3,2,5,24
1,2,3,1,-1,25
1,2,3,1,-2,26
1,2,3,2,2,27
1,2,2,2,2,28
1,2,3,2,-1,29
1,2,3,1,1,30
1,2,3,2,1,31
1,1,3,1,-1,32
1,2,3,2,0,33
1,1,2,2,1,34
1,1,2,2,3,35
1,1,3,2,-4,36
1,1,2,1,3,37
1,1,3,1,3,38
1,1,2,2,1,39
1,2,3,2,3,40
1,1,2,2,-4,41
1,1,2,2,-3,42
1,2,3,2,4,43
1,2,2,1,-1,44
1,1,3,1,3,45
1,2,2,2,0,46
1,1,3,2,-3,47
1,1,2,1,-1,48
1,2,3,2,-1,49
1,2,2,1,-3,50
1,2,2,1,-4,51
1,1,2,1,-5,52
1,1,2,2,-5,53
1,1,2,2,-4,54
1,2,3,2,0,55
1,1,3,1,2,56
1,1,2,2,-5,57
1,1,2,1,0,58
1,1,2,2,-3,59
1,1,2,1,3,60
1,2,3,1,-3,61
1,2,3,2,1,62
1,1,3,2,-3,63
1,2,3,2,2,64
1,2,2,1,-1,65
1,1,3,2,-5,66
1,1,3,2,-1,67
1,1,2,1,1,68
1,2,2,2,1,69
1,2,3,2,-4,70
1,2,3,2,-2,71
1,1,2,2,4,72
1,2,3,2,0,73
1,1,2,1,-1,74
1,1,2,2,1,75
1,1,2,1,0,76
1,2,3,1,2,77
1,1,2,2,0,78
1,2,3,2,-1,79
1,2,3,2,2,80
1,2,3,2,1,81
1,2,3,2,2,82
1,2,3,2,1,83
1,1,2,1,1,84
1,2,3,1,1,85
1,1,2,1,-2,86
1,1,2,1,0,87
1,1,2,1,-3,88
1,2,3,1,1,89
1,1,2,2,1,90
1,1,2,2,1,91
1,1,2,1,-3,92
1,2,3,2,4,93
1,1,2,1,-5,94
1,1,2,1,-3,95
1,2,3,2,1,96
1,1,3,2,-2,97
1,2,3,2,5,98
1,2,3,2,5,99
1,2,3,2,3,100
1,1,3,2,0,101
1,1,2,2,-3,102
1,1,2,2,-3,103
1,2,3,2,-2,104
1,2,3,2,-1,105
1,2,3,1,-2,106
1,2,3,2,-5,107
1,2,2,2,-3,108
1,2,3,1,-4,109
1,2,3,2,-2,110
1,1,2,2,1,111
1,1,2,2,1,112
1,2,3,1,-3,113
1,2,3,1,-5,114
1,2,3,2,-4,115
1,2,3,2,-5,116
1,2,3,1,-5,117
1,2,2,2,-2,118
1,2,3,1,-1,119
1,2,3,2,-4,120
1,2,3,1,-2,121
1,1,2,2,-3,122
1,2,2,2,1,123
1,2,3,1,-2,124
1,1,2,2,-2,125
1,1,2,1,-3,126
1,2,2,2,4,127
1,1,2,1,-2,128
1,2,2,1,5,129
1,1,2,2,-1,130
1,2,3,1,-3,131
1,2,3,2,3,132
1,1,3,1,-5,133
1,2,3,1,-4,134
1,2,3,2,1,135
1,2,3,1,-2,136
1,1,3,1,2,137
1,1,2,2,-3,138
1,1,3,2,2,139
1,1,2,2,-4,140
1,1,3,1,1,141
1,1,2,2,-4,142
1,1,2,2,-1,143
1,1,2,2,-1,144
1,2,3,1,-2,145
1,2,3,1,-1,146
1,1,3,2,0,147
1,2,3,2,-3,148
1,1,2,1,1,149
1,1,2,2,2,150
1,1,2,2,0,151
1,1,2,2,0,152
1,2,3,1,0,153
1,2,3,2,5,154
1,1,2,1,5,155
1,2,3,1,0,156
1,2,3,1,-2,157
1,2,3,2,1,158
1,1,2,1,1,159
1,1,3,1,-4,160
1,2,3,1,2,161
1,1,2,1,-1,162
1,2,3,1,2,163
1,2,3,2,-2,164
1,1,2,2,-1,165
1,1,2,2,1,166
1,2,3,1,1,167
1,2,3,2,-2,168
1,2,2,2,2,169
1,1,2,2,-2,170
1,1,2,1,0,171
1,1,2,1,-4,172
1,2,2,2,-4,173
1,1,2,2,1,174
1,1,2,2,-3,175
1,1,3,1,-2,176
1,2,3,1,4,177
1,2,3,1,5,178
1,2,3,2,1,179
1,1,2,2,5,180
1,2,3,1,-1,181
1,1,2,2,5,182
1,2,2,2,-1,183
1,1,2,2,5,184
1,2,3,2,-2,185
1,1,2,2,5,186
1,1,2,2,4,187
1,1,2,2,4,188
1,1,3,1,3,189
1,1,2,2,4,190
1,1,2,2,3,191
1,1,2,2,1,192
1,2,3,1,-4,193
1,1,2,2,-5,194
1,1,2,1,5,195
1,2,2,1,5,196
1,2,3,1,-2,197
1,1,2,1,2,198
1,2,3,2,3,199
1,1,3,1,3,200
1,1,2,1,4,201
1,2,3,2,5,202
1,1,2,1,4,203
1,1,2,2,-3,204
1,1,3,2,-3,205
1,2,3,2,3,206
1,1,3,1,3,207
1,1,2,2,-3,208
1,2,3,2,-3,209
1,2,3,1,2,210
1,2,3,2,-1,211
1,2,3,2,1,212
1,2,3,2,3,213
1,1,2,1,2,214
1,1,3,2,-4,215
1,1,2,1,5,216
1,1,2,1,5,217
1,1,2,1,4,218
1,2,3,1,-3,219
1,1,2,1,3,220
1,1,2,1,3,221
1,2,3,2,-3,222
1,1,2,2,-2,223
1,1,2,1,4,224
1,1,3,2,4,225
1,1,2,1,3,226
1,2,3,2,-1,227
1,1,2,2,-4,228
1,1,2,1,2,229
1,1,2,2,-4,230
1,1,3,1,2,231
1,1,2,2,-3,232
1,1,2,2,-1,233
1,2,3,1,-3,234
1,2,3,1,-2,235
1,1,2,2,1,236
1,1,2,2,-2,237
1,1,2,2,-1,238
1,2,3,2,3,239
1,1,2,1,-4,240
1,1,2,2,-4,241
1,1,2,1,-3,242
1,1,2,2,-4,243
1,1,2,2,-2,244
1,1,2,2,1,245
1,2,2,2,5,246
1,1,3,1,-3,247
1,1,2,1,-4,248
1,2,3,2,4,249
1,2,3,2,4,250
2,2,3,1,4,1
2,2,3,2,4,2
2,2,3,1,2,3
2,2,3,2,3,4
