sub_id,beta,lr,e,w_MB,ps,nll
1,1.3297,0.58238,0.030685,0.55914,0,119.53
2,1.1907,0.5131,0.40104,0.69639,0,135.54
3,1.158,0.65048,0.95728,0.77194,0,122.71
4,0.1,0.84609,0.21607,0.47069,0,338.43
5,0.43408,0.4352,1.1074e-05,0.32537,0,290.7
6,1.1058,0.87361,6.3435e-08,0.73649,0,114.82
7,1.9,0.65892,0.49938,0.31428,0,65.036
8,1.0979,0.74033,0.84504,1.0982e-08,0,72.637
9,1.6225,0.31298,0.25733,0.4026,0,152.82
10,1.7435,0.69221,0.99999,0.50957,0,73.955
11,1.0646,0.77594,0.27137,3.2719e-06,0,130.96
12,1.6144,0.71875,0.015447,0.81031,0,89.488
13,1.426,0.5258,0.61949,0.24542,0,114.5
14,0.69046,0.52491,0.89835,0.7634,0,219.82
15,1.7272,0.43063,0.9013,0.84679,0,111.74
16,1.4871,0.43472,0.27621,0.098822,0,115.21
17,1.1303,0.66204,0.80698,0.27633,0,102.45
18,0.57221,0.33228,1,0.053686,0,255.15
19,1.4014,0.66502,0.48569,0.51155,0,104.05
20,1.9,0.68609,0.41291,0.23627,0,46.091
21,1.725,0.36568,0.80115,0.30457,0,110.34
22,0.794,0.66741,0.52222,0.35859,0,169.55
23,0.69522,0.50776,2.1266e-06,0.76261,0,225.15
24,0.97051,0.38302,0.47515,0.88846,0,187.19
25,1.4077,0.36607,0.2938,0.68365,0,138.85
26,1.5305,0.47975,0.97711,0.57837,0,118.78
27,1.3127,0.76932,1,0.37371,0,77.006
28,1.0461,0.6346,0.69031,0.28808,0,119.59
29,1.7283,0.29957,1,0.97305,0,128.54
30,0.89464,0.50464,0.59532,0.51897,0,167.78
31,0.61328,0.41508,0.094358,0.25575,0,251.63
32,0.342,0.70746,0.21752,3.6837e-07,0,285.7
33,0.50028,0.60852,6.3194e-06,0.83054,0,248.94
34,1.4307,0.76106,0.14682,0.0013656,0,68.585
35,0.42449,0.26247,1,0.36317,0,311.26
36,1.1446,0.53946,0.83854,1.3438e-07,0,106.33
37,1.4989,0.49291,0.40963,0.48738,0,126.46
38,1.2403,0.67642,0.059996,0.69489,0,121.65
39,1.9,0.63038,0.38689,0.66788,0,74.504
40,1.0288,0.34122,0.5328,0.29006,0,168.87
41,0.51026,0.60411,0.99999,0.76567,0,239.46
42,1.6429,0.76975,0.38145,0.49639,0,79.952
43,1.1464,0.4302,0.77004,0.078703,0,137.68
44,0.91263,0.51096,1.6009e-06,0.66753,0,193.67
45,0.52316,0.68428,0.99999,0.38886,0,223.72
46,1.6876,0.47584,1,0.75467,0,122.69
47,0.65915,0.55014,0.40662,2.6264e-05,0,187.42
48,0.26532,0.17871,0.99998,0.83688,0,334.68
49,1.2674,0.58074,0.499,0.43534,0,120.32
50,0.93755,0.54222,0.66052,0.68046,0,190.16
51,1.52,0.82072,0.11465,0.40495,0,86.703
52,1.4133,0.77682,0.46748,0.60345,0,94.234
53,0.73017,0.47277,0.73994,0.47647,0,206.89
54,1.4636,0.64343,0.43797,0.63721,0,109.75
55,1.9,0.56731,0.46273,0.19095,0,66.243
56,1.0979,0.4581,0.69012,1,0,173.06
57,0.33576,0.35086,0.80466,3.2259e-05,0,305.29
58,0.47567,0.66378,0.55251,0.32186,0,256.02
59,1.0962,0.64075,0.55074,0.37228,0,125.12
60,0.93266,0.4694,0.12811,0.71268,0,185.49
61,0.91924,0.49136,0.4985,0.10898,0,172.46
62,0.81326,0.32247,0.50655,0.69118,0,237.73
63,1.9,0.6473,0.27887,0.47312,0,64.12
64,0.19911,0.44228,0.53008,0.99998,0,327.32
65,1.5852,0.52255,0.23083,0.28386,0,81.815
66,0.72642,0.64762,0.71066,0.84626,0,191.51
67,0.88658,0.82968,2.3342e-05,0.91431,0,162.63
68,0.57788,0.59819,0.35704,0.45395,0,239.91
69,1.2183,0.75497,0.99996,0.97316,0,121.34
70,0.43855,0.41772,0.33004,0.44615,0,290.94
71,1.7541,0.36808,0.27496,0.86131,0,114.12
72,0.53857,0.42506,0.99987,0.99489,0,246.22
73,0.84185,0.72347,0.94625,0.97095,0,175.83
74,0.3986,0.56713,0.39764,0.49109,0,277.73
75,0.98609,0.45308,0.57608,0.71914,0,185.39
