sub_id,beta,lr,e,w_MB,sigma_MB,sigma_MF,nll
1,0.44217,0.7,0.034212,0.14654,4.1191e-07,0.040977,144.15
2,0.37,0.2,1,7.4088e-08,0.4592,0.065873,158.27
3,0.1,0.36522,1,3.1767e-07,0.53889,0.06577,172.61
4,0.13659,0.2,0.99999,0.30281,0.99998,0.43139,172.02
5,0.46394,0.2,0.34609,1,2.2621e-07,1,169.08
6,0.13794,0.7,1,2.824e-07,0.51957,0.22545,165.11
7,0.39207,0.20001,0.39253,0.99996,0.53953,0.17469,169.9
8,0.20201,0.2,1,6.7957e-07,0.4969,0.13386,169.96
9,0.51093,0.2,1,2.6351e-07,0.83288,2.8415e-07,149.31
10,0.58936,0.35132,1,0.13044,1.7852e-05,0.85519,146.72
11,0.15072,0.32201,1,0.00019126,0.33625,0.39975,169.57
12,0.13905,0.33711,1,1.2967e-07,0.50223,0.35535,170.06
13,0.66002,0.2,1,0.24407,4.0819e-06,2.9119e-08,146.34
14,0.14564,0.2,1,1.1221e-07,0.54541,7.0489e-08,170.89
15,1.066,0.20811,0.9999,0.82041,0.096169,0.030655,151.32
16,0.43916,0.54022,1,0.45244,1,0.40154,156.02
17,0.24593,0.2,1,1.2174e-07,0.44214,0.0020385,167.38
18,0.24358,0.34978,0.32388,1.5281e-07,0.52767,0.37402,169.63
19,0.8877,0.2,0.94534,0.051164,7.9075e-06,0.93332,143.76
20,0.34334,0.2,1,7.5295e-08,0.47803,4.5276e-08,166.3
21,0.17519,0.57557,0.21211,8.3741e-07,0.47021,0.030432,170.4
22,0.1,0.36635,1,5.0417e-07,0.56615,1,172.69
23,1.6961,0.2,0.79848,0.71462,0.73714,1.9436e-07,133.89
24,0.45174,0.28026,0.99925,0.42584,0.99218,0.061348,161.15
25,0.43861,0.35781,1,5.4387e-08,0.5418,3.0394e-08,142.85
26,0.50939,0.21745,1,2.068e-07,0.48696,0.15115,154.11
27,0.19176,0.2,1,8.9233e-07,0.73603,0.86428,170.84
28,0.94517,0.2,1,0.45335,8.0313e-08,0.39705,146.98
29,0.3718,0.4898,2.2576e-08,1.6312e-08,0.61068,0.71422,160.54
30,0.17505,0.2,1,0.90713,1,2.136e-07,172.73
31,0.36912,0.31276,1,1.133e-07,0.64551,0.27,156.46
32,0.44528,0.2,1,0.497,1,0.8185,168.72
33,0.2959,0.65888,1,4.2812e-08,0.48393,0.5175,149.46
