sub_id,beta,lr,e,w_MB,sigma_MB,sigma_MF,nll
1,0.42587,0.21959,0.8237,0.40117,0.42032,0.13268,162.25
2,0.28386,0.46149,6.6587e-07,0.2588,3.2895e-06,0.48462,167.71
3,0.20974,0.29061,0.21414,0.96288,0.14132,0.28823,170.5
4,0.37951,0.31742,5.3891e-09,0.31783,0.9535,9.576e-10,166.33
5,0.12823,0.54318,0.44596,0.99772,0.9296,0.63478,169.9
6,0.22807,0.68787,0.50303,1,0.83793,0.53463,165.9
7,0.12503,0.54993,0.49806,1,6.028e-08,0.60254,171.21
8,0.49061,0.2,0.38257,5.9685e-06,0.33564,0.53256,162.5
9,0.21198,0.45228,1,0.35057,1.0544e-08,4.7617e-09,167.46
10,0.27689,0.2,0.21103,1,0.61403,0.52982,169.8
11,0.21609,0.58389,1,0.41647,7.9956e-08,5.8163e-08,164.87
12,0.29867,0.7,7.8584e-08,0.22366,1,0.17749,160.78
13,0.40234,0.40286,0.99992,0.97509,1,0.99997,156.97
14,0.35178,0.7,1.483e-08,0.55476,3.458e-09,6.548e-09,153.24
15,0.28775,0.7,0.59483,1,0.021902,0.33816,162.79
16,0.13553,0.44317,0.34075,0.13134,0.51822,0.98818,171.21
17,0.16975,0.64512,0.39868,0.20964,1.5053e-07,4.4242e-08,169.05
18,0.3773,0.23261,0.73591,0.013714,0.053604,0.87726,165.28
19,0.1393,0.68868,1,0.44354,2.8874e-05,8.6583e-06,170.27
20,0.26089,0.58544,1,0.29638,1,1.0432e-08,163.69
21,0.3731,0.64341,0.99822,0.59101,0.40983,0.0015543,153.35
22,0.66014,0.21147,0.6394,1,1.0022e-08,0.18035,161.12
23,0.12121,0.7,0.47946,3.2784e-07,0.63643,1,169.52
24,0.11231,0.56856,0.035767,0.029217,0.11635,0.10341,171.73
25,0.43366,0.24712,0.99999,0.81344,2.6809e-07,9.5213e-07,163.22
26,0.42606,0.6759,0.6283,0.037881,2.4758e-07,9.5759e-09,146.96
27,0.13009,0.7,1,0.065484,1.4719e-07,9.3131e-09,168.81
28,0.65103,0.60452,1,0.81532,0.065799,0.34984,131.73
29,0.1,0.7,0.59377,1,1.0701e-06,0.43539,171.98
30,0.10007,0.69708,0.016348,0.91332,0.55151,0.79922,173.09
31,0.70807,0.2,0.8174,1,0.30801,0.3433,150.52
