sub_id,beta,lr,e,ps,w_MB,sigma_MB,sigma_MF,sigma_ps,nll
1,0.73655,0.46065,7.4726e-07,1,0.11271,0.99999,1,1.1302,47.044
2,0.8191,0.30332,1,1.5727,0.40675,2.0881e-08,1,1,53.384
3,0.23163,1,1,1,0.14142,1,1,1,71.372
4,0.11704,0.21938,0.99999,5,2.4643e-06,0.26485,4.7517e-07,1,82.825
5,1.1207,1,0.21616,1,0.70424,1,0.74537,1,40.052
6,0.45146,1,1,1.3022,0.76554,1,1,1,57.243
7,0.56373,1,1,1.243,0.74857,0.64404,1,1,56.709
8,0.1,0.019667,3.3475e-06,1,5.3288e-06,0.50836,0.99998,1,88.429
9,0.59799,0.52469,0.31437,1,0.68622,0.56748,0.83171,1,56.016
10,0.46054,1,0.012359,1.2486,0.7977,1,0.34325,1,58.236
11,0.55748,1,6.3416e-07,1.257,0.883,1,1,1,51.917
12,0.1,0.059649,4.7957e-06,5,5.1215e-06,0.61559,0.99999,1,84.282
13,0.33772,1,1,1,0.38907,1,1,1.0398,68.63
14,0.58522,0.69079,0.99679,1.2012,0.2771,0.99049,0.69337,1.0014,60.471
15,0.483,1,2.4748e-08,1,0.76426,1,5.4385e-09,1,63.894
16,0.69007,0.7282,1,1,1.1246e-07,0.45726,0.47503,1,56.517
17,0.41233,0.75608,0.99099,1.0132,0.52055,0.98428,0.35676,1.0061,69.029
18,1.3951,0.019782,2.8072e-06,5,2.0734e-06,0.75745,1,1,40.109
19,0.50011,1,0.51457,1,0.72335,0.71334,0.28123,1,62.62
20,0.38957,0.79147,1,1,0.64621,1,0.72054,1,71.813
21,0.1877,1,0.91942,1,1.0875e-07,0.46652,3.6031e-08,1,74.102
22,0.37862,0.99851,0.77304,1.6856,0.53962,0.40552,0.99026,1.0014,69.798
23,0.79224,0.62785,0.63646,1,1,1,0.42269,1,48.868
24,0.53842,1,0.99999,1,0.76095,1,1,1.4415,50.289
25,0.20656,1,0.38291,1,0.64084,1,1,1,79.58
26,0.59344,0.45939,0.57337,1.0021,0.38457,0.76716,0.0011737,1.0002,71.283
27,0.47638,1,1,1,0.59914,1,0.40207,1.8167,59.281
28,0.47415,1,1,1,0.38639,1,1,2.1636,46.403
29,0.70611,1,5.1528e-08,1,0.41943,0.93729,0.78339,1,50.307
30,0.36814,0.17762,1,1,1.1668e-07,0.36992,0.19889,1.4388,46.2
31,0.1,0.0077343,1.338e-06,1,6.693e-06,0.5206,0.99996,1,86.513
32,0.39983,1,1,3.0355,0.64402,1,1,1,60.059
33,0.45796,0.59676,4.3807e-07,1,3.7235e-07,0.54735,0.99999,1,67.476
34,0.49022,0.9553,0.63996,1,1,1,0.33976,1,61.607
35,0.50089,0.15914,0.94633,1,5.9572e-07,0.63031,1,1,73.369
36,0.45831,0.5072,0.017279,4.0714,0.36261,0.42512,0.041671,1.0017,49.422
37,0.39804,0.99999,0.45921,1,0.42251,1,0.41179,2.3743,64.766
38,0.41931,0.15823,0.048915,1.0749,0.3831,0.80026,0.83642,1.3069,77.037
39,0.62748,0.32229,0.99999,1.3079,0.85836,4.1578e-07,9.5734e-06,1,70.056
40,0.66243,0.66864,0.51749,1,0.68082,1,1,1,55.041
41,0.45753,1,1,1,0.5391,0.49459,1,1,67.455
42,0.16979,1,0.80418,1,2.7987e-08,0.55031,1,2.0091,78.624
43,0.41782,0.57319,0.99488,1.0036,0.42075,0.99541,0.9976,1.002,70.183
44,0.1,0.027015,1,1.8256,1.2958e-05,0.51334,0.99999,1,62.169
45,0.32357,0.88343,0.50763,2.6894,0.52995,1,0.48766,1.1827,68.855
46,0.36351,0.71432,0.72635,2.0332,0.99796,0.99914,0.58097,1.0029,71.587
47,0.49537,0.71663,0.64028,1,1,1,0.60109,1.3231,67.418
48,0.62783,0.70162,0.00020527,1.0002,0.28586,0.59273,0.99992,1.0002,42.24
49,0.53897,1,0.084465,1,0.45429,1,1,1,53.272
50,0.3671,1,1,3.7772,0.27179,1,1.911e-07,1,54.993
51,0.1,1,0.79853,1,0.67405,0.97613,2.9329e-07,1,81.706
52,0.45747,0.4545,0.80533,1.9444,0.22165,0.99563,0.99886,1.066,66.812
53,0.41266,0.40646,0.73563,1,1.8414e-07,0.66727,0.52585,1,70.308
54,0.62982,0.76121,0.75297,1,0.53428,0.9956,0.79607,1.175,50.579
55,0.13808,0.12034,1,1,8.7384e-07,0.54805,8.8392e-07,1.0654,85.051
56,0.82806,0.92692,1,1.6425,0.77155,1,3.0716e-09,1,35.88
57,0.88076,0.87769,0.34828,1,1,1,0.66113,1.1829,36.923
58,0.87791,1,0.76958,1.5042,0.34109,1,0.17085,1.3477,38.979
59,0.22332,0.26642,0.15748,1,1.2425e-06,0.26174,3.8664e-07,1,83.275
60,0.25846,0.87294,2.3687e-05,1.326,0.66841,0.78286,1.698e-07,1,77.788
61,0.1,2.4449e-09,0.55195,1.5979,0.49094,0.34083,0.48074,1,86.083
62,0.54046,0.86657,4.1757e-07,1.8283,0.83886,1,0.37997,1.6007,50.394
63,0.65506,0.77119,1,1.6174,0.76695,0.85951,0.35752,1,43.297
64,0.16894,0.8937,0.94389,1,7.1635e-07,0.63238,0.96918,1,80.839
65,0.39505,0.99886,1,3.333,0.40188,1,3.6771e-09,1,57.417
66,0.61182,1,0.75683,1,0.51716,1,0.14046,1,58.75
67,0.22425,0.58208,0.3668,1,0.2435,1,2.0006e-08,1,76.903
68,0.26019,0.67952,0.8587,1.0254,0.75142,0.9705,0.96439,2.7853,74.008
69,0.40955,0.64962,1,1.0942,2.6096e-08,0.59452,1,1,63.877
70,0.32932,0.034919,9.9399e-07,2.0294,1.5911e-06,0.71552,1,1,40.709
71,0.55469,0.91964,1,1.0124,0.60272,1,0.5581,1,55.588
72,0.1,4.8048e-09,0.34962,1,0.4415,0.33723,0.41259,1,87.886
73,0.47798,0.045016,2.4451e-07,1,0.19255,1,1,1,79.907
74,1.3609,0.06123,1,1,6.0203e-08,0.39798,3.7714e-08,1,51.605
75,0.10486,1,0.46515,3.071,0.042282,1,1,1,83.049
76,0.1454,0.93104,5.5152e-07,2.5185,2.2935e-06,0.36324,0.091875,1,82.79
77,0.57512,1,0.50867,1,1,1,0.56326,1,56.476
78,0.38786,1,1,1,0.36877,0.5,0.39351,1,71.527
79,1.1047,0.11195,4.7155e-06,5,1.1569e-06,0.74862,1,3.1813,23.804
80,0.27126,0.39215,1.9282e-07,1,0.31987,1,5.7857e-07,1,79.007
81,0.32498,1,0.83658,1.8215,0.26479,0.89351,1,1.683,63.779
82,0.32117,0.84939,0.27192,3.9338,0.30035,0.62596,1,1,64.987
83,0.55468,1,1.0851e-06,1,0.90032,1,1,1,60.991
84,0.24198,0.92451,0.37975,1.0072,0.98973,0.77112,0.4091,1.013,80.551
85,0.14448,0.89365,1,5,1.4658e-07,0.48913,2.9365e-07,1,77.861
86,0.40308,1,1,4.4548,0.85123,1,0.36378,1,51.44
87,0.23315,1,1,1,0.63333,0.99952,0.79078,1.752,77.375
88,0.95516,1,1.1765e-07,1.8697,0.86347,1,2.383e-08,1,28.623
89,0.27468,0.99999,1,1,7.1214e-08,0.41697,0.89324,2.0486,74.929
90,0.60926,0.79127,1,1,0.65499,1,1,1.3632,49.539
91,0.1352,0.18896,1,1,1.6145e-06,0.15896,0.091422,1.0415,84.402
92,0.15687,1,1,1,0.43691,1,1,5,75.623
93,0.63448,1,2.2244e-06,1,0.91049,1,0.60848,1.5298,44.611
94,0.5969,1,3.0765e-07,1,0.68723,0.93331,1,1,49.427
95,0.18171,0.71771,1,1,0.16305,0.86861,0.021055,1,63.059
96,0.79831,0.78872,0.41032,1.6932,0.59003,1,2.0191e-07,1,42.244
97,1.0885,1,1,1,0.7324,0.94042,0.50982,1,33.006
98,0.33206,0.4421,0.52297,1,1,1,0.53436,1,66.594
99,1,0.5,0.5,2,0.4,0.5,0.5,1.99,-0
100,0.86468,1,0.20487,1,0.77994,0.80546,0.27039,1,49.902
101,0.35,0.52436,1,2.7621,0.073878,1,0.56158,1,68.409
102,0.55691,0.25907,0.51624,5,1,1,0.62438,1,56.798
103,0.39283,0.81745,0.65027,1.0111,0.99496,0.99383,0.60575,1.0066,70.518
104,0.49124,0.54295,3.9953e-08,1.6869,0.55563,1,0.061748,1,64.894
105,0.61742,0.78145,0.9999,1.2542,0.99567,0.5975,0.39834,1,51.81
