sub_id,beta,lr,e,ps,w_MB,sigma_MB,sigma_MF,sigma_ps,nll
1,0.8785,0.0070927,1,1,2.9295e-07,0.4354,3.203e-07,1.2681,68.844
2,0.43903,0.015294,1,3.4822,1.1089e-06,0.47836,2.7763e-06,1,72.273
3,0.13299,0.76549,1,1,8.8105e-07,0.41484,0.4179,1.1498,83.494
4,0.13229,0.32814,5.8453e-07,5,0.56285,1.0068e-06,1,1,82.15
5,0.19444,0.50079,1,5,2.1298e-07,0.60989,1,2.6671,76.562
6,0.4238,0.94975,0.92562,1.5768,0.76572,0.24916,0.29311,1.1169,71.184
7,0.37557,0.26281,1,2.1915,0.53422,2.1589e-07,0.32626,1.0023,69.547
8,0.1,2.5506e-08,0.47051,1,0.5238,0.3346,0.58997,1,88.561
9,0.60934,0.23709,0.0028012,1.0039,0.54176,0.46321,0.0013115,1.0012,65.298
10,0.2216,1,0.44697,3.1554,0.16929,6.3899e-07,0.61677,1,74.07
11,0.56865,0.30094,0.99903,1.0042,0.56395,0.030077,0.092071,1.0007,68.956
12,0.1,0.034789,4.8195e-06,5,4.2185e-05,0.4262,1.6425e-05,1,84.719
13,0.15505,0.47629,1,1,1.3842e-07,0.48067,0.99999,1.9993,82.637
14,0.3991,0.95621,0.38343,1.2363,0.34644,0.62426,0.024835,1.014,67.86
15,0.33149,0.04773,0.96068,1.0318,0.12784,0.15788,0.0212,1.0529,84.696
16,0.39478,0.62258,1,2.2343,7.2714e-08,0.36636,0.67672,1,67.145
17,0.26154,1,1,1.0244,0.17413,0.19878,0.42308,1,77.015
18,1.4029,1.559e-09,0.53634,5,0.83212,0.072004,0.49012,1,41.333
19,0.3559,0.14164,0.68578,1,1,1,1.0633e-06,1,82.247
20,0.2576,0.12289,0.40103,1.4686,1,1,1.3869e-06,1,83.799
21,0.23973,1,4.4305e-06,1,0.49076,1,0.28173,1,73.998
22,0.36848,1,1,1.1025,0.71955,0.53729,0.19419,1,76.361
23,0.46987,1,1,1.6633,0.87457,0.28926,0.40319,1,63.73
24,0.73899,0.083419,0.76332,1.0088,0.99678,0.99877,0.0022774,1.0474,74.236
25,0.1,0.30597,1,1,5.071e-06,0.37146,0.27325,1,86.979
26,0.50303,0.20698,0.76551,1.3072,1.232e-08,0.31046,7.0704e-09,1,75.626
27,0.11384,0.80081,0.53,1.0567,0.99898,0.99829,0.00079082,4.935,78.996
28,0.39005,0.026264,0.12769,1.4241,0.67827,0.62851,0.53357,3.2153,67.009
29,0.46766,0.83055,0.13892,1.1099,0.62574,0.3532,0.001916,1.0108,73.51
30,0.25436,1,1.9483e-06,1.0001,0.35103,7.1338e-07,0.40899,2.0351,46.587
31,0.1,2.2295e-08,0.46646,1,0.47611,0.4656,0.42422,1,86.556
