sub_id,beta,lr,e,ps,w_MB,sigma_mb,sigma_mf,sigma_ps,nll
1,0.21395,0.91853,3.8328e-07,1,7.0666e-07,0.14337,1.6466e-07,1.8064,75.964
2,0.21603,0.62935,1,1,0.77414,1,0.99999,1,79.964
3,0.1,1.014e-08,0.22895,1.7948,0.36826,0.54665,0.5599,1,86.683
4,0.1002,0.05249,0.35393,1.0025,0.99316,0.44625,0.41451,1.0058,86.189
5,0.24953,0.74734,1.5641e-06,1,0.69164,0.002537,0.11993,1,74.755
6,0.16623,0.40652,2.9374e-06,1,9.8989e-07,0.46086,1.286e-06,1,82.588
7,0.21314,0.91738,9.619e-08,1.1345,6.8543e-07,0.3936,0.89973,1,75.684
8,0.3991,0.44237,1,1,2.4782e-07,0.2983,0.033859,1.9912,74.386
9,0.1,0.066221,0.50222,1.0001,0.99999,1.6195e-05,0.39962,1,87.554
10,0.1,0.06319,3.6224e-06,1,1.1461e-05,0.53523,0.99998,1,88.344
11,0.1,2.5099e-07,0.49046,2.1078,0.44664,0.46632,0.44873,1,87.372
12,0.25812,0.74353,0.42141,2.1186,1,0.23553,0.36077,1,76.031
13,0.55505,0.035435,1,1,1.1844e-07,0.63832,1,1.1349,70.231
14,0.28419,0.70295,2.7746e-07,1,0.3674,1.1649e-08,7.1264e-09,1,74.084
15,0.10558,0.43362,1,1,5.1664e-07,0.64464,1,1,85.616
16,0.36011,0.3896,0.47889,1.8763,1,2.6587e-08,0.19163,1,75.997
17,0.1,1,8.542e-07,1,0.76715,0.11853,8.0917e-07,3.3898,83.595
18,0.2404,0.4731,0.15945,1,4.7752e-07,0.34693,1.6883e-07,1,79.947
19,0.39405,0.083591,1,1,8.8132e-07,0.43878,3.8347e-07,1,82.198
20,0.19092,1,1.3358e-06,1,0.61977,3.8713e-07,6.6731e-07,1,81.882
21,0.13097,1,0.68359,1,1,0.65086,0.59706,1.9775,82.596
22,0.52049,0.3158,0.5968,1.0004,0.88321,0.29397,0.99787,1,72.199
23,0.14354,1,8.2888e-07,2.8778,0.098287,1.3399e-05,0.083252,1,81.83
24,0.1,0.96556,0.2631,1,2.9681e-07,0.51002,2.3454e-07,1,86.208
25,0.34451,0.23722,0.22807,1,0.43345,1,1,1.5634,74.603
26,0.1,4.0666e-08,0.53926,1,0.39767,0.41577,0.45962,1,87.866
27,0.27378,0.57063,1,1.1814,3.5895e-08,0.50551,0.3091,2.4619,76.061
28,0.43575,0.47876,0.53053,1.0092,0.99046,0.0040758,0.25056,1.1117,69.931
29,0.35672,0.070503,0.99992,1.0001,0.53179,0.99989,0.76291,2.1966,74.665
30,0.13666,0.41105,9.502e-06,2.2378,1.3642e-05,0.5296,3.6163e-06,1,84.266
31,0.25599,0.66504,0.99981,4.3542,0.22268,0.13745,2.1775e-05,1.0001,67.469
32,0.32369,0.41971,1.6097e-07,1.8433,0.035183,6.372e-07,1.4373e-08,1,70.827
33,1.899,0.011585,0.20322,4.9947,0.97064,0.99949,0.99249,1.0055,42.932
34,0.1,0.075083,5.4857e-07,3.133,2.0734e-06,0.48816,0.42328,1,85.49
35,0.21712,0.34092,0.0012106,1.0013,0.64421,0.99793,0.0022382,1.001,82.931
36,0.1434,0.63168,0.098338,1.005,0.67375,0.10369,0.98778,1.0281,85.376
37,0.55551,0.17187,1.5132e-07,1,1.2515e-07,0.53295,1,1,75.032
38,0.14377,0.082919,0.61534,4.0647,1,1,0.65163,1,84.231
39,0.6585,0.21622,7.423e-07,4.3337,0.62383,1.9005e-07,3.7355e-07,1,48.647
40,0.10456,1,2.0204e-06,1,5.0105e-06,0.2495,1,1,85.201
41,0.53414,0.54981,0.30336,1.0614,0.23504,0.37059,0.0087855,1.0023,55.489
42,0.14182,1,1.3633e-07,3.3587,3.1172e-07,0.50223,0.86633,1,81.1
43,0.22,4.8138e-09,0.36702,2.1874,0.53515,0.46498,0.40913,2.6663,81.956
44,0.1,0.029197,6.4803e-06,1.7081,1.2732e-05,0.51944,0.99998,1,85.788
45,0.20412,0.34422,7.4888e-06,1,0.58543,4.3965e-07,4.9375e-07,1,81.291
46,0.1,0.3482,1,1,0.17796,1,1,1,85.53
47,0.15991,0.18055,7.2387e-07,1,2.5303e-06,0.36847,0.92612,2.1561,84.007
48,0.10369,0.24017,0.99999,1,0.50664,1,2.6281e-06,1,85.521
49,0.1,0.3888,7.3634e-07,1,5.2518e-07,0.40166,1,1,85.635
50,0.31523,0.12526,1,3.8862,3.9471e-07,0.52544,8.0251e-08,1,74.016
51,0.25573,1,2.1609e-07,2.2189,0.20661,7.5734e-06,1,1.691,68.696
