sub_id,sigma_mf_model,no_sigma_mf_model
1,-77.577,-79.577
2,-91.186,-93.186
3,-126.4,-128.4
4,-150.01,-152.01
5,-64.091,-66.884
6,-98.292,-100.29
7,-97.378,-99.378
8,-160.87,-162.87
9,-95.706,-97.788
10,-101.02,-103.72
11,-87.631,-89.631
12,-152.64,-154.64
13,-121.17,-123.17
14,-105.32,-108.14
15,-111.92,-117.76
16,-97.409,-105.17
17,-122.04,-124.79
18,-66.666,-68.666
19,-109.55,-112.11
20,-127.54,-129.64
21,-132.14,-144.14
22,-123.29,-125.29
23,-81.446,-83.446
24,-84.774,-86.774
25,-142.95,-144.95
26,-127.65,-132.84
27,-102,-106.37
28,-77.515,-79.515
29,-84.119,-87.476
30,-76.557,-79.299
31,-157.05,-159.05
32,-104.21,-106.21
33,-118.8,-120.8
34,-107.16,-109.16
35,-131.84,-133.84
36,-82.724,-86.013
37,-113.32,-115.85
38,-137.31,-139.31
39,-125.72,-127.92
40,-93.529,-95.529
41,-118.54,-120.53
42,-141.25,-143.25
43,-124.18,-126.18
44,-108.38,-110.36
45,-121.57,-124.13
46,-126.61,-128.7
47,-118.69,-120.69
48,-69.418,-71.418
49,-89.828,-91.828
50,-94.164,-101.55
51,-147.56,-149.72
52,-117.1,-119.09
53,-124.37,-126.74
54,-84.896,-87.036
55,-154.3,-156.33
56,-56.445,-60.467
57,-57.729,-59.729
58,-62.236,-64.722
59,-150.95,-154.66
60,-139.55,-142.89
61,-156.17,-158.17
62,-84.666,-86.978
63,-70.675,-73.268
64,-145.74,-147.74
65,-98.684,-103.12
66,-100.83,-108.24
67,-137.66,-141.74
68,-131.79,-133.76
69,-111.56,-113.56
70,-65.537,-67.542
71,-94.867,-97.682
72,-159.77,-161.77
73,-145.09,-147.09
74,-99.946,-110.75
75,-152.38,-154.38
76,-150.05,-153.49
77,-96.756,-98.756
78,-126.91,-133.66
79,-31.799,-33.803
80,-141.98,-145.21
81,-111.48,-113.48
82,-113.71,-115.71
83,-105.8,-107.8
84,-144.99,-147.11
85,-140.04,-144.67
86,-86.928,-89.101
87,-138.47,-140.56
88,-41.51,-45.147
89,-133.84,-135.92
90,-83.311,-85.303
91,-152.76,-155.13
92,-135.28,-137.28
93,-73.31,-75.416
94,-83.336,-85.336
95,-109.88,-113.74
96,-68.468,-74.705
97,-49.724,-52.408
98,-116.8,-118.8
99,16,14
100,-83.848,-87.231
101,-120.92,-123.74
102,-100.63,-102.63
103,-125.18,-127.18
104,-115.29,-117.62
105,-87.231,-89.232
106,-103.5,-105.5
107,-137.03,-139.03
108,-130.9,-132.9
109,-151.47,-153.47
110,-77.378,-79.378
111,-111.81,-113.81
112,-104.78,-108.07
113,-135.54,-137.74
114,-100.74,-102.74
115,-139.17,-141.41
116,-155.77,-157.77
117,-79.438,-85.635
118,-136.4,-139.01
119,-122.58,-124.58
120,-105.5,-107.55
121,-83.759,-88.814
122,-83.141,-85.141
123,-67.793,-70.57
124,-141.26,-143.27
125,-147.53,-149.53
126,-89.871,-95.916
127,-76.904,-78.946
128,-112.94,-114.94
129,-109.04,-112.47
130,-110.12,-116.51
131,-78.221,-80.677
132,-142.08,-144.56
133,-60.534,-62.534
134,-100.26,-102.26
135,-94.959,-97.117
136,-94.865,-99.605
137,-108.24,-110.24
138,-122.45,-125.58
139,-151.52,-153.52
140,-106.68,-108.64
141,-88.895,-90.895
142,-133.41,-140.24
143,-130.67,-132.67
144,-67.731,-69.731
145,-137.8,-139.86
146,-114.57,-116.57
147,-113.19,-119.4
148,-149.64,-152.16
149,-87.619,-89.619
150,-87.275,-89.275
151,-84.471,-87.07
152,-75.02,-77.02
153,-129.72,-131.72
154,-127.16,-129.18
155,-62.387,-64.387
156,-139.69,-141.69
157,-61.485,-63.364
158,-63.689,-65.689
159,-99.946,-101.95
160,-133.41,-135.45
161,-79.631,-83.582
162,-139.34,-141.34
163,-107.45,-109.45
164,-65.757,-67.757
165,-106.19,-108.19
166,-85.44,-89.004
167,-86.247,-88.134
168,-115.77,-117.77
169,-153.97,-154.29
170,-133.63,-135.63
171,-80.163,-82.341
172,-112.99,-114.99
