sub_id,beta,lr,e,ps,w_MB,sigma_mb,sigma_ps,nll
1,0.74938,0.45983,6.776e-07,1,0.078832,0.99999,1.1387,46.789
2,0.82113,0.30584,1,1.5933,0.42942,1.9814e-08,1,53.593
3,0.23437,1,1,1,0.15066,0.99999,1,71.202
4,0.1291,6.4192e-08,0.46191,5,0.61503,0.44101,1,83.006
5,1.1291,0.97919,0.11899,1,0.77702,0.98005,1,40.442
6,0.45417,1,1,1.2952,0.76975,1,1,57.146
7,0.56189,1,1,1.245,0.75082,0.64023,1,56.689
8,0.1,0.021102,4.0659e-06,1,6.513e-06,0.49678,1,88.437
9,0.61052,0.5024,0.31473,1.0157,0.69783,0.56135,1.0014,55.894
10,0.43216,0.97297,1,1.4333,0.9419,1,1,58.858
11,0.55878,1,7.0049e-07,1.2627,0.88972,1,1,51.816
12,0.1,0.064096,3.6307e-06,5,4.0508e-06,0.60012,1,84.318
13,0.33933,1,1,1,0.407,1,1.035,68.585
14,0.6003,0.56654,1,1.3198,0.3369,1,1,61.07
15,0.43925,1,0.55032,1,1,1,1,65.88
16,0.67711,0.55339,1,1.3071,0.22701,7.0873e-08,1,59.587
17,0.44169,0.58825,1,1,0.5782,1,1,69.397
18,1.4029,3.4358e-08,0.48021,5,0.46958,0.55761,1,41.333
19,0.49715,1,0.43147,1,1,0.62246,1,63.056
20,0.38976,0.75827,1,1,0.67814,1,1,71.819
21,0.27392,0.3793,1,1,0.78714,2.0349e-07,1,79.068
22,0.38126,0.99848,0.76884,1.6837,0.54145,0.40553,1.0014,69.644
23,0.79839,0.63096,0.48885,1,1,1,1,48.723
24,0.53785,1,1,1,0.75835,1,1.4475,50.387
25,0.20815,1,0.37343,1,0.63613,1,1,79.476
26,0.54828,0.37199,0.74223,1.1535,0.73213,0.30054,1.0012,73.422
27,0.4659,0.93971,0.99952,1.0003,0.758,0.97778,1.9382,60.186
28,0.46983,1,1,1,0.36891,1,2.179,46.757
29,0.7238,0.99999,9.8006e-07,1,0.55489,0.84292,1,50.738
30,0.42017,0.094628,1,1,6.6747e-07,0.28256,1.2649,46.649
31,0.1,0.006465,1.4263e-06,1,8.4741e-06,0.49891,1,86.525
32,0.40215,1,1,3.0221,0.65055,1,1,60.107
33,0.45784,0.60775,2.7476e-08,1,2.318e-08,0.55876,1,67.401
34,0.49146,0.95338,0.51275,1,1,1,1,61.582
35,0.50471,0.15439,0.99999,1,1.6401e-07,0.69552,1,73.918
36,0.4494,0.54549,1,4.4826,0.61037,0.16415,1,50.006
37,0.41535,0.73997,0.90966,1.0172,0.61448,0.80648,2.2466,64.926
38,0.46396,0.1424,3.4896e-07,1,9.7527e-06,0.87906,1.1735,76.653
39,0.59151,0.31567,0.5876,1.4152,1,3.9004e-07,1,70.958
40,0.6725,0.65841,0.60696,1,0.68948,1,1,54.764
41,0.46236,0.99664,0.9984,1.0034,0.54301,0.49999,1.0029,67.265
42,0.1696,1,0.81582,1,1.1454e-07,0.51135,2.0275,78.624
43,0.4159,0.58568,1,1,0.4114,1,1,70.089
44,0.1,0.063984,0.58762,1.8521,1,0.082015,1,62.178
45,0.33738,0.65285,0.13612,2.556,0.75271,1,1.149,69.066
46,0.3694,0.71493,0.78661,2.0043,0.97898,0.99582,1.014,71.352
47,0.49854,0.72089,0.51409,1,1,1,1.3161,67.346
48,0.6199,0.71061,0.00014679,1.0002,0.27154,0.61459,1.0002,42.709
49,0.54217,1,0.072954,1,0.45712,1,1,52.914
50,0.37498,0.98527,1,5,0.4712,4.7033e-07,1,57.775
51,0.1,1,0.45177,1,1,0.91826,1,81.86
52,0.46767,0.45451,0.80985,1.9086,0.17535,0.99479,1.0479,66.544
53,0.38588,0.40899,0.99998,1,0.14728,2.2828e-06,1,70.37
54,0.63941,0.71141,0.70038,1,0.56461,0.99999,1.1478,50.518
55,0.1,0.18916,1,1,2.2084e-06,0.33509,1.4701,85.165
56,0.78672,0.93072,0.58985,1.841,1,0.75139,1,37.233
57,0.89944,0.86485,0.35994,1,1,1,1.158,36.865
58,0.87377,1,0.96402,2.1927,0.55494,1.5395e-06,1.3675,39.361
59,0.20493,0.21315,0.5606,1,1,2.2877e-07,1,84.332
60,0.23184,0.97104,0.31977,1.6898,1,0.63178,1,78.447
61,0.1,3.4891e-10,0.5646,1.5979,0.6851,0.4416,1,86.083
62,0.5289,0.8391,4.1822e-06,1.9157,0.92313,1,1.6582,50.489
63,0.64024,0.77278,0.72991,1.8682,0.97063,0.77731,1.0386,43.634
64,0.16842,0.8784,0.92906,1,9.4357e-07,0.63631,1,80.872
65,0.44436,0.81272,1,3.2151,0.86493,0.15264,1,58.558
66,0.56551,0.97394,0.46656,1.0055,0.65579,0.69814,1.0009,61.12
67,0.28386,0.21114,1,1,1.716e-06,0.65935,1,77.869
68,0.26261,0.67821,0.86935,1.025,0.74809,0.97196,2.7552,73.878
69,0.411,0.64855,1,1.0884,2.8819e-08,0.69578,1,63.78
70,0.32063,0.0315,0.0035112,2.1123,0.0835,0.96735,1.0065,40.771
71,0.55823,0.71935,1,1,0.58251,1,1,55.841
72,0.1,9.1331e-08,0.31741,1,0.45883,0.46132,1,87.886
73,0.45454,0.049413,2.0103e-07,1,2.2504e-06,0.82391,1,80.547
74,0.77998,0.037723,1,2.2859,3.358e-07,0.41692,1,62.374
75,0.14,0.22614,8.6527e-07,2.3399,6.5677e-07,0.59996,1,84.192
76,0.14249,0.44509,4.3304e-07,2.863,9.7647e-07,0.23235,1,83.744
77,0.57835,1,0.54628,1,1,1,1,56.378
78,0.36666,1,1,1,0.74862,0.4214,1,73.828
79,1.3464,0.089633,0.021922,4.9662,0.004725,0.84729,3.0268,23.901
80,0.30387,0.22662,4.6538e-07,1,0.51256,1,1,79.605
81,0.3259,1,0.82203,1.8109,0.25133,0.89602,1.6798,63.738
82,0.32289,0.84196,0.26528,3.9089,0.27199,0.6342,1,64.854
83,0.55815,1,2.436e-07,1,0.90428,1,1,60.899
84,0.24225,0.93093,0.51545,1.0072,0.99493,0.76723,1.013,80.556
85,0.13883,0.71669,1,5,2.4818e-07,0.38041,1.3179,79.335
86,0.38517,1,0.99995,4.7226,0.90758,1,1,51.551
87,0.23433,1,1,1,0.6938,0.94161,1.727,77.28
88,0.86676,1,0.99999,2.0515,0.97758,1,1,29.573
89,0.27589,0.9314,1,1,1.4777e-08,0.48529,2.0229,74.959
90,0.60843,0.78868,0.9978,1.0012,0.64647,0.99871,1.3621,49.651
