sub_id,beta,lr,e,ps,w_MB,sigma_mb,sigma_mf,sigma_ps,nll
1,0.40722,0.12641,1,1,0.12128,0.7563,1,1,77.276
2,0.26574,0.46525,1,1,8.8461e-06,0.87875,4.5058e-07,1,79.163
3,0.1,8.2182e-09,0.29957,1.7948,0.41783,0.49789,0.52882,1,86.683
4,0.1,0.062118,0.42661,1,0.99999,0.32976,0.00048519,1,86.187
5,0.26641,0.71673,0.39038,1,1,1,2.2002e-07,1,73.25
6,0.16675,0.32712,9.9729e-07,1,3.1893e-07,0.48296,0.19576,1,83.183
7,0.36629,0.26597,0.31595,1.0076,0.99836,0.99068,0.30691,1.0062,77.875
8,0.54129,0.33489,1,1,0.49093,1,6.6834e-07,1.3412,72.654
9,0.1,0.068001,0.4196,1.0001,0.99999,0.99985,1.0702e-05,1,87.499
10,0.1,0.065366,3.6257e-06,1,1.8367e-05,0.32588,0.99996,1,88.39
11,0.1,2.6865e-09,0.48535,2.1078,0.49621,0.44918,0.38951,1,87.372
12,0.26583,0.72811,0.38705,2.0298,0.99733,0.19923,0.25163,1.0114,75.741
13,0.59372,0.033442,1,1,3.3565e-07,0.52257,1,1,68.429
14,0.32654,0.56369,3.5169e-07,1,0.5735,1,4.833e-09,1,73.116
15,0.1,0.61197,1,1,6.5693e-07,0.50708,1,1,85.355
16,0.38925,0.32855,0.40004,1.7062,0.99962,0.21454,1.1009e-05,1.0001,75.149
17,0.1156,0.81445,1.903e-07,1,1.0734e-06,0.52098,0.16922,2.6987,83.412
18,0.23317,0.52356,0.088129,1,2.855e-05,0.7016,5.9783e-07,1,79.978
19,0.43987,0.06253,1,1,1.0708e-06,0.48347,4.1109e-07,1,82.052
20,0.17502,1,0.38476,1,1,3.8529e-07,0.07834,1,82.436
21,0.13993,1,0.56914,1,1,1,0.48495,1.6705,82.383
22,0.51804,0.30835,0.50624,1.0013,0.99951,0.27456,0.47651,1.0002,71.812
23,0.1367,1,8.1638e-07,3.1507,0.2577,0.15854,2.2204e-06,1,82.231
24,0.11018,0.53666,0.99999,1.0001,2.5154e-06,0.50628,2.1567e-06,1,86.41
25,0.31678,0.25876,0.31292,1.0133,0.13729,0.77479,0.97387,1.5902,74.435
26,0.1,1.3474e-07,0.51767,1,0.42075,0.49295,0.44904,1,87.866
27,0.28973,0.5831,1,1,1.4506e-07,0.51995,0.24958,2.1621,75.965
28,0.31219,1,2.2644e-07,1,0.55726,1,1.1604e-07,1.7586,68.942
