subject,matched_player_id,version,condition,pre_rt1,pre_key1,pre_Action1,pre_rt2,pre_key2,pre_Action2,pre_Re,pre_S2,pre_score,rt1,key1,Action1,rt2,key2,Action2,Re,common,S2,score,practice,reverse_mapping_1,reverse_mapping_2,timeouts,vals,trial_index,time_elapsed,stamp,rews1a1,rews1a2,rews2a1,rews2a2,trial_n,current_player,playing_order,last.reward,last.common,last.reward.sign,repeated
A15LHHN76OW2UM,A2KR0B9H93THZS,social_learning_v1,human,329,74,2,314,70,1,5,3,27,3829,74,2,4472,70,1,5,1,-1,26,0,1,1,0,NULL,0,574625,9/28/19 16:31,3,-1,5,-3,1,2,1,1,1,TRUE,FALSE
A15LHHN76OW2UM,A2KR0B9H93THZS,social_learning_v1,human,302,74,2,218,70,1,1,2,30,3802,74,2,4322,70,1,1,0,-1,24,0,1,0,0,NULL,0,591971,9/28/19 16:31,1,-4,2,-1,3,2,1,-3,1,FALSE,TRUE
A15LHHN76OW2UM,A2KR0B9H93THZS,social_learning_v1,human,321,74,2,226,70,1,4,3,36,3821,74,2,4368,70,1,4,1,-1,30,0,1,0,0,NULL,0,610874,9/28/19 16:31,4,-2,4,0,5,2,1,2,1,TRUE,FALSE
A15LHHN76OW2UM,A2KR0B9H93THZS,social_learning_v1,human,254,74,2,230,70,1,3,3,43,3754,74,2,4238,70,1,3,1,-1,34,0,0,1,0,NULL,0,630231,9/28/19 16:31,2,-4,3,-1,7,2,1,1,1,TRUE,TRUE
A15LHHN76OW2UM,A2KR0B9H93THZS,social_learning_v1,human,265,74,2,135,70,1,4,3,50,3765,74,2,4165,70,1,4,1,-1,41,0,0,1,0,NULL,0,647750,9/28/19 16:31,4,-3,4,1,9,2,1,3,0,TRUE,FALSE
A15LHHN76OW2UM,A2KR0B9H93THZS,social_learning_v1,human,252,74,2,232,70,1,5,3,60,3752,74,2,4236,70,1,5,1,-1,50,0,1,0,0,NULL,0,666486,9/28/19 16:31,5,-3,5,0,11,2,1,4,1,TRUE,FALSE
A15LHHN76OW2UM,A2KR0B9H93THZS,social_learning_v1,human,260,74,2,104,70,1,4,2,69,3760,74,2,4124,70,1,4,0,-1,56,0,0,0,0,NULL,0,684786,9/28/19 16:31,4,-3,3,4,13,2,1,2,0,TRUE,FALSE
A15LHHN76OW2UM,A2KR0B9H93THZS,social_learning_v1,human,253,74,2,276,70,1,3,3,75,3753,74,2,4282,70,1,3,1,-1,63,0,0,0,0,NULL,0,703434,9/28/19 16:31,1,-1,3,4,15,2,1,4,1,TRUE,TRUE
A15LHHN76OW2UM,A2KR0B9H93THZS,social_learning_v1,human,295,74,2,221,70,1,-4,2,75,3795,74,2,4311,70,1,-4,0,-1,63,0,0,1,0,NULL,0,722031,9/28/19 16:31,-4,-5,-1,-1,17,2,1,4,1,TRUE,TRUE
A15LHHN76OW2UM,A2KR0B9H93THZS,social_learning_v1,human,249,74,2,268,70,1,2,2,75,3749,74,2,4266,70,1,2,0,-1,63,0,1,1,0,NULL,0,738981,9/28/19 16:31,2,0,3,0,19,2,1,-2,1,FALSE,TRUE
