user_id,Action1,S2,Action2,Re,rews1a1,rews1a2,rews2a1,rews2a2,rt1,rt2
1,2,3,2,-3,2,1,2,-3,752,602
1,1,2,1,3,3,-1,5,-3,461,970
1,2,3,1,2,3,-1,2,-3,368,1257
1,1,3,2,-1,1,-4,2,-1,671,826
1,1,2,2,-3,2,-3,2,0,385,1145
1,2,3,1,4,4,-2,4,0,431,954
1,1,2,1,3,3,-1,4,1,417,873
1,2,3,2,-1,2,-4,3,-1,558,970
1,2,2,1,3,3,-5,3,0,370,537
1,1,2,1,4,4,-3,4,1,383,747
1,2,3,1,5,4,-3,5,0,479,1081
1,2,3,1,5,5,-3,5,0,592,618
1,1,3,1,3,5,-1,3,2,560,697
1,2,2,1,4,4,-3,3,4,335,506
1,1,2,1,2,2,-2,3,4,511,634
1,1,2,1,1,1,-1,3,4,350,618
1,2,3,2,0,-2,-2,4,0,383,841
1,2,2,1,-4,-4,-5,-1,-1,367,842
1,2,3,1,0,0,-2,0,-2,383,841
1,1,3,2,0,2,0,3,0,414,634
1,1,3,1,1,2,1,1,1,368,505
1,2,3,2,-1,4,0,0,-1,480,458
1,1,2,1,2,2,1,1,0,368,664
1,2,3,2,3,4,3,-1,3,495,987
1,1,2,2,3,2,3,1,4,560,585
1,1,2,2,3,3,3,-1,4,575,458
1,2,3,2,3,3,3,0,3,464,1065
1,2,2,2,4,4,4,0,1,431,682
1,1,2,2,3,3,3,3,2,496,537
1,1,2,2,2,3,2,3,3,558,474
1,1,3,1,4,2,4,4,1,14,169
1,2,3,1,3,-1,3,3,3,351,666
1,1,2,1,2,2,2,2,4,496,1001
1,2,2,2,2,3,2,2,4,335,795
1,2,3,2,5,5,-1,3,5,304,697
1,1,2,1,4,4,0,3,4,384,651
1,1,2,1,4,4,-2,1,2,481,617
1,1,2,1,4,4,-3,2,3,432,490
1,1,2,1,4,4,-3,1,0,319,521
1,2,3,2,0,5,-2,2,0,415,650
1,2,3,2,-1,2,-2,1,-1,352,585
1,2,3,1,2,3,-1,2,-1,319,666
1,2,3,2,0,0,1,1,0,448,985
1,2,3,1,0,0,1,0,0,383,762
1,1,3,2,-1,-3,1,-1,-1,336,617
1,2,3,1,-2,-3,2,-2,0,255,650
1,1,2,1,-2,-2,3,-5,-1,320,681
1,2,3,1,-4,-3,5,-4,0,320,747
1,1,3,2,3,-3,3,-5,3,609,873
1,2,3,2,2,-4,5,-5,2,400,523
1,1,2,2,1,-5,1,-4,0,351,825
1,1,2,2,4,-4,4,-5,3,381,538
1,2,3,1,-3,-2,3,-3,2,528,825
1,2,2,2,3,0,3,-2,2,46,746
1,2,3,2,1,1,3,-2,1,336,921
1,2,3,2,0,2,3,-1,0,445,794
1,2,3,1,0,5,2,0,0,320,585
1,1,2,2,2,5,2,-1,0,351,506
1,2,3,1,-3,0,4,-3,0,672,745
1,1,2,2,2,3,2,-2,2,191,506
1,2,3,1,-4,2,0,-4,5,448,713
1,1,2,1,3,3,-4,-4,5,351,715
1,1,2,1,1,1,-4,-4,3,369,696
1,2,3,2,5,1,-4,-5,5,336,1003
1,2,3,2,2,1,-5,-5,2,351,537
1,1,2,2,-4,1,-4,-2,1,319,1002
1,2,3,2,0,1,-5,-3,0,368,617
1,2,3,2,2,4,-4,-1,2,575,506
1,2,3,2,2,3,-5,-1,2,352,633
1,2,2,1,3,3,-5,-3,5,350,698
1,2,3,2,1,1,-2,-3,1,367,665
1,1,3,2,3,1,0,-1,3,319,602
1,2,3,2,3,3,1,-3,3,608,857
1,2,3,2,4,1,3,-2,4,351,667
1,2,3,2,4,3,2,-1,4,319,505
1,1,2,1,0,0,4,3,2,352,1338
1,2,3,2,2,1,3,1,2,289,505
1,1,2,1,2,2,2,3,3,510,746
1,2,2,1,2,2,2,3,5,367,585
1,1,3,2,3,2,0,4,3,318,522
1,2,2,1,1,1,0,3,5,365,777
1,2,3,2,5,0,3,4,5,429,506
1,1,2,1,0,0,4,4,5,352,585
1,2,3,2,4,-1,5,4,4,351,538
1,2,3,2,3,0,5,5,3,384,601
1,1,2,1,-2,-2,4,5,3,319,634
1,1,2,2,3,0,3,2,3,320,537
1,1,2,2,3,1,3,-1,4,527,538
1,1,3,1,-3,2,4,-3,3,497,888
1,1,2,2,4,-2,4,-4,2,320,699
1,1,2,2,4,1,4,-3,3,400,505
1,1,2,2,0,-1,0,-5,4,383,442
1,2,3,2,2,0,1,-2,2,304,809
1,2,3,2,4,2,3,-5,4,351,890
1,1,2,2,2,2,2,-4,2,477,633
1,2,3,2,0,-1,3,-4,0,350,1226
1,1,2,2,1,-4,1,-5,1,305,937
1,2,3,1,-5,-4,1,-5,1,351,1258
1,1,2,2,1,-2,1,-2,1,448,1049
1,1,2,2,0,-1,0,-2,1,416,778
1,1,2,2,1,1,1,1,1,433,728
1,2,3,2,1,1,1,-1,1,416,891
1,1,2,2,1,1,1,-2,3,337,793
1,2,3,2,3,-1,3,-3,3,464,842
1,2,3,2,5,-2,2,-3,5,527,521
1,1,2,2,2,-5,2,-4,4,350,970
1,1,2,2,3,-4,3,-4,2,317,775
1,2,3,2,2,-5,3,-3,2,428,634
1,1,2,2,1,-3,1,-5,4,368,761
1,1,2,2,0,-3,0,-4,1,335,698
1,1,2,2,-1,-1,-1,-4,0,352,777
1,2,3,1,-5,1,-1,-5,-4,319,1114
1,1,2,2,-2,-2,-2,-3,-4,337,841
1,2,3,2,-2,-3,-1,-2,-2,399,1147
1,2,3,1,-5,-3,1,-5,-2,337,1017
1,1,2,1,-4,-4,-1,-4,-2,320,826
1,2,3,2,-4,-4,-2,-3,-4,161,905
1,1,2,2,-4,-5,-4,-3,-1,318,842
1,2,3,2,0,-4,-2,-2,0,320,793
1,1,2,1,-5,-5,-4,-3,3,431,650
1,1,2,2,-5,-5,-5,-3,3,624,1337
1,1,2,1,-4,-4,-3,-5,2,351,1242
1,1,2,2,-5,-2,-5,-4,5,352,889
1,1,2,2,-4,1,-4,-4,3,575,666
1,2,2,1,2,2,-3,1,5,0,728
2,1,2,1,2,2,1,2,-3,641,170
2,2,3,1,5,3,-1,5,-3,196,329
2,1,2,1,3,3,-1,2,-3,29,98
2,1,3,2,-1,1,-4,2,-1,15,61
2,1,2,2,-3,2,-3,2,0,227,18
2,2,3,1,4,4,-2,4,0,69,11
2,1,2,1,3,3,-1,4,1,62,286
2,2,3,2,-1,2,-4,3,-1,60,643
2,1,3,1,3,3,-5,3,0,167,73
2,2,3,1,4,4,-3,4,1,37,25
2,2,3,2,0,4,-3,5,0,82,41
2,2,3,2,0,5,-3,5,0,216,105
2,2,2,2,-1,5,-1,3,2,54,154
2,2,2,2,-3,4,-3,3,4,11,152
2,1,2,1,2,2,-2,3,4,40,41
2,2,3,1,3,1,-1,3,4,133,35
2,1,2,1,-2,-2,-2,4,0,164,89
2,1,3,2,-1,-4,-5,-1,-1,70,18
2,2,3,1,0,0,-2,0,-2,102,113
2,1,3,2,0,2,0,3,0,519,498
2,2,2,1,2,2,1,1,1,1232,242
2,1,2,2,0,4,0,0,-1,1230,483
2,2,3,1,1,2,1,1,0,10,161
2,2,3,2,3,4,3,-1,3,1347,378
2,1,2,2,3,2,3,1,4,464,235
2,1,2,2,3,3,3,-1,4,637,145
2,2,3,2,3,3,3,0,3,653,136
2,2,2,2,4,4,4,0,1,667,218
2,1,2,1,3,3,3,3,2,213,49
2,1,2,2,2,3,2,3,3,39,112
2,2,2,2,4,2,4,4,1,152,127
2,1,2,1,-1,-1,3,3,3,12,145
2,1,2,1,2,2,2,2,4,159,42
2,1,3,1,2,3,2,2,4,90,299
2,2,3,2,5,5,-1,3,5,163,257
2,1,2,2,0,4,0,3,4,124,156
2,2,3,1,1,4,-2,1,2,199,109
2,1,2,2,-3,4,-3,2,3,147,2
2,1,2,1,4,4,-3,1,0,22,149
2,2,3,2,0,5,-2,2,0,108,158
2,1,2,1,2,2,-2,1,-1,126,194
2,1,2,2,-1,3,-1,2,-1,29,198
2,2,3,1,1,0,1,1,0,807,538
2,1,2,1,0,0,1,0,0,1,129
2,1,3,1,-1,-3,1,-1,-1,37,120
2,2,3,2,0,-3,2,-2,0,142,361
2,1,2,1,-2,-2,3,-5,-1,102,155
2,2,3,2,0,-3,5,-4,0,54,145
2,1,3,1,-5,-3,3,-5,3,29,138
2,1,2,1,-4,-4,5,-5,2,16,227
2,2,3,1,-4,-5,1,-4,0,41,171
2,2,3,1,-5,-4,4,-5,3,1564,3
2,1,2,2,3,-2,3,-3,2,345,1335
2,1,3,2,2,0,3,-2,2,25,617
2,2,3,1,-2,1,3,-2,1,51,73
2,2,3,1,-1,2,3,-1,0,129,74
2,1,2,2,2,5,2,0,0,92,68
2,1,2,1,5,5,2,-1,0,49,59
2,1,2,2,4,0,4,-3,0,353,192
2,1,2,1,3,3,2,-2,2,1,106
2,2,3,2,5,2,0,-4,5,129,98
2,2,3,1,-4,3,-4,-4,5,9,133
2,2,3,1,-4,1,-4,-4,3,163,161
2,2,3,2,5,1,-4,-5,5,0,157
2,2,3,2,2,1,-5,-5,2,135,170
2,2,3,1,-2,1,-4,-2,1,58,128
2,2,3,2,0,1,-5,-3,0,80,154
2,1,2,2,-4,4,-4,-1,2,109,97
2,1,2,1,3,3,-5,-1,2,196,131
2,2,2,1,3,3,-5,-3,5,23,145
2,2,3,2,1,1,-2,-3,1,48,801
2,1,3,1,-1,1,0,-1,3,32,128
2,2,3,2,3,3,1,-3,3,67,186
2,1,2,2,3,1,3,-2,4,5,139
2,1,2,2,2,3,2,-1,4,118,130
2,1,2,2,4,0,4,3,2,208,178
2,1,2,1,1,1,3,1,2,179,146
2,2,3,1,3,2,2,3,3,163,426
2,1,3,1,3,2,2,3,5,40,145
2,1,3,1,4,2,0,4,3,202,127
2,1,3,1,3,1,0,3,5,8,153
2,1,2,2,3,0,3,4,5,35,129
2,1,2,2,4,0,4,4,5,153,154
2,2,3,1,4,-1,5,4,4,16,145
2,2,3,2,3,0,5,5,3,148,163
2,2,3,2,3,-2,4,5,3,89,153
2,2,3,2,3,0,3,2,3,8,97
2,2,3,1,-1,1,3,-1,4,31,162
2,1,3,2,3,2,4,-3,3,80,170
2,2,3,2,2,-2,4,-4,2,149,168
2,2,3,1,-3,1,4,-3,3,174,170
2,2,3,1,-5,-1,0,-5,4,117,195
2,1,2,2,1,0,1,-2,2,100,154
2,2,3,1,-5,2,3,-5,4,19,113
2,1,2,2,2,2,2,-4,2,70,2
2,1,2,1,-1,-1,3,-4,0,158,82
2,2,3,2,1,-4,1,-5,1,137,130
2,2,3,1,-5,-4,1,-5,1,133,98
2,2,3,1,-2,-2,1,-2,1,150,119
2,2,3,2,1,-1,0,-2,1,136,90
2,2,3,1,1,1,1,1,1,111,99
2,2,3,2,1,1,1,-1,1,95,104
2,2,3,2,3,1,1,-2,3,122,139
2,1,2,2,3,-1,3,-3,3,151,117
2,2,3,1,-3,-2,2,-3,5,55,83
2,2,3,2,4,-5,2,-4,4,94,112
2,1,2,2,3,-4,3,-4,2,167,106
2,2,3,1,-3,-5,3,-3,2,101,113
2,2,3,1,-5,-3,1,-5,4,120,25
2,2,3,1,-4,-3,0,-4,1,39,219
2,2,3,1,-4,-1,-1,-4,0,126,145
2,2,3,2,-4,1,-1,-5,-4,189,233
2,2,3,2,-4,-2,-2,-3,-4,206,153
2,1,2,2,-1,-3,-1,-2,-2,31,37
2,2,3,1,-5,-3,1,-5,-2,100,259
2,1,2,1,-4,-4,-1,-4,-2,279,224
2,1,2,2,-2,-4,-2,-3,-4,148,195
2,2,3,2,-1,-5,-4,-3,-1,208,153
2,1,2,1,-4,-4,-2,-2,0,18,386
2,2,3,1,-3,-5,-4,-3,3,151,194
2,1,2,1,-5,-5,-5,-3,3,115,166
2,2,3,1,-5,-4,-3,-5,2,85,170
2,2,3,2,5,-2,-5,-4,5,67,133
2,1,2,2,-4,1,-4,-4,3,117,168
2,1,3,2,5,2,-3,1,5,108,163
3,1,2,1,-5,-5,-2,-5,3,1253,2143
3,1,2,1,-5,-5,0,-5,4,490,721
3,2,3,2,5,-4,-1,-4,5,954,802
3,1,3,2,4,-3,-2,-5,4,1083,760
3,1,3,2,1,-4,0,-4,1,468,505
3,1,3,1,-4,-3,3,-4,-2,556,767
3,1,2,1,-1,-1,2,-5,-3,972,815
3,1,2,1,0,0,1,-4,-4,815,721
3,1,2,1,-3,-3,-1,-5,-4,540,627
3,2,3,1,-3,-1,-1,-3,-4,586,609
3,2,3,2,-2,-2,-1,-3,-2,723,643
3,2,2,2,-3,-1,-3,-3,-2,890,754
3,2,3,2,-3,1,-1,-5,-3,490,1078
3,2,3,1,-3,1,0,-3,-3,477,957
3,1,2,1,0,0,-2,-3,-4,464,770
3,1,3,1,-4,0,-1,-4,-4,432,1076
3,1,2,2,-2,-2,-2,-3,-2,992,725
3,2,3,2,-3,-1,0,-2,-3,703,1348
3,1,2,1,-1,-1,1,-5,-4,257,488
3,2,3,1,-4,-4,1,-4,-5,94,7
3,1,2,2,2,-3,2,-5,-5,66,351
3,1,2,1,-1,-1,2,-4,-5,529,473
3,1,2,2,3,-2,3,-2,-4,478,424
3,1,2,2,2,-2,2,1,-2,492,1386
3,1,2,2,2,2,2,0,-3,609,544
3,1,3,2,-3,3,2,2,-3,643,940
3,1,2,2,4,2,4,1,-3,1106,683
3,1,2,2,3,-1,3,3,-5,811,499
3,1,2,2,4,0,4,1,-4,459,615
3,1,2,2,5,-1,5,-1,-3,592,479
3,1,2,2,5,2,5,1,-3,679,545
3,1,2,2,3,2,3,3,-3,474,757
3,1,2,2,3,0,3,2,-5,592,629
3,1,2,2,4,3,4,2,-5,582,572
3,1,2,2,4,4,4,2,-5,521,399
3,1,2,2,5,4,5,3,-5,646,546
3,1,3,2,-4,3,4,5,-4,699,1109
3,1,2,2,4,4,4,4,-4,783,733
3,1,2,2,5,4,5,3,-4,862,510
3,1,2,2,5,4,5,5,-5,1048,451
