sub_id,turn,c1,s2,c2,re,trial_n,social_agent_id
1,2,1,2,2,-1,1,76
1,1,1,2,1,0,2,76
1,2,2,3,2,-1,3,76
1,1,1,2,2,5,4,76
1,2,2,3,1,1,5,76
1,1,1,2,2,1,6,76
1,2,2,2,1,0,7,76
1,1,1,2,2,-4,8,76
1,2,1,2,1,-1,9,76
1,1,1,3,1,3,10,76
1,2,1,3,1,2,11,76
1,1,1,2,1,-3,12,76
1,2,2,3,1,0,13,76
1,1,1,2,2,-1,14,76
1,2,1,2,1,1,15,76
1,1,2,2,1,-2,16,76
1,2,2,2,1,-1,17,76
1,1,1,2,1,-5,18,76
1,2,2,3,1,1,19,76
1,1,1,2,2,2,20,76
1,2,2,3,1,1,21,76
1,1,1,2,2,1,22,76
1,2,1,3,1,1,23,76
1,1,1,2,2,0,24,76
1,2,1,3,1,-2,25,76
1,1,1,2,2,1,26,76
1,2,1,2,2,0,27,76
1,1,1,2,2,-1,28,76
1,2,2,2,2,0,29,76
1,1,2,2,2,1,30,76
1,2,2,3,2,2,31,76
1,1,2,2,2,2,32,76
1,2,2,3,2,-1,33,76
1,1,2,2,2,4,34,76
1,2,1,2,2,2,35,76
1,1,1,2,2,4,36,76
1,2,1,2,2,1,37,76
1,1,2,3,1,4,38,76
1,2,2,3,2,2,39,76
1,1,1,2,2,-4,40,76
1,2,2,3,2,-1,41,76
1,1,2,2,2,-4,42,76
1,2,2,3,2,-3,43,76
1,1,1,2,1,3,44,76
1,2,1,2,2,-2,45,76
1,1,1,2,1,2,46,76
1,2,2,3,1,2,47,76
1,1,1,2,1,1,48,76
1,2,2,3,1,0,49,76
1,1,1,2,1,-3,50,76
1,2,1,3,1,5,51,76
1,1,1,2,1,-4,52,76
1,2,1,2,1,-2,53,76
1,1,2,2,2,1,54,76
1,2,1,3,1,2,55,76
1,1,1,2,2,5,56,76
1,2,1,2,2,2,57,76
1,1,1,2,2,3,58,76
1,2,2,2,2,3,59,76
1,1,1,3,1,2,60,76
1,2,1,2,2,4,61,76
1,1,1,2,2,4,62,76
1,2,1,2,2,3,63,76
1,1,1,2,2,3,64,76
1,2,1,2,2,3,65,76
1,1,1,2,2,0,66,76
1,2,1,3,1,-1,67,76
1,1,1,2,2,2,68,76
1,2,1,2,2,1,69,76
1,1,1,3,1,-3,70,76
1,2,2,2,2,0,71,76
1,1,2,2,2,1,72,76
1,2,2,3,2,3,73,76
1,1,1,3,2,5,74,76
1,2,2,3,2,4,75,76
1,1,1,2,2,-3,76,76
1,2,1,2,2,-2,77,76
1,1,2,2,2,0,78,76
1,2,2,3,2,1,79,76
1,1,1,2,2,4,80,76
1,2,2,3,2,5,81,76
1,1,1,2,2,4,82,76
1,2,1,2,2,5,83,76
1,1,1,2,2,3,84,76
1,2,2,3,2,4,85,76
1,1,1,2,2,4,86,76
1,2,2,2,2,4,87,76
1,1,1,2,2,2,88,76
1,2,2,3,1,-4,89,76
1,1,1,2,2,4,90,76
1,2,1,2,2,5,91,76
1,1,1,2,2,5,92,76
1,2,1,2,2,4,93,76
1,1,1,3,2,-4,94,76
1,2,1,3,1,-4,95,76
1,1,1,2,2,2,96,76
1,2,1,2,2,4,97,76
1,1,1,2,2,5,98,76
1,2,1,2,2,4,99,76
1,1,1,2,2,3,100,76
1,2,1,3,2,-1,101,76
1,1,1,3,2,0,102,76
1,2,1,2,2,0,103,76
1,1,1,2,2,3,104,76
1,2,1,2,1,1,105,76
1,1,1,3,1,-1,106,76
1,2,1,2,1,1,107,76
1,1,1,2,2,-2,108,76
1,2,1,2,1,3,109,76
1,1,1,2,2,-5,110,76
1,2,1,2,1,2,111,76
1,1,2,2,1,2,112,76
1,2,1,3,1,-4,113,76
1,1,2,3,2,-2,114,76
1,2,1,2,1,3,115,76
1,1,2,2,1,5,116,76
1,2,1,2,1,2,117,76
1,1,2,2,1,2,118,76
1,2,1,2,1,1,119,76
1,1,2,2,1,3,120,76
1,2,1,2,1,4,121,76
1,1,1,2,1,5,122,76
1,2,2,3,2,4,123,76
1,1,1,2,1,3,124,76
1,2,2,3,2,5,125,76
2,2,2,3,1,3,1,32
2,1,1,2,2,-4,2,32
2,2,2,2,2,-4,3,32
2,1,1,2,1,-2,4,32
2,2,2,3,2,-2,5,32
2,1,1,2,1,-3,6,32
2,2,2,2,2,0,7,32
2,1,1,2,1,0,8,32
2,2,1,2,2,-2,9,32
2,1,1,2,2,-1,10,32
2,2,1,2,1,-3,11,32
2,1,1,2,1,-5,12,32
2,2,1,2,1,-5,13,32
2,1,2,2,2,3,14,32
2,2,1,2,1,-3,15,32
2,1,1,2,2,3,16,32
2,2,1,2,2,3,17,32
2,1,2,2,2,4,18,32
2,2,1,2,2,3,19,32
2,1,1,3,1,-3,20,32
2,2,2,3,2,-1,21,32
2,1,1,2,2,-2,22,32
2,2,1,2,2,-3,23,32
2,1,2,2,2,-5,24,32
2,2,2,3,2,0,25,32
2,1,2,3,1,3,26,32
2,2,1,2,2,-5,27,32
2,1,2,2,1,-3,28,32
2,2,1,2,2,-5,29,32
2,1,2,2,2,-3,30,32
2,2,1,2,1,-4,31,32
2,1,1,2,2,-4,32,32
2,2,2,3,2,3,33,32
2,1,2,3,2,2,34,32
2,2,1,2,1,-5,35,32
2,1,1,3,1,4,36,32
2,2,2,3,2,3,37,32
2,1,2,2,2,-1,38,32
2,2,2,3,2,0,39,32
2,1,2,2,2,-2,40,32
2,2,1,2,2,-3,41,32
2,1,2,2,1,-1,42,32
2,2,1,2,2,-5,43,32
2,1,1,2,1,-3,44,32
2,2,2,3,1,-3,45,32
2,1,2,3,2,-3,46,32
2,2,2,2,1,-3,47,32
2,1,2,2,1,-5,48,32
2,2,1,2,1,-4,49,32
2,1,1,3,1,-3,50,32
2,2,2,2,2,4,51,32
2,1,2,2,2,4,52,32
2,2,2,2,2,1,53,32
2,1,2,2,2,2,54,32
2,2,1,2,2,2,55,32
2,1,1,2,2,3,56,32
2,2,2,3,2,1,57,32
2,1,1,2,2,3,58,32
2,2,1,2,2,3,59,32
2,1,2,2,2,3,60,32
2,2,2,3,2,1,61,32
2,1,2,2,2,1,62,32
2,2,2,3,2,2,63,32
2,1,2,2,2,0,64,32
2,2,2,3,2,3,65,32
2,1,1,2,2,2,66,32
2,2,1,2,2,5,67,32
2,1,1,2,2,4,68,32
2,2,2,3,2,-2,69,32
2,1,1,2,2,4,70,32
2,2,2,3,2,1,71,32
2,1,1,2,2,4,72,32
2,2,2,2,2,2,73,32
2,1,2,2,2,4,74,32
2,2,1,2,2,2,75,32
2,1,1,2,2,4,76,32
2,2,1,2,1,2,77,32
2,1,1,3,1,-1,78,32
2,2,2,3,2,4,79,32
2,1,1,2,2,4,80,32
2,2,2,2,2,3,81,32
2,1,1,2,2,5,82,32
2,2,2,3,2,2,83,32
2,1,1,2,2,5,84,32
2,2,2,3,2,2,85,32
2,1,1,2,2,5,86,32
2,2,2,3,2,5,87,32
2,1,1,2,2,4,88,32
2,2,2,3,2,5,89,32
2,1,1,2,2,3,90,32
2,2,1,2,2,5,91,32
2,1,1,2,2,4,92,32
2,2,1,2,2,3,93,32
2,1,1,2,2,2,94,32
2,2,2,3,2,1,95,32
2,1,2,2,2,0,96,32
2,2,2,3,2,2,97,32
2,1,1,2,2,-1,98,32
2,2,2,3,2,-1,99,32
2,1,2,2,2,0,100,32
2,2,2,3,2,1,101,32
2,1,1,2,2,3,102,32
2,2,2,3,2,0,103,32
2,1,1,2,2,3,104,32
2,2,1,2,2,2,105,32
2,1,2,2,2,2,106,32
2,2,1,3,2,-4,107,32
2,1,2,2,2,0,108,32
2,2,1,2,2,-2,109,32
2,1,1,2,2,-3,110,32
2,2,2,3,1,-2,111,32
2,1,2,2,2,-2,112,32
2,2,1,2,2,0,113,32
2,1,2,2,2,1,114,32
2,2,1,3,2,-5,115,32
2,1,1,2,2,0,116,32
2,2,2,2,2,1,117,32
2,1,1,2,2,2,118,32
2,2,2,3,2,-4,119,32
2,1,2,2,2,3,120,32
2,2,2,2,2,0,121,32
2,1,2,2,2,-4,122,32
2,2,2,3,2,-5,123,32
2,1,1,3,2,-3,124,32
2,2,2,3,1,4,125,32
3,1,1,2,1,2,1,4
3,2,1,2,1,3,2,4
