sub_id,turn,c1,s2,c2,re,trial_n,social_agent_id
1,2,1,2,1,-5,1,51
1,1,1,2,2,2,2,51
1,2,1,3,1,1,3,51
1,1,1,2,2,0,4,51
1,2,1,2,1,-4,5,51
1,1,1,2,2,1,6,51
1,2,1,2,1,-4,7,51
1,1,1,2,2,2,8,51
1,2,2,2,2,2,9,51
1,1,1,2,2,1,10,51
1,2,2,2,2,3,11,51
1,1,1,2,2,1,12,51
1,2,2,3,1,3,13,51
1,1,2,2,2,1,14,51
1,2,2,3,1,3,15,51
1,1,1,3,1,1,16,51
1,2,2,3,1,1,17,51
1,1,1,2,2,5,18,51
1,2,2,3,1,-1,19,51
1,1,1,2,2,3,20,51
1,2,2,3,1,0,21,51
1,1,1,2,2,1,22,51
1,2,2,3,1,4,23,51
1,1,1,3,1,4,24,51
1,2,2,2,2,-4,25,51
1,1,2,2,2,-3,26,51
1,2,2,3,1,1,27,51
1,1,1,2,2,-2,28,51
1,2,2,3,1,0,29,51
1,1,2,2,2,-2,30,51
1,2,1,2,2,-3,31,51
1,1,2,2,2,-4,32,51
1,2,2,3,1,3,33,51
1,1,1,3,1,3,34,51
1,2,2,3,1,-1,35,51
1,1,2,2,2,-4,36,51
1,2,2,2,2,-3,37,51
1,1,2,2,1,4,38,51
1,2,2,3,1,5,39,51
1,1,1,3,1,4,40,51
1,2,2,3,1,3,41,51
1,1,1,2,1,2,42,51
1,2,2,3,1,5,43,51
1,1,1,2,1,0,44,51
1,2,2,3,1,2,45,51
1,1,1,2,1,-1,46,51
1,2,2,3,1,0,47,51
1,1,2,3,1,4,48,51
1,2,2,3,1,4,49,51
1,1,1,2,1,-1,50,51
1,2,2,3,2,2,51,51
1,1,1,2,1,-2,52,51
1,2,1,3,2,3,53,51
1,1,1,2,1,-2,54,51
1,2,1,2,1,-2,55,51
1,1,1,2,1,-3,56,51
1,2,2,3,1,-2,57,51
1,1,2,2,2,-5,58,51
1,2,2,3,2,2,59,51
1,1,2,2,1,-4,60,51
1,2,1,3,2,1,61,51
1,1,2,3,2,3,62,51
1,2,2,3,1,-5,63,51
1,1,2,2,1,-4,64,51
1,2,1,2,1,-5,65,51
1,1,2,2,2,1,66,51
1,2,2,3,1,-5,67,51
1,1,2,2,2,3,68,51
1,2,2,3,1,-5,69,51
1,1,1,3,2,1,70,51
1,2,1,2,2,1,71,51
1,1,1,2,2,-1,72,51
1,2,2,3,1,3,73,51
1,1,1,2,2,-2,74,51
1,2,2,2,1,0,75,51
1,1,2,2,2,-1,76,51
1,2,2,3,2,-5,77,51
1,1,2,2,2,-3,78,51
1,2,2,3,1,4,79,51
1,1,2,2,2,-2,80,51
1,2,1,2,2,-2,81,51
1,1,2,2,2,-4,82,51
1,2,2,3,1,2,83,51
1,1,1,2,1,-2,84,51
1,2,2,3,2,-1,85,51
1,1,1,2,1,-1,86,51
1,2,1,2,1,0,87,51
1,1,1,3,1,2,88,51
1,2,2,3,1,2,89,51
1,1,2,2,1,3,90,51
1,2,1,2,1,1,91,51
1,1,1,2,1,0,92,51
1,2,2,3,2,3,93,51
1,1,1,2,1,-5,94,51
1,2,2,3,2,4,95,51
1,1,2,2,1,-1,96,51
1,2,1,2,2,-2,97,51
1,1,2,3,2,1,98,51
1,2,2,3,1,0,99,51
1,1,1,2,1,4,100,51
1,2,2,3,2,5,101,51
1,1,1,2,1,5,102,51
1,2,1,2,1,3,103,51
1,1,1,2,1,2,104,51
1,2,1,2,2,1,105,51
1,1,1,2,1,5,106,51
1,2,2,3,2,3,107,51
1,1,1,2,1,1,108,51
1,2,1,2,2,-2,109,51
1,1,1,2,1,1,110,51
1,2,2,3,2,2,111,51
1,1,1,3,2,1,112,51
1,2,1,3,2,0,113,51
1,1,1,2,1,-4,114,51
1,2,2,3,2,-1,115,51
1,1,1,3,1,-2,116,51
1,2,1,2,1,-2,117,51
1,1,2,2,2,2,118,51
1,2,2,3,1,-1,119,51
1,1,2,3,2,-3,120,51
1,2,2,3,1,-4,121,51
1,1,1,3,2,-3,122,51
1,2,2,3,1,-5,123,51
1,1,1,2,2,3,124,51
1,2,1,2,2,4,125,51
2,1,1,2,1,-4,1,58
2,2,1,2,1,-3,2,58
2,1,2,2,2,-2,3,58
2,2,1,2,1,-3,4,58
2,1,2,3,1,1,5,58
2,2,1,2,1,1,6,58
2,1,1,3,2,3,7,58
2,2,2,3,1,3,8,58
2,1,1,2,2,5,9,58
2,2,2,2,2,4,10,58
2,1,2,2,2,4,11,58
2,2,1,2,1,0,12,58
2,1,2,2,2,5,13,58
2,2,1,2,2,3,14,58
2,1,2,2,2,2,15,58
2,2,1,3,1,0,16,58
2,1,2,2,2,-2,17,58
2,2,1,2,1,-2,18,58
2,1,2,2,2,-2,19,58
2,2,1,3,1,0,20,58
2,1,2,2,2,0,21,58
2,2,1,2,1,-1,22,58
2,1,2,2,2,3,23,58
2,2,1,2,1,1,24,58
2,1,2,2,2,3,25,58
2,2,1,3,1,-1,26,58
2,1,2,2,2,0,27,58
2,2,2,2,1,1,28,58
2,1,2,2,2,-2,29,58
2,2,2,2,1,-1,30,58
2,1,1,3,2,-3,31,58
2,2,2,2,2,-5,32,58
2,1,1,3,1,-5,33,58
2,2,1,3,1,-5,34,58
2,1,2,2,1,-2,35,58
2,2,2,2,1,-4,36,58
2,1,2,2,1,-1,37,58
