sub_id,AIC
1,-323.19
2,-199.81
3,-167.97
4,-146.36
5,-150.7
6,-310.74
7,-143.06
8,-230.01
9,-207.06
10,-300.61
11,-195.24
12,-194.9
13,-255.46
14,-175.87
15,-282.37
16,-157.46
17,-182.81
18,-134.17
19,-185.01
20,-337.64
21,-324.69
22,-232.07
23,-150.84
24,-144.13
25,-299.58
26,-174.03
27,-208.79
28,-311
29,-201.31
30,-243.61
31,-223.85
32,-244.09
33,-236.83
34,-166.35
35,-206.41
36,-244.76
37,-149.04
38,-306.27
39,-154.22
40,-323.54
41,-292.39
42,-280.54
43,-119.41
44,-141.4
45,-233.91
46,-251.57
47,-257.88
48,-329.39
49,-231.47
50,-267.21
51,-239.76
52,-203.44
53,-321.57
54,-298.49
55,-251.51
56,-241.89
57,-152.71
58,-218.07
59,-297.48
60,-80.151
61,-166.4
62,-232.52
63,-277.14
64,-89.365
65,-271.61
66,-202.75
67,-106.26
68,-222.3
69,-105.7
70,-127.38
71,-330.79
72,-125.45
73,-297.11
74,-214.85
75,-230.52
76,-220.15
77,-306.2
78,-190.71
79,-273.92
80,-334.13
81,-171.71
82,-148.51
83,-204.18
84,-121.11
85,-222.05
86,-279.96
87,-210.02
88,-273.56
89,-264.67
90,-325.93
91,-164.08
92,-206.89
93,-160.66
94,-129.65
95,-232.21
96,-150.03
97,-148.89
98,-285.01
99,-317.99
100,-278.99
101,-304.61
102,-271.91
103,-181.52
104,-153.95
105,-299.27
106,-321.45
107,-173.15
108,-207.82
109,-300.55
110,-111.74
111,-180.66
112,-200.72
113,-126.08
114,-130.32
115,-320.58
116,-292.49
117,-125.61
118,-235.78
119,-147.43
120,-171.38
121,-253.83
122,-134.51
123,-326.46
124,-279.63
125,-208.08
126,-251.27
127,-142.13
128,-321.16
129,-278.47
130,-142.44
131,-155.58
132,-139.41
133,-128.09
134,-203.51
135,-259.77
136,-253.13
137,-253.11
138,-122.72
139,-330.16
140,-152.68
141,-175.26
142,-168.69
143,-296.43
144,-87.9
145,-191.88
146,-115.36
147,-144.82
148,-225.94
149,-118.84
150,-337.98
151,-276.95
152,-162.67
153,-278.63
154,-159.77
155,-287.78
156,-329.75
157,-304.3
158,-237.82
159,-318.11
160,-98.724
161,-163.99
162,-289.02
163,-271.94
164,-203.28
165,-332.28
166,-280.45
167,-249.18
168,-227.15
169,-330.68
170,-201.68
171,-147.35
172,-145.68
173,-297.42
174,-281.65
175,-271.13
176,-88.635
177,-155.92
178,-266.47
179,-241.65
180,-254.87
181,-243.44
182,-122.52
183,-284.25
184,-205.97
185,-299.46
186,-137.39
187,-332.2
188,-142.57
189,-211.37
190,-200.88
191,-155.81
192,-326.17
193,-139.68
194,-171.29
195,-236.81
196,-239.1
197,-293.66
198,-140.49
199,-228.33
200,-329.36
201,-330.5
202,-260.52
203,-323.1
204,-249.07
205,-303.68
206,-260.76
207,-234.03
208,-146.79
209,-159.15
210,-319.6
211,-135.99
212,-186.94
213,-325.98
214,-125.03
215,-206.55
216,-299.4
217,-254
218,-150.96
219,-120
220,-226.27
221,-261.04
222,-327.04
223,-124.41
224,-279.97
225,-280.1
226,-201.01
227,-333.83
228,-101.93
229,-180.32
230,-189.92
231,-165.62
232,-200.46
233,-170.75
234,-251.5
235,-167.34
236,-93.209
237,-125.55
238,-128.22
239,-276.3
