sub_id,AIC
1,-325.19
2,-330.32
3,-246.34
4,-307.19
5,-268.25
6,-328.23
7,-300.57
8,-272.14
9,-262.38
10,-299.31
11,-329.82
12,-275.23
13,-337.3
14,-279.47
15,-301.81
16,-246.44
17,-198.82
18,-336.84
19,-304.67
20,-307.8
21,-210.39
22,-252.95
23,-333.47
24,-290.58
25,-269.26
26,-314.89
27,-298.47
28,-327.62
29,-294.49
30,-331.22
31,-290.64
32,-225.91
33,-243.43
34,-300.69
35,-255.09
36,-186.59
37,-335.74
38,-338.26
39,-284.8
40,-253.76
41,-294.85
42,-296.53
43,-325.64
44,-329.54
45,-334.25
46,-282.28
47,-251.69
48,-330.88
49,-322.16
50,-321.92
51,-335.92
52,-274.93
53,-301.41
54,-337.76
55,-334.2
56,-304.04
57,-317.49
58,-197.17
59,-334.51
60,-316.19
61,-217.83
62,-191.15
63,-187.05
64,-220.32
65,-293.49
66,-277.95
67,-275.03
68,-242.41
69,-264.5
70,-332.87
71,-311.96
72,-246.51
73,-268.38
74,-313.32
75,-308.2
76,-310.2
77,-273.84
78,-283.61
79,-285.17
80,-274.63
81,-300.19
82,-291.97
83,-254.54
84,-274.25
85,-304.43
86,-267.52
87,-329.82
88,-257.44
89,-317.22
90,-264.75
91,-280.34
92,-263.57
93,-336.56
94,-334.46
95,-275.13
96,-295.52
97,-265.64
98,-318.91
99,-346.53
100,-243.36
101,-332.76
102,-205.92
103,-317.36
104,-312.2
105,-295.54
106,-288.99
107,-270.65
108,-301.26
109,-250.7
110,-316.22
111,-318.45
112,-308.16
113,-252.69
114,-264.8
115,-284.75
116,-333.36
117,-302.63
118,-288.38
119,-269.13
120,-178.11
121,-331.1
122,-336.13
123,-233.03
124,-212.37
125,-336.41
126,-321.36
127,-288.12
128,-339.97
129,-303.45
130,-321.22
131,-306.34
132,-313.05
133,-293.35
134,-292.37
135,-331.71
136,-314.85
137,-272.65
138,-286.41
139,-281.14
140,-263.83
141,-306.51
142,-279.99
143,-265.34
144,-312.51
145,-221.56
146,-318.96
147,-224.53
148,-253.12
149,-337.59
150,-295.03
151,-276.87
152,-313.02
153,-280.41
154,-318.14
155,-281.99
156,-333.1
157,-283.47
158,-327.81
159,-328.58
160,-234.57
161,-296.5
162,-213.62
163,-309.11
164,-291.47
165,-308.45
166,-275.46
167,-324.84
168,-337.54
169,-313.04
170,-337.1
171,-248.97
172,-294.49
173,-264.42
174,-267.55
175,-309.03
176,-256.98
177,-272.12
178,-298.32
179,-337.08
180,-216.22
181,-285.12
182,-333.02
183,-326.66
184,-312.67
185,-295.54
186,-259.56
187,-335.82
188,-291.82
189,-323.29
190,-315.22
191,-269.37
192,-335.01
193,-318.97
194,-310.07
195,-338.47
196,-244.91
197,-337.21
198,-280.06
199,-315.35
200,-329.18
201,-337.95
202,-253.36
203,-246.3
204,-319.94
205,-234
206,-253.56
207,-319.9
208,-246.86
209,-339.24
210,-193.97
211,-312.71
212,-331.99
213,-338.9
214,-277.69
215,-248.53
216,-294.76
217,-310.58
218,-286.74
219,-231.04
220,-300.12
221,-272.84
222,-260.57
223,-232.63
224,-317.93
225,-303.49
226,-275.09
227,-286.61
228,-328.55
229,-249.07
230,-276
231,-224.08
232,-337.94
233,-310.5
234,-324.16
235,-295.13
236,-310.33
237,-306.57
238,-312.39
239,-283.2
240,-308.9
241,-271.75
242,-326.21
243,-240.39
244,-265.76
245,-333.2
246,-268.06
247,-330.65
248,-328.86
249,-301.95
250,-304.44
251,-307.27
252,-323.69
253,-214.46
254,-277.33
255,-239.26
256,-331.42
257,-279.57
258,-285.63
259,-325.38
260,-256.5
261,-299.84
262,-285.8
263,-318.97
264,-298
265,-279.36
266,-317.88
267,-306.97
268,-269.67
269,-303.88
270,-202.49
271,-313.9
272,-294.55
273,-299.13
274,-307.47
275,-200.24
276,-232.34
277,-248.64
278,-264.51
279,-323.19
280,-298.4
281,-331.67
282,-313.61
283,-317.04
284,-269.87
285,-326.1
286,-218.33
287,-332.91
288,-319.28
289,-309.69
290,-307.51
291,-317.23
292,-273.54
293,-260.52
294,-265.12
295,-258.37
296,-312.7
297,-325.1
298,-214.66
299,-288.24
300,-287.55
301,-280.84
302,-305.89
303,-278.71
304,-305.37
305,-305.32
306,-282.13
307,-249.88
308,-271.63
309,-283.5
310,-279.99
311,-334.79
312,-290.4
313,-310.85
314,-285.94
315,-311.16
316,-254.05
317,-258.4
318,-313.89
319,-203.99
320,-329.29
321,-237.35
322,-314.79
323,-326.42
324,-187.3
325,-304.51
326,-300.84
327,-306.09
328,-269.31
329,-320.8
330,-333.75
331,-326.43
332,-283.69
333,-291.46
334,-213.09
335,-274.12
336,-273.35
337,-186.32
338,-312.03
339,-326.83
340,-319.47
341,-257.32
342,-177.42
343,-281.89
344,-216.95
345,-283.2
346,-251.37
347,-228.58
348,-282.95
349,-312.28
350,-328.05
351,-262.32
352,-258.6
353,-266.14
354,-275.68
355,-315.98
356,-253.59
357,-305.05
358,-169.52
359,-316.13
360,-276.92
361,-246.43
362,-216.5
363,-249.44
364,-287.98
365,-330.17
366,-328.88
367,-328.54
368,-274.66
369,-317.04
370,-216.16
371,-305.01
372,-302.21
373,-322.71
374,-288.93
375,-300.68
376,-295.19
377,-336.3
378,-326.14
379,-281.16
380,-327.62
381,-221.15
382,-303.2
383,-308.32
384,-285.59
385,-334.16
386,-335.18
387,-284.73
388,-310.86
389,-327.9
390,-190.13
391,-298.45
392,-204.87
393,-328.12
394,-293.74
395,-204.26
396,-314.19
397,-328.52
398,-277.39
399,-270.69
400,-295.89
401,-336.3
402,-269.21
403,-237.35
404,-244.84
405,-211.66
406,-292.94
407,-330.58
408,-235.91
409,-251.9
410,-327.05
411,-266.96
412,-310.62
413,-252.34
414,-193.83
415,-256.79
416,-296.85
417,-332.82
418,-294.96
419,-323.91
420,-311
421,-241.45
422,-335.1
423,-318.15
424,-282.84
425,-273.66
426,-298.37
427,-311.77
428,-273.11
429,-260.07
430,-331.89
431,-206.68
432,-299.89
433,-310.68
434,-267.7
435,-330.37
436,-335.57
437,-320.32
438,-246.11
439,-200.4
440,-258.68
441,-320.45
442,-294.07
443,-305.35
444,-232.54
445,-205.45
446,-169.26
447,-225.5
448,-241.66
449,-331.83
450,-225.41
451,-336.22
452,-321.78
453,-308.33
454,-267.93
455,-241.05
456,-321.5
457,-239.44
458,-264.91
459,-231.72
460,-279.62
461,-303.61
462,-312.59
463,-339.12
464,-236.04
465,-326.75
466,-255.32
467,-283.28
468,-237.07
469,-318.63
470,-303.14
471,-307.47
472,-291.65
473,-290.89
474,-333.04
