sub_id,AIC
1,-328.09
2,-331.94
3,-331.18
4,-310.59
5,-263.32
6,-292.26
7,-333.18
8,-327.08
9,-278.71
10,-330.52
11,-319.64
12,-333.55
13,-281.57
14,-336.82
15,-332.22
16,-323.35
17,-326.26
18,-306.63
19,-211.69
20,-338.77
21,-303.33
22,-316.44
23,-285.05
24,-220.19
25,-328.91
26,-320.51
27,-328.48
28,-320.77
29,-285.52
30,-306.22
31,-325.84
32,-318.47
33,-314.75
34,-316.52
35,-287.16
36,-328.68
37,-314.06
38,-263.37
39,-313.88
40,-242.21
41,-329.48
42,-326.38
43,-233.34
44,-317.6
45,-298.63
46,-324.26
47,-260.98
48,-314.32
49,-319.51
50,-251.11
51,-313.46
52,-323.22
53,-202.53
54,-216.78
55,-318.16
56,-326.69
57,-296.96
58,-335.17
59,-327.39
60,-298.56
61,-309.5
62,-335.48
63,-302.77
64,-297.53
65,-275.19
66,-313.16
67,-320.83
68,-302.05
69,-312.17
70,-333.16
71,-309.41
72,-333.41
73,-278.15
74,-269.33
75,-323.31
76,-330.13
77,-331.61
78,-248.7
79,-325.27
80,-331.29
81,-256.23
82,-315.79
83,-329.56
84,-276.68
85,-314.25
86,-284.61
87,-285.86
88,-316.11
89,-314.05
90,-248.57
91,-279.69
92,-329.09
93,-299.71
94,-326.34
95,-288.6
96,-270.64
97,-256.52
98,-338.5
99,-297.38
100,-257.4
101,-257.07
102,-330.41
103,-168.03
104,-333.99
105,-309.15
106,-309.08
107,-322.48
108,-279.26
109,-332.88
110,-320.85
111,-296.37
112,-327.37
113,-331.84
114,-326.88
115,-309.22
116,-325.99
117,-218.09
118,-283.63
119,-300.33
120,-279.58
121,-336.15
122,-332.25
123,-291.73
124,-290.81
125,-329.98
126,-319.5
127,-309.24
128,-263.68
129,-328.41
130,-261.9
131,-296.32
132,-293.24
133,-333.07
134,-258.16
135,-281.63
136,-325.43
137,-327.83
138,-288.89
139,-322.08
140,-266.32
141,-306.19
142,-318.86
143,-304.53
144,-260.85
145,-315.94
146,-258.9
147,-332.57
148,-293.34
149,-267.75
150,-331.48
151,-284.83
152,-318.69
153,-255.52
154,-341.13
155,-320.46
156,-336.02
157,-308.7
158,-335.41
159,-300.88
160,-331.83
161,-294.65
162,-306.76
163,-305.76
164,-334.1
165,-323.11
166,-255.05
167,-332.22
168,-331.94
169,-307.06
170,-333.9
171,-325.57
172,-298.06
173,-306.28
174,-333.76
175,-283.46
176,-309.18
177,-316.53
178,-306.02
179,-332
180,-309.2
181,-338.08
182,-334.62
183,-334.97
184,-249.36
185,-252.44
186,-329.94
187,-291.88
188,-315.61
189,-299.06
190,-269.34
191,-296.95
192,-318.31
193,-334.81
194,-323.75
195,-267.59
196,-295.78
197,-291.94
198,-292.49
199,-335.39
200,-334.02
201,-319.02
202,-281.92
203,-314.47
204,-330.73
205,-334.84
206,-310.06
207,-320.63
208,-341.04
209,-316.41
210,-273.04
211,-228.61
212,-281.95
213,-337.19
214,-280.68
215,-298.79
216,-332.68
217,-303.01
218,-315.9
219,-321.37
220,-325.21
221,-292.22
222,-314.32
223,-320.17
224,-341.72
225,-328.02
226,-308.94
227,-189.44
228,-298.94
229,-337.63
230,-286.63
231,-253.33
232,-304.21
233,-311.8
234,-336.3
235,-238.03
236,-236.42
237,-323.97
238,-284.1
239,-285.13
240,-301.82
241,-324.25
242,-312.99
243,-265.97
244,-318.28
245,-237.42
246,-334.42
247,-329.58
248,-291.51
249,-332.93
250,-311.77
251,-274.85
252,-327.88
253,-307.18
254,-252.6
255,-262.82
256,-288.26
257,-253.92
258,-327.68
259,-317.71
260,-273.2
261,-301.76
262,-300.36
263,-253.5
264,-339.94
265,-323.25
266,-270.53
267,-242.04
268,-323.9
269,-222.3
270,-300.59
271,-336.4
272,-335.76
273,-298.35
274,-290.56
275,-307.78
276,-319.24
277,-334.16
278,-327
279,-331.44
280,-314.7
281,-254.48
282,-338.59
283,-294.11
284,-315.3
285,-300.52
286,-272.64
287,-290.1
288,-284.11
289,-250.78
290,-304.48
291,-320.85
292,-288.94
293,-286.21
294,-339.32
295,-332.09
296,-329.66
297,-338.32
298,-332.39
299,-320.02
300,-323.41
301,-320.81
302,-325.28
303,-289.49
304,-335.34
305,-320.45
306,-314.68
307,-317.86
308,-297.07
309,-264.37
310,-271.11
311,-247.59
312,-284.82
313,-332
314,-327.88
315,-332.67
316,-268.16
317,-286.88
318,-312.43
319,-317.89
320,-319.19
321,-331.42
322,-298.15
323,-338.42
324,-295.33
325,-239.74
326,-333.53
327,-325.7
328,-281.86
329,-291.78
330,-312.69
331,-294.03
332,-327.6
333,-311.62
334,-314.94
335,-300.34
336,-235.96
337,-283.4
338,-326.1
339,-296.28
340,-324.3
341,-277.51
342,-295.42
343,-321.82
344,-306.47
345,-329.94
346,-318
347,-308.64
348,-240.91
349,-299.42
350,-332.68
351,-338.55
352,-327.64
353,-332.98
354,-338.79
355,-282.43
356,-303.28
357,-316.25
358,-288.35
359,-320
360,-334.66
361,-228.1
362,-304.4
363,-262.93
364,-322.28
365,-248.22
366,-322.93
367,-274.53
368,-277.04
369,-297.16
370,-283.81
371,-316.48
372,-329.31
373,-323.2
374,-299.87
375,-329.2
376,-322.4
377,-328.7
378,-307.62
379,-279.46
380,-299.65
381,-336.69
382,-332.25
383,-200.15
384,-295.36
385,-259.02
386,-296.46
387,-320.79
388,-327.57
389,-329.86
390,-327.58
