sub_id,AIC
1,-144.23
2,-151.12
3,-165.37
4,-164.39
5,-141.52
6,-157.24
7,-148.24
8,-137.43
9,-167.06
10,-168.8
11,-166.74
12,-143.5
13,-128.98
14,-138.97
15,-163.27
16,-143.27
17,-159.05
18,-151.94
19,-155.47
20,-155.7
21,-157.11
22,-135.75
23,-155.52
24,-164.54
25,-141.1
26,-167.73
27,-144.34
28,-131.73
29,-141.4
30,-160.53
31,-127.02
32,-131.78
33,-76.441
34,-163.08
35,-157.92
36,-162.62
37,-142.32
38,-160.17
39,-86.721
40,-162.35
41,-103.05
42,-154.01
43,-155.91
44,-163.52
45,-154.31
46,-162.85
47,-160.14
48,-163.08
49,-163.33
50,-135.77
51,-129.29
52,-167.36
53,-161.73
54,-97.928
55,-136.94
56,-153.56
57,-151
58,-164.18
59,-155.51
60,-163.01
61,-163.64
62,-162.44
63,-163.79
64,-101.55
65,-156.9
66,-164.47
67,-163.89
68,-162.21
69,-163.15
70,-160.29
71,-163.13
72,-147.37
73,-114.57
74,-158.2
75,-160.92
76,-164.45
77,-156.77
