sub_id,AIC
1,-129.69
2,-136.55
3,-158.99
4,-156.3
5,-145.12
6,-134.37
7,-131.09
8,-169.12
9,-122.6
10,-140.14
11,-129.91
12,-161.44
13,-157.27
14,-127.72
15,-161.39
16,-126.29
17,-146.03
18,-74.666
19,-156.49
20,-159.6
21,-140
22,-144.72
23,-119.46
24,-140.47
25,-165.96
26,-143.25
27,-149.99
28,-126.02
29,-139.02
30,-85.174
31,-165.11
32,-139.53
33,-149.54
34,-161.02
35,-146.74
36,-100.92
37,-140.07
38,-157.14
39,-152.75
40,-153.97
41,-155.36
42,-153.97
43,-144
44,-113.7
45,-143.84
46,-153.41
47,-154.92
48,-129.57
49,-144.29
50,-104.47
51,-154.78
52,-132.57
53,-154.27
54,-117.27
55,-156.89
56,-127.07
57,-111.53
58,-123.19
59,-157.26
60,-159.09
61,-157.09
62,-130.39
63,-124.31
64,-164.23
65,-140.33
66,-151.31
67,-154.38
68,-140.71
69,-145.83
70,-69.95
71,-141.21
72,-166.11
73,-149.39
74,-106.65
75,-161.22
76,-165.1
77,-149.64
78,-153.58
79,-52.981
80,-158.92
81,-144.92
82,-136.06
83,-153.68
84,-167.58
85,-149.88
86,-104.96
87,-161.46
88,-112.66
89,-146.7
90,-145.26
91,-156.28
92,-144.84
93,-142.89
94,-109.53
95,-124.95
96,-121.28
97,-111.8
98,-144.84
99,8
100,-143.46
101,-123.85
102,-55.232
103,-157.78
104,-138.23
105,-120.98
106,-150.57
107,-147.15
108,-152.28
109,-163.58
110,-137.61
111,-148.81
112,-144.56
113,-160.61
114,-146.47
115,-149.62
116,-163.76
117,-134.34
118,-148.37
119,-142.18
120,-142.94
121,-100.47
122,-143.98
123,-120.89
124,-162.6
125,-158.64
126,-103.27
127,-137.88
128,-135.11
129,-152.66
130,-127.16
131,-145.62
132,-159.14
133,-142.69
134,-159.67
135,-133.25
136,-160.53
137,-150.18
138,-149.4
139,-159.52
140,-128.48
141,-144.14
142,-156.84
143,-139.57
144,-136.25
145,-147.43
146,-144.64
147,-141.48
148,-164.32
149,-103.48
150,-132.85
151,-137.07
152,-118.27
153,-155.69
154,-155.79
155,-121.74
156,-156.64
157,-139.72
158,-123.33
159,-140.76
160,-151.73
161,-106.64
162,-160.57
163,-141.58
164,-117.14
165,-137.95
166,-116.88
167,-98.565
168,-161.1
169,-162.36
170,-154.92
171,-126.63
172,-160.44
