sub_id,beta,lr,e,w_MB,sigma_MB,sigma_MF,nll
1,0.19665,0.2,1,0.87433,1,1.3022e-07,172.17
2,0.1,0.4612,1,8.8396e-08,0.48374,0.14137,171.69
3,0.27376,0.2,1,4.0879e-07,0.46173,0.14906,168.89
4,0.43199,0.2357,1,0.76405,1,1,164.57
5,0.3802,0.2,1,1.0008e-07,0.52727,0.095088,156.82
6,0.49789,0.20001,0.99823,0.89687,0.32662,0.19411,170.22
7,0.4715,0.22929,1,6.4733e-08,0.55607,6.5399e-08,148.02
8,0.23095,0.2,1,7.4563e-08,0.48218,0.079076,165.37
9,0.32089,0.2,1,2.4115e-07,0.51798,0.99998,165.37
10,0.1,0.2,1,0.53774,3.7138e-06,7.1968e-07,174.11
11,0.48136,0.2,0.88102,8.0107e-08,0.5686,0.02269,160.04
12,0.11256,0.23348,1,1.0843e-06,0.51321,0.81795,172.48
13,0.16771,0.7,0.52963,3.3528e-07,0.32095,0.18047,168.72
14,0.27133,0.54974,1,4.4279e-08,0.51015,3.7404e-08,154.72
15,0.10747,0.45304,1,1.4585e-07,0.47283,7.8822e-08,169.87
16,0.47873,0.2,1,0.84344,1.6676e-07,0.14859,168.17
17,0.31114,0.44365,1,1.2163e-08,0.47722,0.24968,161.92
18,0.3085,0.23563,0.99994,0.37515,0.99861,0.0057803,165.46
19,0.37301,0.49367,1,1.2159e-07,0.40787,0.22426,151.58
20,0.10003,0.69985,0.99884,0.78991,0.99916,0.41483,173.07
21,0.1,0.2,1,0.81697,1,2.8069e-08,173.55
22,0.34673,0.35167,0.99932,0.43228,0.0041983,0.17186,166.55
23,0.35578,0.59796,1,1.2901e-08,0.46795,0.70134,158.19
24,0.3702,0.2,1,3.7343e-08,0.47336,5.219e-08,159.49
25,0.12666,0.48929,1,3.8894e-07,0.42142,0.041911,168.83
26,0.52803,0.4354,1,8.2325e-08,0.5133,0.76305,143.62
27,0.34783,0.3475,1,8.8276e-08,0.54735,0.080385,155.12
28,0.31241,0.2,1,0.42984,1,1,169.91
29,0.29518,0.23993,1,1.5934e-08,0.44455,7.4793e-09,161.39
30,0.1,0.2,0.57968,1,9.3292e-07,1,174.1
31,0.3722,0.21527,0.99997,4.6728e-05,0.4808,0.2248,162.15
32,0.19652,0.43119,1,5.4775e-07,0.53621,0.19886,164.82
33,0.16889,0.2,1,1.0368e-06,0.56171,0.65176,171.73
34,0.27736,0.29734,1,2.0515e-08,0.51652,3.6355e-08,165.52
35,0.25119,0.7,0.98662,4.1655e-08,0.53511,0.65669,158.17
36,0.20688,0.20001,1,3.9194e-07,0.50654,0.90156,169.7
37,0.56051,0.23682,1,0.099114,4.9362e-05,0.16766,151.61
38,0.16913,0.69996,0.61816,0.28301,0.013373,0.99982,169.71
39,0.65542,0.27994,1,0.74343,0.019939,4.2963e-07,157.28
40,0.1,0.7,1,6.4273e-08,0.50447,0.55093,171.22
41,0.19407,0.7,1.6987e-07,0.25077,1,0.22414,169.42
42,0.20273,0.30564,1,1.8889e-07,0.44675,1.1448e-07,165.75
43,1.0684,0.40506,0.31811,2.1136e-07,0.39207,0.2397,130.58
44,0.54138,0.2966,0.99978,0.14997,0.92469,0.14557,147.18
45,0.14632,0.21269,1,2.3914e-08,0.49943,6.2946e-07,170.9
46,0.19624,0.36365,1,1.5989e-06,0.45154,1.8512e-06,165.45
47,0.4928,0.2,1,0.37099,0.99999,5.326e-08,157.97
48,0.32799,0.2,0.39821,1,1,5.7497e-07,170.61
49,0.16677,0.7,0.26668,0.041315,2.8792e-05,1,169.09
50,0.30475,0.2,1,0.34272,4.0328e-06,1.4416e-07,168.68
51,0.46397,0.2,1,0.37496,0.24278,0.63201,163.08
52,0.28859,0.2,1,1.1917e-07,0.54459,0.14861,168.93
53,0.1,0.23964,1,4.3367e-07,0.42285,1,172.86
54,0.1,0.49955,1,3.6919e-08,0.45583,2.4555e-08,170.98
55,0.58479,0.2,0.99995,0.80284,0.67991,1.5204e-06,166.3
56,0.17452,0.57785,1,3.7395e-08,0.52094,0.47912,168.54
57,0.3525,0.2,1,5.6605e-08,0.51247,4.6209e-08,158.51
58,0.27037,0.7,0.21644,0.040178,1,0.99999,162.68
59,0.15719,0.34596,1,6.1425e-06,0.53403,0.18962,169.99
60,0.52611,0.2,1,1.1066e-07,0.41302,0.22899,152.82
61,0.60709,0.2527,1,0.82304,1.5559e-06,1.0484e-07,163.96
62,0.29785,0.2,1,0.0087845,1.1516e-05,1.5323e-07,164.82
63,0.1,0.2,1,1.8661e-06,0.57936,0.17507,173.22
64,0.67449,0.20299,1,9.1695e-09,0.50324,0.98043,141.2
65,0.21265,0.2,1,1.7685e-07,0.534,2.5726e-07,170.26
66,0.37318,0.212,1,8.1088e-07,0.47844,0.003023,160.16
67,0.7585,0.2,1,0.076878,4.1737e-06,0.23418,143.84
68,0.23654,0.34325,1,2.6515e-07,0.48117,5.7511e-07,166.47
69,0.14974,0.49916,1,3.6172e-08,0.56821,0.10593,165.73
70,0.43077,0.26325,0.99731,0.54165,0.55932,0.0036043,159.61
71,0.1,0.20001,0.67699,0.99967,0.99951,0.52466,173.96
72,0.55343,0.2155,1,0.23569,0.00020642,3.6076e-07,149.52
73,0.17533,0.2,1,4.6337e-07,0.52181,1.5768e-07,171.49
74,0.18441,0.7,0.44623,2.4816e-06,0.46979,0.93115,168.72
75,0.1,0.2,1,2.5055e-06,0.50145,0.35162,173.5
76,0.23863,0.2,1,1.0208e-07,0.37987,0.3052,169.78
77,0.18696,0.2,1,2.7741e-06,0.58042,1.7508e-06,170.4
78,0.32533,0.7,1,6.1684e-08,0.51394,0.25391,151.48
79,0.1173,0.7,0.34654,3.7671e-07,0.52337,0.32148,171.84
80,0.1128,0.7,0.61642,6.6513e-06,0.62035,0.99999,170.77
81,0.24135,0.2,1,2.1357e-07,0.44024,0.2283,166.71
82,0.31847,0.30985,1,1.7855e-07,0.62173,0.087766,159.02
83,0.39962,0.2,1,3.4803e-08,0.46916,0.20858,160.38
84,0.62616,0.2,1,1.5347e-07,0.51701,0.43086,150.97
85,0.51508,0.2,1,1.3944e-07,0.54384,0.31664,159.74
