sub_id,beta,lr,e,w_MB,sigma_MB,sigma_MF,nll
1,0.10001,0.20008,0.51697,0.99992,0.27512,0.45306,173.33
2,0.26892,0.7,1,0.85533,6.2177e-09,2.9751e-08,163.48
3,0.3698,0.62344,1,8.2328e-09,0.45046,0.2412,147.21
4,0.23459,0.44089,1,1.2617e-07,0.5689,0.32929,163.53
5,0.38796,0.47733,1,6.1304e-08,0.60707,1,147.41
6,0.19165,0.43702,1,2.183e-06,0.20045,0.14865,168.31
7,0.26702,0.68897,0.48792,1.1143e-08,0.41266,1.8197e-08,161.94
8,0.44706,0.20291,1,1.8732e-07,0.70658,2.4807e-08,159.44
9,0.44549,0.53666,1,7.5835e-08,0.35152,0.19741,145.09
10,0.38936,0.7,1,0.45194,0.88653,0.17294,152.67
11,0.12859,0.7,1,1.7205e-07,0.39878,0.035346,167.05
12,0.31081,0.43758,1,1.4119e-07,0.22684,7.3744e-08,161.39
13,0.32078,0.2328,4.6244e-06,0.24745,1,0.54926,168.1
14,0.34403,0.6145,0.26871,0.19951,1.6519e-06,0.81017,160.05
15,0.35968,0.2616,0.99948,0.80768,9.0208e-05,0.99699,169.83
16,0.78208,0.33348,0.68149,0.70937,0.016502,0.97039,150.68
17,0.85248,0.2,1,9.6148e-07,0.93528,0.82975,136.25
18,0.178,0.52525,0.59751,5.7445e-06,0.51939,0.82348,168.37
19,0.67429,0.2,1,0.577,6.8744e-08,1,151.14
20,0.1,0.2,1,0.20042,0.99997,3.6659e-06,173.54
21,0.45023,0.67277,1,2.7582e-08,0.58535,0.63294,136.63
22,0.42076,0.7,0.46833,1,0.26138,0.47354,156.98
23,0.11325,0.7,1.341e-06,0.12835,0.99996,0.21372,170.87
24,0.48214,0.53945,0.18379,0.64164,0.9779,0.98838,146.89
25,0.30194,0.34912,1,0.73256,1.3752e-09,4.4698e-09,167.71
26,0.2171,0.5034,0.41501,0.57153,1,1,167.13
27,0.21758,0.68676,0.13989,1.3275e-07,0.49543,2.7552e-07,166.07
28,0.10968,0.53002,0.67137,0.99057,0.98919,0.51278,171.42
29,0.41686,0.33218,1,3.8638e-08,0.56096,0.090957,154.1
30,0.1,0.2,1,3.7971e-07,0.41953,1,173.01
31,0.23424,0.7,1,1.3002e-07,0.71559,0.56533,161.88
32,0.461,0.7,0.86949,2.3115e-07,0.43164,0.23548,138.7
33,0.28276,0.28727,1,8.4531e-08,0.66749,1,162.02
34,0.69995,0.33178,1,0.48882,6.4521e-08,1.2641e-07,138.66
35,0.42969,0.7,1,0.26312,0.89642,3.4065e-08,143.13
36,0.69662,0.43643,1,5.3091e-08,0.43581,0.75325,120.25
37,0.11007,0.40311,3.7921e-07,1.0355e-06,0.77253,4.3128e-07,171.94
38,0.1,0.2,1.0828e-06,4.8999e-06,0.067041,1.0994e-06,173.88
39,0.38903,0.28975,1,8.4446e-09,0.48585,2.007e-09,152.18
40,0.1,0.7,0.83052,1.0909e-06,0.30347,0.90931,172.33
41,0.18128,0.7,1,5.9422e-07,0.62994,0.33706,168.06
42,0.55091,0.2,0.95721,0.11178,0.2218,0.035159,163.59
43,0.18473,0.44869,0.036695,1.0909e-07,0.51117,0.79695,168.77
44,0.16923,0.69996,0.0008095,0.64425,0.12008,0.99973,169.5
45,0.10005,0.20011,0.00073196,8.641e-05,0.45187,0.0066525,173.16
46,0.1,0.39023,1,9.7372e-08,0.4554,0.88622,171.8
47,0.34873,0.51892,0.54183,0.67103,0.99999,8.1311e-08,161.62
48,0.11678,0.7,0.50375,2.2367e-07,0.55378,1,170.6
49,0.1,0.46234,1,2.8444e-07,0.47035,0.45007,171.87
50,0.34813,0.44661,1,0.67056,0.67186,1,160.96
51,0.10008,0.20019,0.49577,0.99479,0.49589,0.72118,173.87
52,0.46867,0.32555,1,3.4418e-07,0.54698,0.93106,148.08
53,0.45144,0.2,1,4.8267e-09,0.43637,0.27006,162.09
54,0.1,0.2,0.26678,4.7875e-08,0.29291,3.37e-08,173.83
55,0.37553,0.2,7.5323e-08,1.2941e-07,0.38865,4.3068e-08,169.95
56,0.20088,0.3349,1,3.4002e-07,0.53485,0.89366,167.14
57,0.1798,0.7,1,0.42074,1,0.033421,168.12
58,0.55033,0.2,1,0.31832,0.76682,0.42616,157.46
59,0.15986,0.7,1,0.77072,7.2621e-09,5.7783e-08,169.07
60,0.48456,0.2,1,0.28689,7.2757e-07,0.28309,159.32
61,0.44525,0.5468,1,4.1887e-08,0.46678,0.67274,143.83
62,0.32613,0.48385,1,7.3512e-09,0.60028,0.53145,156.6
63,0.98785,0.2,0.86096,1.1613e-07,0.25474,0.14073,121.76
64,0.39164,0.64584,0.99801,0.14463,0.43645,0.63526,152.29
65,0.37173,0.20467,1,2.8871e-06,0.71345,1,165.85
66,0.53819,0.2,1,8.0503e-08,0.5041,9.0175e-08,154.72
67,0.24734,0.7,1,3.0022e-09,0.56569,0.31279,159.59
68,0.32171,0.62408,1,2.3186e-07,0.41893,2.9869e-08,145.83
69,0.44146,0.35895,0.99964,0.48948,0.99437,0.9998,155.52
70,0.12983,0.20083,1,3.6349e-07,0.44221,2.0461e-06,171.82
71,0.2235,0.45439,1,0.37815,0.99999,1,166.35
72,0.65998,0.2,1,7.8323e-08,0.66169,0.46038,141.33
73,0.51894,0.2,1,0.063276,1,1.4217e-07,158.96
74,0.21593,0.69773,0.9752,0.55463,0.61193,0.53135,165.47
75,0.3061,0.22495,0.53308,1,6.3529e-08,0.35238,168.75
76,0.31004,0.34727,1,1.9978e-07,0.58383,0.3393,166.47
77,0.27437,0.2,1,4.4024e-06,0.37023,3.9004e-06,166.52
78,0.49241,0.50067,1,1.8478e-09,0.62382,0.4828,144.2
79,0.88528,0.2,1.7323e-08,0.44531,0.97402,0.96377,151.38
80,0.29395,0.34832,1,0.53902,0.99999,0.91461,161.79
81,0.44763,0.2,1,1.8571e-07,0.31792,0.40702,162
82,0.22642,0.56685,0.0036533,0.40219,0.91129,0.86224,165.96
83,0.48615,0.47251,1,0.45435,0.66465,0.53022,153.61
84,0.44705,0.64942,0.91649,7.0142e-09,0.49682,1.7328e-09,136.61
85,0.1,0.7,1,1.4475e-08,0.49196,0.4636,170.96
86,0.62538,0.30469,1,0.17515,1.0694e-07,0.95355,144.46
87,0.21063,0.31259,0.40551,0.96584,0.012201,0.72781,170.64
88,0.4846,0.7,0.5029,2.1921e-08,0.1822,1.2923e-09,132.88
89,0.20451,0.36741,1,1.6139e-07,0.44903,0.84623,168.75
90,0.88843,0.20001,0.88848,0.45428,0.34926,0.00032196,144.02
91,0.53062,0.51699,0.10687,0.59746,0.61705,0.99496,149.03
92,0.40132,0.25544,1,6.342e-06,0.49279,0.094172,160.03
93,0.14726,0.7,1,0.45761,2.6572e-07,2.2271e-07,168.94
94,0.1232,0.7,0.12838,0.092173,1,1,170.29
95,0.37425,0.41221,1,7.5409e-08,0.54569,0.81723,154.34
96,0.38595,0.67344,0.98959,0.56928,0.48391,0.56366,154.17
