sub_id,beta,lr,e,ps,w_MB,sigma_MB,sigma_MF,sigma_ps,nll
1,0.21218,0.92022,0.0053113,1.016,0.0071704,0.1747,0.0021501,1.7884,76.117
2,0.2424,0.62385,1,1,0.59907,1,1.0458e-07,1,79.558
3,0.1,3.9824e-08,0.22729,1.7948,0.38814,0.57265,0.48442,1,86.683
4,0.10003,0.047605,0.32518,1.0004,0.9987,0.47048,0.43015,1.0009,86.193
5,0.25001,0.74207,1.491e-06,1,0.72069,1.173e-06,0.1164,1,74.76
6,0.16539,0.40235,3.931e-06,1,1.2589e-06,0.47127,1.6807e-06,1,82.618
7,0.39472,0.21993,8.6254e-05,1.0003,0.58251,0.99965,8.0058e-05,1.0002,78.118
8,0.82342,0.060004,0.16909,1,4.4784e-07,0.55581,1,1,72.713
9,0.10021,0.11385,0.45292,1.0307,0.99693,0.0048399,0.39399,1.0024,87.531
10,0.1,0.056792,3.83e-06,1,1.4434e-05,0.4126,0.99996,1,88.402
11,0.1,2.7315e-07,0.43124,2.1078,0.46682,0.43678,0.41028,1,87.372
12,0.26536,0.72811,0.40948,2.0338,0.99797,0.19923,0.35237,1.0114,75.75
13,0.60377,0.033129,1,1,9.6464e-07,0.62899,1,1,68.491
14,0.31701,0.58684,3.8611e-07,1,0.45531,1.0353e-08,9.3536e-09,1,73.483
15,0.10379,0.44205,1,1,2.6495e-06,0.66016,1,1,85.634
16,0.3648,0.36423,0.53273,1.865,1,5.687e-09,0.57222,1,75.637
17,0.1,1,6.8915e-07,1,0.69106,0.29846,4.8432e-07,3.3117,83.525
18,0.23722,0.46972,0.14898,1,1.7448e-06,0.35753,7.0067e-07,1,79.972
19,0.42852,0.07499,1,1,1.7575e-07,0.49631,7.9052e-08,1,81.734
20,0.19044,1,6.4646e-08,1,0.61541,2.2213e-08,2.9688e-08,1,81.852
21,0.13138,1,0.71908,1,1,0.68305,0.62323,1.947,82.556
22,0.51643,0.32118,0.99989,1,0.93454,0.29276,1,1,71.873
23,0.1422,1,7.9582e-07,2.8405,0.037192,3.7596e-05,0.082128,1,81.758
24,0.1,0.95905,0.27357,1,3.1013e-07,0.48298,2.7005e-07,1,86.27
25,0.34289,0.23228,0.18112,1,0.49855,0.99999,1,1.5933,74.552
26,0.1,2.471e-08,0.46124,1,0.4842,0.52525,0.55218,1,87.866
27,0.26731,0.58231,1,1.2164,3.6186e-08,0.47966,0.31255,2.494,76.168
28,0.42752,0.48797,0.53935,1.0019,0.99763,0.0010428,0.21546,1.1028,69.866
29,0.34512,0.070944,0.99843,1.0021,0.40997,0.99622,0.77327,2.2794,74.7
30,0.13597,0.40685,2.369e-06,2.2275,3.5e-06,0.54228,9.5557e-07,1,84.266
31,0.25525,0.65813,0.99966,4.36,0.22365,0.1541,2.7947e-05,1.0002,67.509
32,0.3628,0.37475,1.4666e-07,1.4799,1.1558e-06,0.025269,1.4608e-08,1,69.892
33,1.8992,0.013568,0.01536,4.9944,0.038741,0.9898,0.99942,1.0058,42.22
34,0.1,0.071518,2.2813e-06,3.1291,8.7713e-06,0.48071,0.41242,1,85.538
35,0.1802,0.42743,0.35583,1.0086,0.99587,0.99007,0.40815,1.006,82.958
36,0.14569,0.62845,0.022211,1.0002,0.68847,0.050747,0.99955,1.0013,85.309
37,0.52644,0.17266,4.915e-08,1,4.1514e-08,0.53364,1,1,75.158
38,0.16783,0.078038,0.60639,3.4659,1,1,0.63605,1,84.085
39,0.70902,0.21992,1.4296e-06,3.8281,0.23344,1.0373e-06,4.0854e-07,1,47.361
40,0.10453,1,2.131e-06,1,8.0178e-06,0.22066,1,1,85.176
41,0.5313,0.55215,0.31816,1.011,0.20706,0.39549,0.0044839,1,55.523
42,0.14329,0.99999,6.9599e-07,3.3359,1.5096e-06,0.47589,0.87117,1,81.007
43,0.19978,4.4926e-09,0.38515,2.4089,0.55155,0.41422,0.39153,2.9363,81.956
44,0.1,0.03074,4.2069e-06,1.7034,7.8232e-06,0.51929,0.99999,1,85.758
45,0.20851,0.34717,1.7885e-06,1,0.65203,8.2082e-08,1.2211e-07,1,81.156
46,0.1,0.33665,1,1,0.1121,1,1,1,85.423
47,0.15183,0.19153,5.6611e-07,1,1.6773e-06,0.49997,0.87047,2.2835,84.069
48,0.11479,0.16346,1,1,0.33953,1,0.23526,1,85.54
49,0.1,0.37457,2.9662e-06,1,3.1232e-06,0.43952,1,1,85.663
50,0.4114,0.1438,1,2.7752,2.444e-07,0.48702,5.416e-08,1,71.887
51,0.25404,1,2.0624e-07,2.2464,0.18408,6.6735e-06,0.99999,1.6974,68.643
52,0.10003,0.0923,0.25372,1.0002,0.99787,0.99919,0.81569,1.0005,87.68
53,0.15724,0.45072,1,1,0.10842,1.6211e-06,3.2975e-07,1,84.867
54,0.85227,0.18684,1,1,0.12905,1,8.3571e-08,1.3921,52.964
55,0.35801,0.19323,0.75397,1.1432,0.84892,0.51482,0.72243,2.3257,72.469
56,0.22849,0.25467,1.0383e-06,2.0344,1.0324e-06,0.67385,1,1,80.781
57,0.19497,0.60036,0.56933,2.55,1,0.34793,0.49752,2.5884,79.502
58,0.10683,0.10901,1,3.1936,4.0742e-07,0.52273,1,1,86.089
59,0.14719,1,0.57709,1,1,0.83782,0.34837,1.917,81.757
60,0.11043,0.022831,0.91124,1.1011,0.15238,0.34639,0.068271,2.1007,85.506
61,0.1,0.028401,2.4403e-07,3.1692,1.9377e-07,0.53904,1,1,85.822
62,0.1,0.12728,1,2.8861,1.9047e-06,0.42244,1.158e-06,1,85.22
63,0.17335,0.052845,4.2716e-06,1.7191,3.481e-06,0.46986,0.99999,1,85.896
64,0.38115,0.94596,1,2.481,0.1805,1.6744e-06,1,1,54.773
65,0.1925,0.050164,0.36149,2.5813,0.99273,0.99023,0.52582,1.1915,82.451
66,0.1,1.2618e-07,0.47837,1.1018,0.46353,0.42503,0.27209,1,86.235
67,0.1289,0.26834,1,1,4.6299e-08,0.18953,7.6382e-09,1,85.944
68,0.17274,0.019968,1,1.1518,3.9177e-07,0.50133,1,1,85.105
69,0.1,0.22051,0.99991,1,0.85663,1.5433e-06,1.5178e-05,1,85.574
70,0.12843,0.94066,0.40927,1,1.5748e-06,0.55985,0.43963,1,84.144
71,0.10002,0.072619,1,1.2226,1.8298e-06,0.26165,3.2153e-07,1.6532,85.563
72,0.22326,0.45041,0.37772,1.6973,0.99891,0.00046978,0.46223,1.0157,77.685
73,0.50032,0.31252,0.3022,1.889,0.69115,0.98476,0.97423,1.3223,61.284
74,0.20423,0.37477,0.8462,1,1.5041e-07,0.28767,5.123e-08,1,83.1
75,0.13252,1,0.84179,1,0.58238,1.0834e-06,2.7803e-06,1,84.458
76,0.1,9.0727e-09,0.49837,1,0.52701,0.47361,0.52007,1.8008,86.227
77,0.1,1,1,1,0.17083,5.897e-06,9.9637e-07,4.9999,82.387
