sub_id,beta,lr,e,ps,w_MB,sigma_MB,sigma_MF,sigma_ps,nll
1,0.34614,0.1175,1,1,0.053264,0.99995,1.1549e-07,1,81.145
2,0.1008,0.99836,0.050172,1.0226,0.97892,0.98806,0.0007464,1.3246,78.621
3,0.10031,0.20196,0.44872,1.9456,0.99501,0.48235,0.97659,1.0037,86.709
4,0.1,1.6513e-08,0.45817,1,0.59635,0.47502,0.46299,1,86.346
5,0.39746,0.47413,1,1,0.8279,2.018e-08,1,1,76.17
6,0.1,0.0491,0.99997,1,1.6952e-05,0.54966,2.7767e-05,1,85.894
7,0.19373,1.8296e-08,0.38781,1.6335,0.51598,0.2865,0.49078,2.1882,83.647
8,0.1,1,2.0055e-06,3.9298,5.0832e-08,0.39799,1,5,80.739
9,0.10768,0.35557,0.37921,1.0641,0.99344,0.20131,0.036949,1.0087,87.037
10,0.1001,0.81872,0.33629,1.0011,0.99944,0.80968,0.89892,1.0012,87.372
11,0.1,1.2607e-08,0.3774,2.1078,0.51712,0.44983,0.49908,1,87.372
12,0.21665,0.032216,1,3.2413,0.032558,0.99996,5.0422e-07,1,81.494
13,0.29629,0.19478,0.5059,1,1,1.8916e-07,1,3.5175,74.805
14,0.14706,1,0.21168,1,1,1,0.21174,1,66.052
15,0.1,4.7699e-07,0.35782,1,0.5153,0.37041,0.51823,2.011,87.103
16,0.31006,0.20898,0.31542,2.0442,0.99999,0.91502,7.5691e-06,1,79.617
17,0.11305,0.37328,0.35286,1.0236,0.99253,0.99314,0.0020545,2.4658,84.39
18,0.13762,0.62954,0.46839,1.0005,1,3.771e-07,0.71784,1,83.141
19,0.24219,0.24723,1.345e-06,1.2258,1.8072e-07,0.3473,5.9731e-08,1.1153,83.993
20,0.13513,0.52569,9.999e-07,1,2.5338e-07,0.56904,1,1,84.797
21,0.1403,1,0.73562,1,0.32958,1,7.3559e-07,1.9101,80.849
22,0.16846,0.065259,1,3.9504,5.0226e-07,0.59537,2.1046e-07,1,82.445
23,0.1,9.3914e-07,0.43022,4.4213,0.55923,0.60532,0.4478,1,85.474
24,0.10019,0.23903,0.96238,1.2987,0.94424,0.46997,0.00068342,1.002,87.237
25,0.22144,0.088251,1,1,9.3365e-06,0.7386,1.0507e-06,2.8512,79.396
26,0.1,0.0078279,0.99992,1,1.9166e-05,0.52247,0.99996,1,87.857
27,0.21864,0.37386,1,1.5409,7.5859e-08,0.35079,1.4041e-07,3.0471,76.042
28,0.2824,0.23362,0.92693,1.0041,0.90798,0.58012,0.001039,1.0354,80.127
29,0.52677,0.75621,0.64583,1.0028,0.6479,0.0014404,0.99885,1.3785,64.354
30,0.1,8.4861e-09,0.56714,3.0947,0.44951,0.43028,0.37064,1,85.807
31,0.26792,0.05536,1,5,4.774e-07,0.4763,2.4036e-07,1,74.337
32,0.60448,0.14656,0.99993,1.1046,0.99019,7.0011e-08,1,1,74.446
33,1.8904,0.0032982,0.36818,4.9797,0.92992,0.010869,0.097786,1.021,44.374
34,0.11947,0.6751,0.62504,2.421,0.99754,0.41114,0.61535,1.0055,84.66
35,0.10019,0.32797,0.44651,1.0113,0.99816,0.010636,0.99728,1.0042,85.864
36,0.1,0.14846,0.25395,1,1,1,2.571e-08,1,87.169
37,0.15203,0.69002,9.3723e-08,2.2227,1.4864e-07,0.21594,8.4053e-08,2.5274,80.638
38,0.19963,0.99889,0.0071221,2.8659,0.92326,0.97339,0.45823,1.3659,79.635
39,0.52301,2.0754e-07,0.41068,4.9999,0.37475,0.31656,0.75113,1,60.943
40,0.10009,0.54411,0.99656,1.001,0.6955,0.15165,0.00056238,1.0015,87.612
41,0.34478,0.98405,0.2632,1.1427,3.7696e-07,0.18775,5.0848e-07,1,59.801
42,0.1,0.27278,5.7946e-07,4.6216,1.342e-06,0.56266,1,1,84.691
