matched_player_id,subject,Action1,Action2,Re,common,S2,score,rews1a1,rews1a2,rews2a1,rews2a2,trial_n,current_player,playing_order,last.reward,last.common,last.reward.sign,repeated,rewarded,common.fac,rewarded.fac
100001,1,2,2,-3,NA,3,17,2,1,2,-3,0,1,1,NA,NA,NA,NA,NA,NA,NA
100001,1,2,1,2,0.5,3,24,3,-1,2,-3,2,1,1,5,1,TRUE,TRUE,0.5,Common,Rewarded
100001,1,2,1,2,-0.5,3,27,2,-3,2,0,4,1,1,1,0,TRUE,TRUE,0.5,Rare,Rewarded
100001,1,1,1,3,0.5,2,34,3,-1,4,1,6,1,1,4,1,TRUE,FALSE,0.5,Common,Rewarded
100001,1,2,2,-5,0.5,2,32,3,-5,3,0,8,1,1,3,1,TRUE,TRUE,0.5,Common,Rewarded
100001,1,2,2,0,0.5,3,36,4,-3,5,0,10,1,1,4,1,TRUE,TRUE,0.5,Common,Rewarded
100001,1,2,1,5,0.5,2,46,5,-1,3,2,12,1,1,5,1,TRUE,TRUE,0.5,Common,Rewarded
100001,1,2,1,3,-0.5,3,53,2,-2,3,4,14,1,1,4,0,TRUE,TRUE,0.5,Rare,Rewarded
100001,1,1,1,-2,0.5,2,54,-2,-2,4,0,16,1,1,3,1,TRUE,FALSE,0.5,Common,Rewarded
100001,1,1,2,-2,-0.5,2,48,0,-2,0,-2,18,1,1,-4,0,FALSE,FALSE,-0.5,Rare,Punished
100001,1,2,1,2,-0.5,2,52,2,1,1,1,20,1,1,2,0,TRUE,TRUE,0.5,Rare,Rewarded
100001,1,2,2,0,0.5,3,56,2,1,1,0,22,1,1,4,1,TRUE,FALSE,0.5,Common,Rewarded
100001,1,2,1,1,0.5,3,60,2,3,1,4,24,1,1,3,1,TRUE,TRUE,0.5,Common,Rewarded
100001,1,2,1,0,0.5,3,64,3,3,0,3,26,1,1,4,1,TRUE,TRUE,0.5,Common,Rewarded
100001,1,2,1,3,-0.5,3,71,3,3,3,2,28,1,1,4,0,TRUE,TRUE,0.5,Rare,Rewarded
100001,1,2,1,2,0.5,2,76,2,4,4,1,30,1,1,3,1,TRUE,TRUE,0.5,Common,Rewarded
100001,1,1,1,2,0.5,2,81,2,2,2,4,32,1,1,3,1,TRUE,TRUE,0.5,Common,Rewarded
100001,1,2,1,3,-0.5,3,86,5,-1,3,5,34,1,1,2,0,TRUE,TRUE,0.5,Rare,Rewarded
100001,1,1,2,-2,0.5,2,88,4,-2,1,2,36,1,1,4,1,TRUE,FALSE,0.5,Common,Rewarded
100001,1,2,1,1,0.5,3,92,4,-3,1,0,38,1,1,3,1,TRUE,TRUE,0.5,Common,Rewarded
100001,1,2,1,1,0.5,3,91,2,-2,1,-1,40,1,1,-2,1,FALSE,FALSE,-0.5,Common,Punished
100001,1,2,1,1,0.5,3,94,0,1,1,0,42,1,1,2,1,TRUE,TRUE,0.5,Common,Rewarded
100001,1,2,1,-3,0.5,2,91,-3,1,-1,-1,44,1,1,0,1,TRUE,FALSE,0.5,Common,Rewarded
100001,1,2,1,-5,0.5,3,86,-2,3,-5,-1,46,1,1,0,1,TRUE,TRUE,0.5,Common,Rewarded
100001,1,1,2,3,0.5,3,94,-3,3,-5,3,48,1,1,5,1,TRUE,TRUE,0.5,Common,Rewarded
