subject,rt1,Action1,rt2,Action2,Re,common,S2,rews1a1,rews1a2,rews2a1,rews2a2,trial_n
A1Z1O6MMOB3UWW,752,2,602,2,-3,1,3,2,1,2,-3,1
A1Z1O6MMOB3UWW,461,1,970,1,3,1,2,3,-1,5,-3,2
A1Z1O6MMOB3UWW,368,2,1257,1,2,1,3,3,-1,2,-3,3
A1Z1O6MMOB3UWW,671,1,826,2,-1,0,3,1,-4,2,-1,4
A1Z1O6MMOB3UWW,385,1,1145,2,-3,1,2,2,-3,2,0,5
A1Z1O6MMOB3UWW,431,2,954,1,4,1,3,4,-2,4,0,6
A1Z1O6MMOB3UWW,417,1,873,1,3,1,2,3,-1,4,1,7
A1Z1O6MMOB3UWW,558,2,970,2,-1,1,3,2,-4,3,-1,8
A1Z1O6MMOB3UWW,370,2,537,1,3,0,2,3,-5,3,0,9
A1Z1O6MMOB3UWW,383,1,747,1,4,1,2,4,-3,4,1,10
A1Z1O6MMOB3UWW,479,2,1081,1,5,1,3,4,-3,5,0,11
A1Z1O6MMOB3UWW,592,2,618,1,5,1,3,5,-3,5,0,12
A1Z1O6MMOB3UWW,560,1,697,1,3,0,3,5,-1,3,2,13
A1Z1O6MMOB3UWW,335,2,506,1,4,0,2,4,-3,3,4,14
A1Z1O6MMOB3UWW,511,1,634,1,2,1,2,2,-2,3,4,15
A1Z1O6MMOB3UWW,350,1,618,1,1,1,2,1,-1,3,4,16
A1Z1O6MMOB3UWW,383,2,841,2,0,1,3,-2,-2,4,0,17
A1Z1O6MMOB3UWW,367,2,842,1,-4,0,2,-4,-5,-1,-1,18
A1Z1O6MMOB3UWW,383,2,841,1,0,1,3,0,-2,0,-2,19
A1Z1O6MMOB3UWW,414,1,634,2,0,0,3,2,0,3,0,20
A1Z1O6MMOB3UWW,368,1,505,1,1,0,3,2,1,1,1,21
A1Z1O6MMOB3UWW,480,2,458,2,-1,1,3,4,0,0,-1,22
A1Z1O6MMOB3UWW,368,1,664,1,2,1,2,2,1,1,0,23
A1Z1O6MMOB3UWW,495,2,987,2,3,1,3,4,3,-1,3,24
A1Z1O6MMOB3UWW,560,1,585,2,3,1,2,2,3,1,4,25
A1Z1O6MMOB3UWW,575,1,458,2,3,1,2,3,3,-1,4,26
A1Z1O6MMOB3UWW,464,2,1065,2,3,1,3,3,3,0,3,27
A1Z1O6MMOB3UWW,431,2,682,2,4,0,2,4,4,0,1,28
A1Z1O6MMOB3UWW,496,1,537,2,3,1,2,3,3,3,2,29
A1Z1O6MMOB3UWW,558,1,474,2,2,1,2,3,2,3,3,30
A1Z1O6MMOB3UWW,14,1,169,1,4,0,3,2,4,4,1,31
A1Z1O6MMOB3UWW,351,2,666,1,3,1,3,-1,3,3,3,32
A1Z1O6MMOB3UWW,496,1,1001,1,2,1,2,2,2,2,4,33
A1Z1O6MMOB3UWW,335,2,795,2,2,0,2,3,2,2,4,34
A1Z1O6MMOB3UWW,304,2,697,2,5,1,3,5,-1,3,5,35
A1Z1O6MMOB3UWW,384,1,651,1,4,1,2,4,0,3,4,36
A1Z1O6MMOB3UWW,481,1,617,1,4,1,2,4,-2,1,2,37
A1Z1O6MMOB3UWW,432,1,490,1,4,1,2,4,-3,2,3,38
A1Z1O6MMOB3UWW,319,1,521,1,4,1,2,4,-3,1,0,39
A1Z1O6MMOB3UWW,415,2,650,2,0,1,3,5,-2,2,0,40
A1Z1O6MMOB3UWW,352,2,585,2,-1,1,3,2,-2,1,-1,41
A1Z1O6MMOB3UWW,319,2,666,1,2,1,3,3,-1,2,-1,42
A1Z1O6MMOB3UWW,448,2,985,2,0,1,3,0,1,1,0,43
A1Z1O6MMOB3UWW,383,2,762,1,0,1,3,0,1,0,0,44
A1Z1O6MMOB3UWW,336,1,617,2,-1,0,3,-3,1,-1,-1,45
A1Z1O6MMOB3UWW,255,2,650,1,-2,1,3,-3,2,-2,0,46
A1Z1O6MMOB3UWW,320,1,681,1,-2,1,2,-2,3,-5,-1,47
A1Z1O6MMOB3UWW,320,2,747,1,-4,1,3,-3,5,-4,0,48
A1Z1O6MMOB3UWW,609,1,873,2,3,0,3,-3,3,-5,3,49
A1Z1O6MMOB3UWW,400,2,523,2,2,1,3,-4,5,-5,2,50
A1Z1O6MMOB3UWW,351,1,825,2,1,1,2,-5,1,-4,0,51
A1Z1O6MMOB3UWW,381,1,538,2,4,1,2,-4,4,-5,3,52
A1Z1O6MMOB3UWW,528,2,825,1,-3,1,3,-2,3,-3,2,53
A1Z1O6MMOB3UWW,46,2,746,2,3,0,2,0,3,-2,2,54
A1Z1O6MMOB3UWW,336,2,921,2,1,1,3,1,3,-2,1,55
A1Z1O6MMOB3UWW,445,2,794,2,0,1,3,2,3,-1,0,56
A1Z1O6MMOB3UWW,320,2,585,1,0,1,3,5,2,0,0,57
A1Z1O6MMOB3UWW,351,1,506,2,2,1,2,5,2,-1,0,58
A1Z1O6MMOB3UWW,672,2,745,1,-3,1,3,0,4,-3,0,59
A1Z1O6MMOB3UWW,191,1,506,2,2,1,2,3,2,-2,2,60
A1Z1O6MMOB3UWW,448,2,713,1,-4,1,3,2,0,-4,5,61
