subject,version,age,sex,bonus,assignmentID,time_elapsed
AQL24433IP0QQ,social_model_free_learning,30,m,1,3K2755HG5S4STNPX14QX1QXPXW4DFU,1252745
A3QRZPJT2CT2IK,social_model_free_learning,35,f,0,34QN5IT0TZSPFOEGHEWWCRWKG3U80R,1387297
A3V2XCDF45VN9X,social_model_free_learning,44,m,1,3PWWM24LHSZWBYHUW10AVFPZD1E82B,1538407
A2O2Y99RA9GFUJ,social_model_free_learning,64,m,0,32ZKVD547FO4YEBK3DYP5RKSRLZ3BG,1782810
ANUXUJE8QRE0C,social_model_free_learning,43,f,1,33OOO72IVHMS701KWS0BYOU835NTC5,1568179
A3DUPRZSMU9W5R,social_model_free_learning,45,f,1,3FE2ERCCZX9VOX5G5G0IOENS3GROPY,1326798
AGWWUXDX6CI38,social_model_free_learning,23,f,1,38JBBYETQOBNND68DI5YG4IJ8IPE4T,1345462
A1PTX4IB9R34LI,social_model_free_learning,39,m,0,3PJ71Z61R43P0II8IP6AQSA551019U,1336451
A1U43WUOJQBK5T,social_model_free_learning,30,m,0,3DH6GAKTYYQ1WFBOYC7IH3N8RPXYZ4,1424582
A3L8LSM7V7KX3T,social_model_free_learning,39,m,1,3NLZY2D53PQ8IO3YS1ZFW298D78LQ5,1320044
A16UAN46CNIRHY,social_model_free_learning,46,f,1,30JNVC0OR9L6WSK81GKH4AG1WQZHQU,1489916
A2FOYHZ7HOFKBI,social_model_free_learning,18,m,0,3IAEQB9FMELU49BSRT0X5EJPSZNWD4,1498737
A234UW0G9PMSCC,social_model_free_learning,26,m,1,3R5F3LQFV2LP217MSPYKFCP6DFYOZJ,1330221
A2V27A9GZA1NR2,social_model_free_learning,39,m,0,34X6J5FLPTZ2NYFYPGN2GNWG9I3JQ1,1337799
A1I5R9XQPZ0KQL,social_model_free_learning,52,m,1,3R6P78PK7KC5OCHPYEWUOFFN1XLTGL,1441105
A1JR35HATOEME9,social_model_free_learning,33,f,1,31QTRG6Q2TE7IB9IB39GQ5LUHQQYPJ,1515102
A1D48NEMX364ME,social_model_free_learning,68,f,1,31EUONYN2V48TH2CRS9HU6CAP4SOVJ,1543094
A3JTF21YTIRKV,social_model_free_learning,34,m,1,34BBWHLWHACBCKREJ718WBZ2K4VWI6,1593943
A26M997VYVK0E6,social_model_free_learning,33,m,1,3LS2AMNW5FRGO96V5TF7OJD28CDOQP,1484421
A18G2CLYSTENK,social_model_free_learning,31,m,0,39LNWE0K4UXYKG29O7M7ENE5ZO3IUC,1669310
A2SM1GBN4ARGM4,social_model_free_learning,37,f,1,3FTF2T8WLRJI1JYBFDVVJI0Z1E8W9N,1576022
A28AXX4NCWPH1F,social_model_free_learning,36,m,1,3LOTDFNYA70R2TPOIZVNTEMA4C3WFF,1368406
AXAO7UJYYEFCO,social_model_free_learning,38,f,1,3M0NZ3JDP1Z3UR14NA2L66PFWKTZ5P,1656474
A30HUZHJBOX1LK,social_model_free_learning,52,m,1,3XM0HYN6NK09C6SRB2XMJ2TEZELEPK,1517895
ACRTRQ23XH20E,social_model_free_learning,45,f,1,3018Q3ZVOIRRY6RU8PZPSE32FHBRAU,1440599
A1EYZMB3YBRENX,social_model_free_learning,50,f,1,3GS6S824SQY3QL25GNE01JVJ63PWNM,1450583
A954R2GBG1TP3,social_model_free_learning,32,m,1,3EJJQNKU9R668TZ8EV9H90Q6SC1HRV,1446115
A1SX9DT3XHX845,social_model_free_learning,34,f,1,3ZSY5X72NXCG0ALVI847T9N74YFORQ,1478245
AIHHRINW9IN1I,social_model_free_learning,36,f,1,32Q90QCQ1SM81FVBYASENL7F54FEKJ,1683553
A7P3R1AIA4TVV,social_model_free_learning,36,m,1,3KIBXJ1WD5VUD680SOVASX1T96LOKX,1386378
ARYL3C6N9SVV1,social_model_free_learning,34,m,0,3ND9UOO81K3D2LZK4AYLORRU18PLW9,1635202
A25F01VCKJ73OR,social_model_free_learning,45,m,1,3GFK2QRXX9IZ0WWZCNIE72VXFIPW5W,1875515
A3096TLDYOGL4X,social_model_free_learning,50,m,0,3W8CV64QJ2004T3MKE9VIFQCMQVH98,1628614
A2N9U74YIPDQ9F,social_model_free_learning,52,f,1,3TYCR1GOTCKHWG4PFXISNVLCIATLZZ,1581167
A397D1I20OGUK7,social_model_free_learning,32,m,1,33UKMF9319L9TH3VIEV1NYUCRRTTTU,1873476
A2LCFORIW0NF1S,social_model_free_learning,68,f,0,36WLNQG78ZB78CRHSXFLOIOPIA6EBZ,1709455
A1JZCQAV0F9B42,social_model_free_learning,40,f,0,3DR23U6WE5F74YLYSJ66OCUBOH6TE4,1590519
A1WITSTEVRL0S0,social_model_free_learning,52,f,1,3HVVDCPGTET5A32PSKI0VFMR6TBYTO,1652494
A2FV0CMG9S8CU0,social_model_free_learning,42,m,1,37XITHEISWAFRLOSS3VGY9TQFKWRCW,1804477
A1BVG13MHBM1YD,social_model_free_learning,43,f,0,3HQUKB7LNFFTJZL5IQXNVWO0533HHY,1644847
A1W7I6FN183I8F,social_model_free_learning,30,m,1,3QRYMNZ7FYIBY4YBLI9PEZOK297TNT,1654622
A342YLIMT6THWO,social_model_free_learning,56,f,0,3X73LLYYQ1FLTV7GLOS00GLWRFCHN7,1569530
A3FGT6EU39C6S4,social_model_free_learning,46,m,1,3TMFV4NEP8FINEF1ALPHJM5OH8QW8Y,2050269
A1M7G9KKXWH76A,social_model_free_learning,48,m,1,30OG32W0SUC99LGEVNKUFDOJZZKENO,1986608
A2Y6K5DW6G7H0T,social_model_free_learning,48,m,1,3M68NM076H8QB4FRICIDC91GJYLR64,1829053
A3C8JI69WPTKWH,social_model_free_learning,40,f,1,3STRJBFXOWSAQYD8O5H9M77G8E2TKO,1939696
A3EPYIKGXR7314,social_model_free_learning,35,f,0,3HRMW88U16R40DGKBF6FH9XF080M0A,2048771
ADEWILWI6SVLG,social_model_free_learning,27,m,0,3AAPLD8UCCIJO8C0IKEC9FROGXYTHK,1481796
A3S71ZZPT6JI11,social_model_free_learning,34,f,1,3Z7VU45IPYI4690LMN093GCYK4OZ17,1921675
A1W1X3S1Y0RKF3,social_model_free_learning,31,m,0,3SBEHTYCWN4F1PMEY8JWH8KIVCVYI7,1362593
A1FVXS8IM5QYO8,social_model_free_learning,54,f,0,3TVRFO09GKGSRL4AEFU7QA51AAVLX2,1652770
AZ8JL3QNIPY4U,social_model_free_learning,30,f,1,3HVVDCPGTET5A32PSKI0VFMR6TBTYJ,1322814
A8C3WNWRBWUXO,social_model_free_learning,48,m,0,3DIP6YHAPCTO6ETAPLVBXGYOA4LE80,1739340
A20XDCBFKG4TEE,social_model_free_learning,40,m,1,3A1COHJ8NJW0QOKCFM3HIJV12KDH8J,2226037
AJ4T7PTRYNSUW,social_model_free_learning,28,m,0,3IX2EGZR7BK2ZZUY2VC2LD6L545RJA,1954800
A1BWS5AD2T4NIR,social_model_free_learning,35,m,1,3QY7M81QH7NNS0G1B2E8HBFYJHBK73,2241681
A2DVV59R1CQU6T,social_model_free_learning,30,m,1,3ZDAD0O1T1EGAYCFNOWYC1FI4NHTXD,1589769
A2PMT4061B1NDP,social_model_free_learning,31,f,1,3Z9WI9EOZZPKLPMDOB0K8O4SXK7HK2,1673062
A3CH1Z6J9R38G9,social_model_free_learning,31,m,1,3IUZPWIU1O82IFH2JAMK9REFC8KWKH,1436377
A13FUEPWBCLBUY,social_model_free_learning,36,m,1,39KFRKBFINWPXBXHW3W115G47LUOYS,1712733
A2Z6PZ1CYD8NQP,social_model_free_learning,43,f,0,3ON104KXQKXH4DSZYIZ42APJFMUW4R,1814573
A2DWPP1KKAY0HG,social_model_free_learning,24,m,1,39ZSFO5CA8XUFRMF6P77QOT5C39JU6,2309409
AG9LMLEPXP2YC,social_model_free_learning,27,m,0,3TMSXRD2X610CEVGB0G24CIG32KW1E,1220635
A28Y07DTQRD73X,social_model_free_learning,23,m,1,31LVTDXBL7B8UPIY5GOF1SJD9TARLC,1715931
A1YZ0ETOCJO1B2,social_model_free_learning,36,m,1,3GD6L00D3SY472127YAFVEGP506M1D,1776557
ASVRLMDNQBUD9,social_model_free_learning,40,m,0,32VNZTT0A75CWHBDZOPYFBH2N7FR4J,1630203
